1 ta ta 2 DET det
2 sacanagem sacanagem 0 NOUN root
3 mec mec 2 X appos
4 petista petista 2 NOUN appos
5 erotizando erotizar 2 VERB acl
6 criancas crianca 5 NOUN obj
7 criancas crianca 6 NOUN amod
8 sendo ser 9 AUX aux:pass
9 doutrinadas doutrinar 6 VERB acl
10 sexo sexo 9 NOUN obj
11 mec mec 10 NOUN appos
12 detalhe detalhe 10 NOUN appos
13 idade idade 12 NOUN obj
14 sete sete 16 NUM nummod
15 oito oito 16 NUM nummod
16 anos ano 13 NOUN appos
17 aula aula 2 NOUN appos
18 criancas crianca 17 NOUN flat
19 mec mec 20 NOUN nsubj
20 sugere sugerir 17 VERB acl:relcl
21 beijo beijo 20 NOUN obj
22 boca boca 21 NOUN flat
23 passar passar 21 VERB acl:inf
24 mao mao 23 NOUN obj
25 coleguinha coleguer 23 VERB conj
26 banheiro banheiro 25 NOUN obj
27 assistir assistir 25 VERB ccomp
28 videos video 27 NOUN obj
29 adultos adulto 28 ADJ amod
30 namorando namorar 28 VERB acl
31 olhar olhar 30 VERB xcomp
32 sexo sexo 31 NOUN obj
33 proximo proximo 32 ADJ amod
34 antes antes 35 ADV advmod
35 local local 32 ADJ amod
36 aprendizado aprendizado 32 ADJ amod
37 valores valores 36 NOUN nsubj
38 vida vida 36 NOUN nsubj
39 valorizacao valorizacao 38 ADJ amod
40 humano humano 38 ADJ amod
41 hoje hoje 43 ADV advmod
42 tornou tornar 43 AUX cop
43 escola escola 2 NOUN parataxis
44 sexo sexo 43 NOUN appos
45 fabrica fabrico 44 ADJ amod
46 criancas crianca 44 NOUN appos
47 sexualizadas sexualizado 46 ADJ amod
48 onde onde 51 ADV advmod
49 pequenos pequeno 50 ADJ amod
50 seres seres 61 NOUN nsubj
51 obrigados obrigar 50 VERB acl
52 estudar estudar 46 VERB acl:inf
53 forma forma 52 NOUN obj
54 impositiva impositivo 53 ADJ amod
55 sobre sobre 56 ADP case
56 sexo sexo 53 NOUN nmod
57 quase quase 58 ADV advmod
58 explicito explicito 56 ADJ amod
59 vendo vendo 61 VERB acl
60 cenas cena 59 NOUN obj
61 beiram beirar 46 VERB acl:relcl
62 pornografia pornografia 61 NOUN obj
63 olha olhar 61 VERB parataxis
64 algo algo 63 PRON obj
65 recente recente 66 ADJ amod
66 portal portal 61 NOUN obj
67 mec mec 66 PRON appos
68 encontramos encontrar 66 VERB acl:relcl
69 plano plano 68 NOUN obj
70 aula aula 68 NOUN obj
71 professora professor 70 NOUN amod
72 data data 70 NOUN appos
73 2009 2009 72 NUM nmod
74 imagens imagem 77 NOUN nsubj
75 veiculadas veiculado 74 ADJ amod
76 texto texto 77 NOUN nsubj
77 falam falam 68 VERB parataxis
78 si si 77 PRON obj
