1 fracasso fracasso 19 NOUN parataxis
2 subcelebridades subcelebridade 1 NOUN appos
3 eleicoes eleicoe 1 NOUN appos
4 municipais municipal 3 ADJ amod
5 apenas apenas 7 ADV advmod
6 veronica veronico 7 ADJ amod
7 costa costa 3 NOUN appos
8 pmdbrj pmdbrj 7 NOUN appos
9 mae mae 7 NOUN appos
10 loira loira 7 NOUN appos
11 funk funk 10 NOUN flat
12 reeleita reeleita 7 VERB acl:relcl
13 rio rio 14 NOUN amod
14 janeiro janeiro 12 PROPN nmod
15 19946 19946 16 NUM nummod
16 votos voto 12 NOUN obj
17 quase quase 18 ADV advmod
18 famosos famoso 16 ADJ amod
19 disputaram disputar 0 VERB root
20 eleicoes eleicoe 19 NOUN obj
21 municipais municipal 20 ADJ amod
22 deste deste 23 ADP case
23 domingo domingo 20 PROPN nmod
24 podem podem 25 AUX cop
25 garantido garantido 19 ADJ xcomp
26 boas bom 27 ADJ amod
27 risadas risadas 19 NOUN obj
28 longo longo 29 ADJ amod
29 campanha campanha 19 NOUN obj
30 reverteu reverter 19 VERB parataxis
31 votos voto 30 NOUN obj
32 subcelebridades subcelebridade 63 NOUN obj
33 apenas apenas 34 ADV advmod
34 mae mae 40 NOUN nsubj
35 loira loira 34 NOUN appos
36 funk funk 34 NOUN flat
37 veronica veronico 38 ADJ amod
38 costa costa 34 NOUN appos
39 pmdbrj pmdbrj 38 NOUN amod
40 saiu sair 19 VERB parataxis
41 vencedora vencedor 40 ADJ xcomp
42 veronica veronica 40 NOUN nsubj
43 reeleita reeleito 42 ADJ amod
44 19946 19946 48 NUM nummod
45 votos voto 42 NOUN appos
46 068 068 48 NUM nummod
47 total total 48 ADJ amod
48 votos voto 45 NOUN appos
49 validos valido 48 ADJ amod
50 rio rio 48 NOUN appos
51 janeiro janeiro 50 PROPN flat
52 derrotados derrotar 54 ADJ amod
53 exassistente exassistente 54 ADJ amod
54 palco palco 132 NOUN nsubj
55 ratinho ratinho 54 ADJ appos
56 marquito marquito 55 NOUN appos
57 ptbsp ptbsp 141 NOUN appos
58 investigado investigar 141 ADJ amod
59 ministerio ministerio 55 NOUN appos
60 publico publico 59 ADJ amod
61 paulo paulo 59 NOUN appos
62 corrupcao corrupcao 59 NOUN amod
63 recebeu receber 19 VERB parataxis
64 apenas apenas 65 ADV advmod
65 5114 5114 66 NUM nummod
66 votos voto 63 NOUN obj
67 representa representar 63 VERB parataxis
68 010 010 69 NUM nummod
69 votos voto 67 NOUN obj
70 validos valido 69 ADJ amod
71 ator ator 63 NOUN nsubj
72 thammy thammy 71 NOUN appos
73 miranda miranda 72 ADJ flat
74 ppsp ppsp 72 NOUN flat
75 eleito eleger 159 VERB acl
