1 apos apos 4 CCONJ mark
2 paulo paulo 4 DET nsubj
3 betti betti 4 NOUN nsubj
4 propor propor 11 VERB advcl
5 vaquinha vaquinha 4 NOUN obj
6 ajudar ajudar 4 VERB ccomp
7 dilma dilma 6 NOUN obj
8 ator ator 6 NOUN obj
9 otavio otavio 8 NOUN appos
10 augusto augusto 9 NOUN flat
11 entra entrar 0 VERB root
12 pareo pareo 11 ADJ xcomp
13 infelicidade infelicidade 11 NOUN nsubj
14 paulo paulo 16 ADJ nsubj
15 betti betti 16 NOUN nsubj
16 propor propor 13 VERB acl:relcl
17 brasileiros brasileiro 16 NOUN obj
18 fizessem fazer 16 VERB ccomp
19 vaquinha vaquinha 18 NOUN obj
20 tapar tapar 18 VERB ccomp
21 rombo rombo 20 NOUN obj
22 fiscal fiscal 21 ADJ amod
23 governo governo 20 NOUN nsubj
24 dilma dilma 23 NOUN appos
25 leia ler 23 VERB acl:relcl
26 aqui aqui 27 ADV advmod
27 fez fazer 18 VERB parataxis
28 colega colega 27 NOUN obj
29 profissao profissao 28 ADJ amod
30 ator ator 28 NOUN appos
31 global global 30 ADJ amod
32 otavio otavio 30 NOUN appos
33 augusto augusto 32 NOUN flat
34 entrasse entrar 27 VERB parataxis
35 jogo jogo 34 NOUN obj
36 proposta proposta 35 ADJ amod
37 pouco pouco 38 ADV advmod
38 sensata sensato 36 ADJ amod
39 inteligente inteligente 38 ADJ amod
