1 the the 2 DET det
2 voice voice 3 NOUN nsubj
3 conheca conhecar 0 VERB root
4 tapac tapac 3 NOUN obj
5 ucraniano ucraniano 4 ADJ amod
6 ganhou ganhar 3 VERB ccomp
7 redes rede 6 NOUN obj
8 sociais social 7 ADJ amod
9 cantar cantar 3 VERB ccomp
10 musica musica 9 NOUN obj
11 tche tche 10 NOUN appos
12 tcherere tcherere 10 NOUN appos
13 gustavo gustavo 10 NOUN appos
14 lima lima 13 ADJ flat
15 durante durante 16 ADP case
16 performance performance 9 NOUN nmod
17 jovem jovem 16 ADJ amod
18 ucraniano ucraniano 16 ADJ amod
19 canta cantar 16 VERB acl:relcl
20 musica musica 19 NOUN obj
21 tche tche 20 NOUN appos
22 tcherere tcherere 20 NOUN appos
23 cantor cantor 20 NOUN appos
24 brasileiro brasileiro 23 ADJ amod
25 gustavo gustavo 20 NOUN appos
26 lima lima 25 NOUN flat
27 plateia plateia 19 NOUN obj
28 delirio delirio 27 ADJ amod
29 jurados jurado 30 ADJ amod
30 sotaque sotaque 32 NOUN nsubj
31 jovem jovem 30 ADJ amod
32 fez fazer 3 VERB parataxis
33 tche tche 32 NOUN obj
34 tcherere tcherere 32 NOUN obj
35 tche tche 36 PRON nsubj
36 ganhar ganhar 32 VERB ccomp
37 redes rede 36 NOUN obj
38 sociais social 37 ADJ amod
39 mundo mundo 36 NOUN nmod
40 afora afora 47 ADV advmod
41 tapac tapac 47 NOUN nsubj
42 meubhnk meubhnk 41 NOUN flat
43 animado animado 41 ADJ amod
44 proprio proprio 42 ADJ amod
45 gustavo gustavo 47 ADJ nsubj
46 lima lima 45 ADJ flat
47 vale vale 32 VERB parataxis
48 pena pena 47 NOUN obj
49 assistir assistir 47 VERB csubj
