1 400 2 NUM nummod
2 anos 4 NOUN nsubj
3 nostradamus 2 NOUN appos
4 previu 0 VERB root
5 vitoria 4 NOUN obj
6 donald 7 NOUN case
7 trump 8 NOUN nsubj
8 disse 4 VERB parataxis
9 apocalipse 8 NOUN obj
10 viria 8 VERB ccomp
11 junto 10 ADV advmod
12 acordo 10 NOUN obj
13 seguidores 12 ADJ amod
14 michel 12 NOUN appos
15 notre 16 ADJ case
16 dame 14 NOUN nmod
17 nostradamus 18 ADJ amod
18 fato 4 NOUN parataxis
19 previsto 18 ADJ amod
20 seculo 18 NOUN appos
21 xvi 20 ADJ amod
22 grande 23 ADJ amod
23 audacioso 4 NOUN nsubj
24 duvidoso 23 ADJ amod
25 eleito 26 VERB acl
26 governador 23 NOUN appos
27 exercito 26 ADJ amod
28 ponte 26 NOUN appos
29 quebrada 30 ADJ amod
30 cidade 32 NOUN nsubj
31 ira 32 AUX aux
32 desmaiar 4 VERB parataxis
33 medo 32 NOUN obj
34 muitos 35 PRON nsubj
35 acreditam 32 VERB parataxis
36 parte 32 NOUN obj
37 audacioso 36 ADJ amod
38 duvidoso 36 ADJ amod
39 refere 32 NOUN parataxis
40 donald 39 NOUN nsubj
41 trump 40 NOUN flat
42 governador 40 NOUN appos
43 exercito 42 NOUN amod
44 referese 42 NOUN appos
45 responsavel 42 ADJ amod
46 lideranca 44 NOUN appos
47 forcas 45 NOUN appos
48 militares 47 ADJ amod
49 mundiais 47 ADJ amod
50 outra 51 DET det
51 predicao 52 NOUN nsubj
52 diz 4 VERB parataxis
53 falsa 54 ADJ amod
54 trombeta 65 NOUN nsubj
55 fara 65 VERB nmod
56 bizancio 68 NOUN obj
57 mude 58 DET det
58 leis 56 NOUN conj
59 bizancio 58 ADJ amod
60 antiga 61 ADJ amod
61 colonia 56 NOUN appos
62 grega 61 ADJ amod
63 alguns 64 DET det
64 estudiosos 65 NOUN nsubj
65 ligam 52 VERB parataxis
66 fato 65 NOUN obj
67 grecia 66 NOUN appos
68 tornando 66 VERB acl
69 ponto 68 NOUN obj
70 apoio 66 NOUN appos
71 imigrantes 70 ADJ amod
72 refugiados 70 ADJ amod
73 tema 70 NOUN appos
74 centro 73 NOUN flat
75 candidatura 73 NOUN appos
76 trump 75 NOUN appos
77 finalmente 79 ADV advmod
78 nostradamus 79 NOUN nsubj
79 escreve 70 VERB acl:relcl
80 republica 79 NOUN obj
81 grande 82 ADJ amod
82 cidade 79 NOUN nsubj
83 ira 84 AUX aux
84 envolver 82 VERB acl:inf
85 operacoes 84 NOUN obj
86 militares 85 ADJ amod
87 caras 85 ADJ amod
88 ordenadas 89 ADJ amod
89 trompete 90 NOUN nsubj
90 levara 84 VERB parataxis
91 temores 90 NOUN obj
92 guerra 90 NOUN obj
93 nuclear 92 ADJ amod
94 acontecera 90 VERB parataxis
95 mundo 94 NOUN obj
96 partir 94 VERB csubj
97 agora 96 ADV advmod
98 assista 79 VERB parataxis
99 video 98 NOUN obj
100 abaixo 98 ADV advmod
