1 dezenas dezenas 2 NUM nummod
2 tanques tanque 4 NOUN nsubj
3 nortecoreanos nortecoreano 2 ADJ amod
4 disparam disparar 0 VERB root
5 misseis missil 4 NOUN obj
6 direcao direcao 7 ADJ amod
7 frota frota 4 NOUN obj
8 naval naval 7 ADJ amod
9 eua eua 10 DET det
10 reino reino 12 NOUN nsubj
11 eremita eremito 10 ADJ amod
12 disparou disparar 4 VERB parataxis
13 misseis missil 12 NOUN obj
14 resposta resposta 13 NOUN flat
15 frota frota 12 NOUN nsubj
16 guerra guerra 15 NOUN flat
17 comandada comandar 18 VERB acl
18 navio navio 22 NOUN nsubj
19 americano americano 18 ADJ amod
20 carl carl 22 NOUN nsubj
21 vinson vinson 20 NOUN flat
22 chegou chegar 4 VERB conj
23 peninsula peninsula 22 NOUN obj
24 demonstrando demonstrar 22 VERB acl
25 poder poder 24 NOUN obj
26 fogo fogo 25 NOUN flat
27 tanques tanque 29 NOUN nsubj
28 podem podem 29 AUX aux
29 atingir atingir 12 VERB parataxis
30 tranquilamente tranquilamente 29 ADV advmod
31 navios navio 29 NOUN obj
32 estrangeiros estrangeiro 31 ADJ amod
33 portaavioes portaavioe 31 ADJ amod
34 carl carl 29 NOUN nsubj
35 vinson vinson 34 NOUN flat
36 aguarda aguarda 37 VERB case
37 chegada chegada 29 NOUN obj
38 frotas frota 37 NOUN appos
39 japao japao 37 NOUN appos
40 coreia coreia 37 NOUN appos
41 sul sul 40 ADJ amod
42 juntarem juntar 37 VERB acl:relcl
43 exercicios exercicio 42 NOUN obj
44 militares militar 43 ADJ amod
45 leiase leiase 43 NOUN appos
46 prontidao prontidao 47 ADJ amod
47 guerra guerra 42 NOUN nsubj
48 submarino submarino 47 ADJ amod
49 nuclear nuclear 47 ADJ amod
50 eua eua 55 PRON nsubj
51 armado armado 52 ADJ amod
52 misseis missil 55 NOUN nsubj
53 cruzeiro cruzeiro 52 NOUN amod
54 tomahawk tomahawk 52 NOUN appos
55 desembarcou desembarcar 12 VERB parataxis
56 porto porto 55 NOUN obj
57 marinha marinho 56 ADJ amod
58 busan busan 56 ADJ amod
59 coreia coreia 55 NOUN nsubj
60 sul sul 59 ADJ amod
61 kim kim 63 PROPN nsubj
62 jongun jongun 61 NOUN flat
63 reagiu reagir 55 VERB parataxis
64 furiosamente furiosamente 65 ADV advmod
65 ameacou ameacar 63 VERB conj
66 explodir explodir 65 VERB xcomp
67 frota frota 66 NOUN obj
68 agua agua 67 NOUN appos
69 unico unico 68 ADJ amod
70 missil missil 68 NOUN appos
71 especialistas especialista 73 NOUN nsubj
72 militares militar 71 ADJ amod
73 acreditam acreditar 70 VERB acl:relcl
74 tirano tirano 73 NOUN obj
75 preparando preparar 71 VERB acl
76 proximo proximo 77 ADJ amod
77 lancamento lancamento 75 NOUN obj
78 missil missil 77 NOUN appos
79 nuclear nuclear 78 ADJ amod
80 longo longo 81 ADJ amod
81 alcance alcance 78 NOUN amod
82 pode pode 83 AUX aux
83 acontecer acontecer 73 VERB parataxis
84 nesta nesta 85 ADP case
85 semana semana 83 NOUN nmod
86 observando observar 83 VERB acl
87 perto perto 86 ADV advmod
88 movimentos movimento 86 NOUN obj
89 militares militar 88 ADJ amod
90 nortecoreanos nortecoreano 88 ADJ amod
91 torno torno 88 ADJ nmod
92 wonsan wonsan 91 ADJ amod
93 mantendo manter 86 VERB acl
94 firme firme 95 ADJ amod
95 disposicao disposicao 93 NOUN obj
96 disseram dizer 83 VERB parataxis
97 militares militar 96 NOUN nsubj
98 sulcoreanos sulcoreano 97 ADJ amod
99 comunicado comunicar 96 VERB acl
