1 ouca ouca 2 DET det
2 olho olho 65 NOUN parataxis
3 mundo mundo 2 NOUN appos
4 online online 3 ADJ amod
5 aqui aqui 6 ADV advmod
6 vivo vivo 3 ADJ amod
7 radio radio 2 NOUN appos
8 estadao estadao 7 NOUN flat
9 sabado sabado 7 NOUN appos
10 19h 19h 11 NUM appos
11 domingo domingo 7 PROPN appos
12 20h 20h 11 NUM appos
13 929 929 11 NUM appos
14 fm fm 11 NOUN appos
15 participacao participacao 2 NOUN appos
16 haisem haisem 15 NOUN appos
17 abaki abaki 16 NOUN flat
18 andrei andrei 16 NOUN appos
19 netto netto 18 NOUN flat
20 jamil jamil 18 NOUN appos
21 chade chade 18 NOUN flat
22 lucia lucia 18 NOUN appos
23 guimaraes guimarae 18 NOUN flat
24 roxane roxane 18 NOUN appos
25 re re 26 ADP case
26 ferias feria 24 NOUN appos
27 ira ira 28 ADJ amod
28 acordo acordo 24 NOUN appos
29 historico historico 28 ADJ amod
30 encerra encerrar 35 VERB parataxis
31 tres tres 32 NUM nummod
32 decadas decada 30 NOUN nmod
33 isolamento isolamento 30 NOUN nsubj
34 ira ira 33 ADJ amod
35 dominou dominar 2 VERB parataxis
36 semana semana 35 NOUN obj
37 presidente presidente 35 NOUN nsubj
38 barack barack 37 NOUN appos
39 obama obama 38 NOUN flat
40 comecou comecar 35 VERB parataxis
41 campanha campanha 40 NOUN obj
42 intensa intenso 41 ADJ amod
43 defesa defesa 41 NOUN appos
44 acordo acordo 41 NOUN appos
45 enfrenta enfrentar 40 VERB parataxis
46 grande grande 47 ADJ amod
47 resistencia resistencia 45 NOUN obj
48 congresso congresso 45 NOUN nmod
49 controlado controlado 50 ADJ amod
50 partido partido 45 NOUN nsubj
51 republicano republicano 50 ADJ amod
52 reta reta 111 NOUN nsubj
53 final final 101 ADJ amod
54 negociacoes negociacoe 101 NOUN appos
55 revelou revelar 2 VERB parataxis
56 presidente presidente 55 NOUN obj
57 ousado ousado 56 ADJ amod
58 fortalecer fortalecer 56 VERB acl:inf
59 casa casa 58 NOUN obj
60 vitorias vitoria 59 NOUN appos
61 politica politica 60 ADJ amod
62 domestica domestico 60 ADJ amod
63 jamil jamil 111 NOUN nsubj
64 chade chade 63 NOUN flat
65 destaca destacar 0 VERB root
66 papel papel 65 NOUN obj
67 protagonista protagonista 66 ADJ amod
68 russia russia 66 NOUN appos
69 negociacoes negociacoe 66 NOUN appos
70 especialmente especialmente 71 ADV advmod
71 questao questao 66 NOUN appos
72 embargo embargo 71 NOUN flat
73 compra comprar 66 VERB acl:relcl
74 armas arma 73 NOUN obj
75 convencionais convencional 74 ADJ amod
76 ira ira 74 NOUN appos
77 andrei andrei 74 NOUN appos
78 neto neto 77 NOUN flat
79 conta conta 77 NOUN appos
80 franca franco 79 ADJ amod
81 comportamento comportamento 132 NOUN nsubj
82 relativamente relativamente 83 ADV advmod
83 apatico apatico 81 ADJ amod
84 negociacoes negociacoe 134 NOUN appos
85 governo governo 134 NOUN appos
86 frances france 85 ADJ amod
87 desconfianca desconfianca 85 NOUN amod
88 historica historico 89 ADJ amod
89 governo governo 111 NOUN nsubj
90 xiita xiita 89 ADJ amod
91 teera teera 89 NOUN appos
92 tende tende 84 VERB acl:relcl
93 alinhar alinhar 92 VERB xcomp
94 paises paise 93 NOUN obj
95 arabes arabe 94 ADJ amod
96 sunitas sunitas 94 ADJ amod
97 primeira primeiro 98 ADJ amod
98 vez vez 45 NOUN nmod
99 quatro quatro 100 NUM nummod
100 anos ano 45 NOUN nmod
101 guerra guerra 40 NOUN nsubj
102 siria sirio 101 ADJ amod
103 acordo acordo 111 NOUN nsubj
104 ira ira 103 ADJ amod
105 reaproximar reaproximar 103 VERB acl:inf
106 potencias potencia 105 NOUN obj
107 envolvidas envolvido 106 ADJ amod
108 negociacoes negociacoe 105 NOUN obj
109 viena vieno 108 ADJ amod
110 pode pode 111 AUX aux
111 abrir abrir 101 VERB acl:relcl
112 porta porta 111 NOUN obj
113 solucao solucao 112 ADJ amod
114 conflito conflito 112 NOUN appos
115 argumenta argumentar 111 VERB parataxis
116 andrei andrei 65 NOUN nsubj
117 netto netto 116 PROPN flat
118 destacando destacar 101 VERB acl
119 apoio apoio 118 NOUN obj
120 teera teera 119 ADJ amod
121 governo governo 119 NOUN appos
122 bashar bashar 121 NOUN appos
123 alassad alassad 122 ADJ amod
124 ira ira 129 NOUN nsubj
125 integrado integrar 126 VERB acl
126 comunidade comunidade 129 NOUN nsubj
127 internacional internacional 126 ADJ amod
128 pode pode 129 AUX aux
129 dedicar dedicar 65 VERB parataxis
130 melhor melhor 131 ADJ amod
131 conflito conflito 129 NOUN obj
132 alimenta alimentar 65 VERB parataxis
133 regularmente regularmente 132 ADV advmod
134 financiamento financiamento 132 NOUN obj
135 armas arma 134 NOUN appos
136 duvida duvido 135 ADJ amod
137 siria siria 138 ADJ amod
138 processo processo 134 NOUN appos
