1 tse tse 2 DET det
2 validade validade 17 NOUN nsubj
3 depoimentos depoimento 2 NOUN flat
4 odebrecht odebrecht 2 NOUN appos
5 domina dominar 2 VERB acl:relcl
6 discussoes discussoe 5 NOUN obj
7 manha manha 8 NOUN amod
8 ponto ponto 5 NOUN nmod
9 central central 8 ADJ amod
10 depoimentos depoimento 5 NOUN obj
11 validos valido 10 ADJ amod
12 prova prova 13 NOUN appos
13 parte parte 10 NOUN appos
14 ministros ministro 13 NOUN flat
15 considera considerar 0 VERB root
16 podem podem 17 AUX aux
17 incluidos incluir 15 VERB xcomp
18 processo processo 17 NOUN obj
19 porque porque 28 CCONJ mark
20 dados dar 28 NOUN advcl
21 acao acao 20 NOUN appos
22 apresentada apresentar 21 VERB acl
23 ministros ministro 22 NOUN nsubj
24 tribunal tribunal 23 NOUN appos
25 superior superior 24 ADJ amod
26 eleitoral eleitoral 24 ADJ amod
27 tse tse 28 PRON nsubj
28 dedicaram dedicar 17 VERB advcl
29 parte parte 28 NOUN obj
30 manha manha 29 NOUN flat
31 sessao sessao 28 NOUN obj
32 desta desta 33 ADP case
33 quintafeira quintafeira 31 NOUN nmod
34 8 8 35 NUM nummod
35 julgamento julgamento 28 NOUN nsubj
36 acao acao 35 NOUN amod
37 pede pedir 28 VERB parataxis
38 cassacao cassacao 37 NOUN obj
39 chapa chapa 38 NOUN appos
40 dilmatemer dilmatemer 39 NOUN flat
41 discussao discussao 37 NOUN obj
42 sobre sobre 43 ADP case
43 validade validade 41 NOUN nmod
44 incorporacao incorporacao 43 ADJ amod
45 processo processo 37 NOUN nsubj
46 depoimentos depoimento 37 NOUN nsubj
47 executivos executivo 46 ADJ amod
48 empreiteira empreiteiro 46 NOUN amod
49 odebrecht odebrecht 46 NOUN appos
50 longo longo 53 ADJ amod
51 quase quase 52 ADV advmod
52 tres tres 53 NUM nummod
53 horas hora 57 NOUN nmod
54 meia meio 55 ADJ amod
55 ministros ministro 57 NOUN nsubj
56 tse tse 57 PRON nsubj
57 debateram debater 46 VERB acl:relcl
58 conteudo conteudo 57 NOUN obj
59 depoimentos depoimento 57 NOUN obj
60 executivos executivo 59 ADJ amod
61 construtora construtor 59 NOUN amod
62 odebrecht odebrecht 59 NOUN appos
63 deveria dever 64 AUX aux
64 excluido excluir 59 VERB acl
65 julgamento julgamento 57 NOUN obj
66 informacoes informacoe 65 ADJ amod
67 empreiteira empreiteiro 65 ADJ amod
68 embasaram embasar 57 VERB parataxis
69 parte parte 68 NOUN obj
70 voto voto 69 NOUN amod
71 relator relator 69 NOUN appos
72 acao acao 69 NOUN appos
73 ministro ministro 72 NOUN flat
74 herman herman 72 NOUN appos
75 benjamin benjamin 74 NOUN flat
76 parte parte 72 NOUN appos
77 ministros ministro 76 NOUN flat
78 argumenta argumentar 57 VERB parataxis
79 tribunal tribunal 81 NOUN obj
80 pode pode 81 AUX aux
81 considerar considerar 78 VERB parataxis
82 prova prova 81 NOUN obj
83 porque porque 85 CCONJ mark
84 segundo segundo 85 CCONJ mark
85 constavam constar 81 VERB advcl
86 peticao peticao 85 NOUN obj
87 inicial inicial 86 ADJ amod
88 depoimentos depoimento 85 NOUN nsubj
89 dados dado 88 VERB amod
90 relator relator 86 NOUN appos
