1 apos apos 2 ADP case
2 video video 7 NOUN nmod
3 redes rede 7 NOUN nsubj
4 sociais social 3 ADJ amod
5 vicelider vicelider 7 NOUN nsubj
6 governo governo 7 NOUN nsubj
7 defende defender 0 VERB root
8 cristiane cristiane 7 NOUN obj
9 brasil brasil 8 ADJ amod
10 gente gente 12 NOUN nsubj
11 deputada deputado 10 ADJ amod
12 apareceu aparecer 7 VERB conj
13 gravacao gravacao 12 NOUN obj
14 barco barco 13 NOUN flat
15 acompanhada acompanhar 13 VERB acl
16 homens homem 15 NOUN nsubj
17 camisa camisa 16 NOUN flat
18 defendendo defender 16 VERB acl
19 acusacoes acusacoe 18 NOUN obj
20 trabalhistas trabalhista 19 ADJ amod
21 darcisio darcisio 19 NOUN appos
22 perondi perondi 21 NOUN flat
23 disse dizer 7 VERB parataxis
24 video video 23 NOUN obj
25 muda mudo 26 ADJ amod
26 disposicao disposicao 24 NOUN appos
27 nomeala nomealar 28 VERB acl:relcl
28 deputado deputado 23 NOUN obj
29 darcisio darcisio 28 ADJ amod
30 perondi perondi 28 ADJ appos
31 pmdbrs pmdbrs 28 NOUN appos
32 vicelideres vicelideres 31 NOUN flat
