1 pats pats 2 DET det
2 empresas empresa 3 NOUN nsubj
3 oferecem oferecer 0 VERB root
4 vagas vaga 3 NOUN obj
5 emprego emprego 4 NOUN appos
6 10 10 7 NUM nummod
7 cidades cidade 4 NOUN appos
8 regiao regiao 7 NOUN appos
9 ribeirao ribeirao 8 NOUN appos
10 preto preto 11 ADJ amod
11 vagas vaga 3 NOUN parataxis
12 analista analista 11 ADJ amod
13 contabil contabil 11 NOUN appos
14 junior junior 15 ADJ amod
15 consultor consultor 11 NOUN appos
16 financeiro financeiro 15 ADJ amod
17 pintor pintor 15 NOUN amod
