1 cada cada 2 DET det
2 vez vez 6 NOUN nsubj
3 disseminado disseminar 2 VERB acl
4 fake fake 5 NOUN amod
5 news news 3 NOUN nsubj
6 transformou transformar 0 VERB root
7 farisaismo farisaismo 6 NOUN obj
8 religiao religiao 7 ADJ amod
9 noticias noticia 6 NOUN obj
10 falsas falso 9 ADJ amod
11 bemsucedidas bemsucedido 9 ADJ amod
12 verdadeiras verdadeiro 9 ADJ amod
13 caso caso 16 CCONJ mark
14 marielle marielle 16 NOUN nsubj
15 pode pode 16 AUX aux
16 apontar apontar 6 VERB advcl
17 caminho caminho 16 NOUN obj
18 combatelas combatela 17 NOUN flat
19 existem existir 6 VERB parataxis
20 menos menos 21 ADV advmod
21 dois dois 22 NUM nummod
22 tipos tipo 19 NOUN nsubj
23 fake fake 22 ADJ amod
24 news news 22 NOUN appos
25 culposa culposo 27 ADJ amod
26 dolosa doloso 27 ADJ amod
27 nota nota 22 NOUN appos
28 colunista colunista 27 ADJ amod
29 politico politico 30 ADJ amod
30 jornal jornal 27 NOUN appos
31 carioca carioca 30 ADJ amod
32 anunciou anunciar 27 VERB acl:relcl
33 renuncia renuncia 32 NOUN obj
34 temer temer 33 NOUN appos
35 tarde tarde 34 ADV advmod
36 maio maio 37 PROPN appos
37 ano ano 34 NOUN nmod
38 passado passado 37 ADJ amod
39 fake fake 32 NOUN parataxis
40 culposa culposa 39 NOUN amod
41 pois pois 43 CCONJ mark
42 intencao intencao 43 NOUN nsubj
43 derrubar derrubar 39 VERB acl:relcl
44 presidente presidente 43 NOUN obj
45 amigo amigo 44 NOUN flat
46 ibovespa ibovespa 44 NOUN appos
47 culposa culposo 48 ADJ amod
48 bumerangue bumerangue 133 NOUN nsubj
49 derrubou derrubar 135 VERB ccomp
50 apenas apenas 49 ADV advmod
51 reputacao reputacao 49 NOUN obj
52 colunista colunista 51 ADJ amod
53 dolosa doloso 51 ADJ amod
54 fake fake 49 NOUN nsubj
55 desembargadora desembargador 54 NOUN flat
56 marilia marilia 54 NOUN appos
57 castro castro 56 NOUN flat
58 neves neve 56 ADJ amod
59 imputando imputar 54 VERB acl
60 marielle marielle 59 NOUN obj
61 franco franco 60 ADJ amod
62 coisas coisa 59 NOUN obj
63 assassinada assassinar 64 VERB acl
64 vereadora vereador 67 NOUN nsubj
65 psol psol 64 NOUN appos
66 nunca nunca 67 ADV advmod
67 fizera fazer 60 VERB acl:relcl
68 indisfarcavel indisfarcavel 67 ADJ xcomp
69 intuito intuito 70 NOUN mark
70 denegrir denegrir 67 VERB ccomp
71 imagem imagem 70 NOUN obj
72 vitima vitima 71 ADJ amod
73 tabela tabela 70 NOUN nsubj
74 minimizar minimizar 70 VERB ccomp
75 culpa culpa 74 NOUN obj
76 executores executor 75 NOUN appos
77 dolosa doloso 82 ADJ amod
78 bumerangue bumerangue 74 NOUN obj
79 nunca nunca 80 ADV advmod
80 hater hater 74 VERB ccomp
81 atuante atuante 82 ADJ amod
82 midias midias 80 NOUN obj
83 sociais social 82 ADJ amod
84 apanhou apanhar 70 VERB parataxis
85 tanto tanto 86 ADV advmod
86 inclusive inclusive 84 ADV advmod
87 pares par 84 NOUN obj
88 conta conta 84 NOUN parataxis
89 postagem postagem 84 NOUN obj
90 caluniosa calunioso 89 ADJ amod
91 primeira primeiro 93 ADJ amod
92 ultima ultima 93 ADJ amod
93 linha linha 84 NOUN nsubj
94 base base 84 NOUN appos
95 informacoes informacoe 84 NOUN nsubj
96 levianamente levianamente 97 ADV advmod
97 colhidas colher 95 VERB acl
98 texto texto 101 NOUN nsubj
99 amiga amigo 98 NOUN appos
100 amiga amigo 98 NOUN appos
101 queremos querer 93 VERB acl:relcl
102 conhecer conhecer 101 VERB xcomp
103 identidade identidade 102 NOUN obj
104 afinal afinal 102 ADV advmod
105 cometeu cometer 102 VERB parataxis
106 primeiro primeiro 107 ADJ amod
107 delito delito 105 NOUN obj
108 desinformando desinformar 107 VERB acl
109 autoridade autoridade 108 NOUN obj
110 judiciario judiciario 109 ADJ amod
111 sobre sobre 112 ADP mark
112 passado passado 113 ADJ amod
113 marielle marielle 102 NOUN nmod
114 valendose valendose 102 NOUN appos
115 especie especie 114 NOUN obj
116 segredo segredo 115 NOUN flat
117 injustica injustico 115 ADJ amod
118 desembargadora desembargador 119 NOUN nsubj
119 denunciou denunciar 32 VERB parataxis
120 amiga amigo 119 NOUN obj
121 imagino imagino 120 NOUN flat
122 cobrado cobrado 120 ADJ amod
123 satisfacoes satisfacoes 120 NOUN flat
124 acusadoa acusadoa 126 ADJ amod
125 irresponsavel irresponsavel 126 ADJ amod
126 amiga amigo 119 NOUN nsubj
127 igualmente igualmente 128 ADV advmod
128 coberta coberto 126 ADJ amod
129 razao razao 43 NOUN obj
130 retrucado retrucado 126 ADJ amod
131 irresponsavel irresponsavel 129 ADJ amod
132 marilia marilia 133 NOUN nsubj
133 checou checar 6 VERB parataxis
134 informacoes informacoes 133 NOUN obj
135 checou checar 133 VERB parataxis
136 porque porque 139 CCONJ mark
137 presumo presumo 49 VERB advcl
138 1 1 139 NUM nsubj
139 confiava confiar 137 VERB ccomp
140 cegamente cegamente 139 ADV advmod
141 amiga amigo 139 NOUN obj
142 resto resto 60 NOUN appos
143 nada nada 144 ADV advmod
144 confiavel confiavel 142 ADJ amod
145 mente mente 144 NOUN nsubj
146 sordida sordido 145 ADJ amod
147 bastante bastante 67 ADV advmod
148 fofocar fofocar 67 VERB ccomp
149 infamias infamias 70 NOUN obj
150 escrito escrever 71 VERB acl
151 2 2 152 NUM nummod
152 babados babado 74 NOUN obj
153 amiga amigo 154 NOUN nsubj
154 coonestavam coonestar 67 VERB conj
155 preconceituosas preconceituoso 82 ADJ amod
156 desconfiancas desconfiancas 154 ADJ obj
157 respeito respeito 154 NOUN obj
158 vereadora vereador 157 NOUN flat
159 3 3 160 NUM nsubj
160 pressa pressar 154 VERB parataxis
161 desembargar desembargar 160 VERB xcomp
162 patranha patranha 161 NOUN obj
