1 s s 2 DET det
2 doleiros doleiro 20 NOUN nsubj
3 acusados acusar 2 VERB acl
4 lavar lavar 3 VERB xcomp
5 dinheiro dinheiro 4 NOUN obj
6 roubado roubar 2 VERB acl
7 quadrilha quadrilha 4 NOUN obj
8 exgovernador exgovernador 7 NOUN amod
9 sergio sergio 7 NOUN appos
10 cabral cabral 11 ADJ amod
11 vinicius vinicius 2 NOUN appos
12 claret claret 11 NOUN flat
13 conhecido conhecido 11 ADJ amod
14 juca juca 11 NOUN appos
15 bala bala 14 NOUN flat
16 claudio claudio 14 NOUN appos
17 fernando fernando 14 NOUN appos
18 barbosa barboso 17 ADJ flat
19 tony tony 17 PROPN appos
20 chegaram chegar 0 VERB root
21 rio rio 20 NOUN nmod
22 janeiro janeiro 21 PROPN appos
23 tarde tarde 20 NOUN advmod
24 desta desta 25 ADP case
25 quintafeira quintafeira 23 NOUN nmod
26 28 28 27 NUM nummod
27 vindos vindo 25 NOUN appos
28 uruguai uruguai 27 NOUN amod
29 chegaram chegar 20 VERB parataxis
30 voo voo 29 NOUN obj
31 comercial comercial 30 ADJ amod
32 pousou pousar 20 VERB parataxis
33 aeroporto aeroporto 32 NOUN obj
34 galeao galeao 33 ADJ amod
35 13h40 13h40 36 NUM nummod
36 extradicao extradicao 32 NOUN nsubj
37 concedida conceder 38 VERB acl
38 governo governo 36 NOUN appos
39 uruguaio uruguaio 38 ADJ amod
40 semana semana 38 NOUN appos
41 passada passado 40 ADJ amod
42 escoltados escoltado 43 ADJ amod
43 agentes agente 47 NOUN nsubj
44 policia policia 43 NOUN appos
45 federal federal 43 ADJ amod
46 doleiros doleiro 43 NOUN appos
47 chegaram chegar 20 VERB parataxis
48 volta volta 47 NOUN nmod
49 14h45 14h45 50 NUM nummod
50 instituto instituto 47 NOUN nsubj
51 medico medico 50 ADJ amod
52 legal legal 50 ADJ amod
53 zona zona 50 NOUN appos
54 portuaria portuaria 53 ADJ amod
55 juca juca 53 ADJ appos
56 bala bala 55 NOUN flat
57 tony tony 55 NOUN flat
58 fizeram fazer 47 VERB parataxis
59 exames exame 58 NOUN obj
60 seguiram seguir 47 VERB parataxis
61 cadeia cadeia 60 NOUN obj
62 publica publico 61 ADJ amod
63 benfica benfico 64 ADJ amod
64 zona zona 61 NOUN appos
