1 oito oito 2 NUM nummod
2 oportunidades oportunidade 59 NOUN nsubj
3 empreender empreender 2 VERB acl
4 segmento segmento 3 NOUN obj
5 eficiencia eficiencia 4 NOUN appos
6 energetica energetico 5 ADJ amod
7 identificadas identificar 2 VERB acl
8 estudo estudo 3 NOUN obj
9 feito feito 8 VERB acl
10 conjunto conjunto 9 NOUN obj
11 aes aes 12 ADP case
12 tiete tiete 8 NOUN nmod
13 eletropaulo eletropaulo 12 NOUN appos
14 aceleradora acelerador 13 ADJ amod
15 negocios negocio 16 NOUN appos
16 impacto impacto 2 NOUN appos
17 social social 16 ADJ amod
18 artemisia artemisia 19 NOUN appos
19 acesso acesso 16 NOUN appos
20 energia energia 19 NOUN flat
21 geracao geracao 19 ADJ amod
22 distribuicao distribuicao 19 NOUN amod
23 descentralizada descentralizado 24 ADJ amod
24 energia energia 19 NOUN appos
25 inteligencia inteligencia 24 NOUN amod
26 dados dado 24 NOUN amod
27 eficiencia eficiencia 24 NOUN appos
28 energetica energetico 27 ADJ amod
29 eficiencia eficiencia 24 NOUN appos
30 energetica energetico 29 ADJ amod
31 meio meio 24 NOUN appos
32 adequacao adequacao 27 ADJ amod
33 imoveis imovel 34 ADJ amod
34 equipamentos equipamento 31 NOUN appos
35 eficiencia eficiencia 34 NOUN appos
36 energetica energetico 34 ADJ amod
37 gestao gestao 38 NOUN appos
38 equipamentos equipamento 31 NOUN appos
39 publicos publico 38 ADJ amod
40 energia energia 38 NOUN appos
41 producao producao 38 ADJ amod
42 campo campo 40 NOUN appos
43 meios meios 42 ADJ amod
44 financiamento financiamento 40 NOUN appos
45 acesso acesso 40 NOUN appos
46 servicos servico 47 ADJ amod
47 energia energia 45 NOUN appos
48 convencional convencional 47 ADJ amod
49 capacitacao capacitacao 50 ADJ amod
50 oportunidades oportunidade 59 NOUN obj
51 profissionais profissional 50 ADJ amod
52 oportunidades oportunidade 50 NOUN appos
53 detectadas detectar 52 VERB acl
54 gerente gerente 53 NOUN obj
55 projetos projeto 53 NOUN obj
56 artemisia artemisia 55 NOUN appos
57 paula paula 56 NOUN flat
58 sato sato 56 NOUN flat
59 afirma afirmar 0 VERB root
60 parceiros parceiro 59 NOUN obj
61 estudo estudo 62 NOUN nsubj
62 esperam esperar 59 VERB parataxis
63 resultado resultado 62 NOUN obj
64 obtido obtido 63 ADJ amod
65 sirva servir 66 ADJ amod
66 base base 68 NOUN obj
67 quer querer 59 VERB parataxis
68 investir investir 67 VERB xcomp
69 segmento segmento 68 NOUN obj
70 faca faca 69 NOUN flat
