1 nove nove 2 NUM nummod
2 algoritmos algoritmo 5 NOUN nsubj
3 podem podem 5 AUX aux
4 estar estar 5 AUX aux
5 tomando tomar 24 VERB ccomp
6 decisoes decisoe 5 NOUN obj
7 saber saber 5 VERB ccomp
8 sistemas sistema 7 NOUN obj
9 inteligencia inteligencia 8 NOUN appos
10 artificial artificial 9 ADJ amod
11 determinam determinar 5 VERB parataxis
12 escolhido escolher 11 VERB acl
13 entrevistas entrevista 15 NOUN obj
14 emprego emprego 13 NOUN appos
15 conseguira conseguir 11 VERB parataxis
16 emprestimos emprestimo 15 NOUN obj
17 relacionamos relacionar 0 VERB root
18 chance chance 17 NOUN obj
19 pessoa pessoa 18 NOUN flat
20 cometer cometer 18 VERB acl:inf
21 novo novo 22 ADJ amod
22 crime crime 20 NOUN obj
23 tecnologia tecnologia 22 NOUN appos
24 levanta levantar 17 VERB parataxis
25 questoes questoe 24 NOUN obj
26 eticas etico 25 ADJ amod
27 importantes importante 25 ADJ amod
28 video video 42 NOUN nsubj
29 mostra mostra 24 NOUN parataxis
30 medico medico 29 NOUN appos
31 david david 30 NOUN appos
32 dao dao 31 NOUN flat
33 sendo ser 34 AUX aux:pass
34 removido remover 30 VERB acl
35 voo voo 34 NOUN nsubj:pass
36 united united 37 ADJ amod
37 airlines airlines 35 NOUN appos
38 aeroporto aeroporto 35 NOUN appos
39 chicago chicago 40 NOUN amod
40 estados estado 38 NOUN appos
41 unidos unido 40 ADJ amod
42 viralizou viralizar 5 VERB parataxis
43 abril abril 42 PROPN obj
44 passado passado 43 ADJ amod
45 episodio episodio 46 NOUN nsubj
46 gerou gerar 42 VERB parataxis
47 prejuizos prejuízo 46 NOUN obj
48 imagem imagem 49 NOUN amod
49 empresa empresa 46 NOUN nsubj
50 americana americano 49 ADJ amod
51 cuja cuja 52 DET det
52 tripulacao tripulacao 53 NOUN nsubj
53 queria querer 49 VERB acl:relcl
54 dao dao 53 NOUN obj
55 cedesse ceder 53 VERB ccomp
56 lugar lugar 55 NOUN obj
57 funcionario funcionario 56 NOUN amod
58 destino destino 56 NOUN flat
59 voo voo 56 NOUN appos
60 louisville louisville 59 NOUN flat
61 render render 55 VERB ccomp
62 equipe equipe 61 NOUN obj
63 local local 62 ADJ amod
64 quase quase 66 ADV advmod
65 nenhuma nenhuma 66 DET det
66 criticas criticas 67 NOUN nsubj
67 tratou tratar 46 VERB parataxis
68 elemento elemento 67 NOUN obj
69 crucial crucial 68 ADJ amod
70 ocorrido ocorrer 68 VERB acl
71 necessidade necessidade 72 NOUN obj
72 retirar retirar 68 VERB acl:inf
73 medico medico 72 NOUN obj
74 voo voo 73 NOUN flat
75 decidida decidido 76 ADJ amod
76 maquina maquina 72 NOUN nsubj
77 especificamente especificamente 78 ADV advmod
78 programa programa 76 NOUN appos
79 computador computador 78 ADJ amod
80 exemplo exemplo 78 NOUN appos
81 classico classico 82 ADJ amod
82 programas programa 78 NOUN appos
83 conhecidos conhecer 82 VERB acl
84 algoritimos algoritimo 82 ADJ amod
85 tomando tomar 82 VERB acl
86 decisoes decisoe 85 NOUN obj
87 afetam afetar 67 VERB parataxis
88 vidas vida 87 NOUN obj
89 muitas muitas 90 DET det
90 vezes vez 87 NOUN nmod
91 gente gente 93 NOUN nsubj
92 sequer sequer 93 ADV advmod
93 saiba saber 87 VERB advcl
94 disso disso 95 X case
95 especialistas especialista 93 NOUN nmod
96 manifestaram manifestar 87 VERB parataxis
97 preocupacao preocupacao 96 NOUN obj
98 falta falta 96 NOUN obj
99 transparencia transparencia 96 NOUN obj
100 uso uso 96 NOUN obj
101 sistemas sistema 100 NOUN flat
