1 menos menos 2 DET det
2 seis seis 3 NUM nsubj
3 ficam ficar 0 VERB root
4 feridos ferido 3 ADJ xcomp
5 confusao confusao 3 ADJ xcomp
6 durante durante 7 ADP case
7 ato ato 3 NOUN nmod
8 camara camara 7 NOUN appos
9 sp sp 7 ADJ amod
10 cinco cinco 11 NUM nummod
11 servidores servidor 3 NOUN nsubj
12 idoso idoso 11 ADJ amod
13 participava participar 3 VERB parataxis
14 protesto protesto 13 NOUN obj
15 agredidos agredido 14 ADJ amod
16 pms pms 17 ADP case
17 guardas guarda 14 NOUN nmod
18 menos menos 19 ADV advmod
19 seis seis 20 NUM nummod
20 pessoas pessoa 21 NOUN nsubj
21 ficaram ficar 3 VERB parataxis
22 feridas ferido 21 ADJ xcomp
23 confusao confusao 21 ADJ xcomp
24 ocorrida ocorrer 23 VERB acl
25 durante durante 26 ADP case
26 protesto protesto 24 NOUN nmod
27 professores professor 26 NOUN appos
28 frente frente 29 NOUN amod
29 camara camara 26 NOUN appos
30 municipal municipal 29 ADJ amod
31 paulo paulo 29 NOUN appos
32 tarde tarde 26 NOUN appos
33 desta desta 34 ADP case
34 quartafeira quartafeira 32 NOUN nmod
35 14 14 34 NUM appos
36 segundo segundo 37 ADP case
37 advogado advogado 41 NOUN nmod
38 cleiton cleiton 37 NOUN appos
39 leite leite 38 NOUN flat
40 coutinho coutinho 38 NOUN flat
41 defende defender 3 VERB conj
42 sindicato sindicato 41 NOUN obj
43 geral geral 42 ADJ amod
44 servidores servidor 42 NOUN appos
45 sindsep sindsep 46 ADJ amod
46 feridos ferido 42 NOUN appos
47 socorridos socorrer 46 VERB acl
48 levados levar 49 VERB acl
49 hospital hospital 46 NOUN appos
50 municipal municipal 49 ADJ amod
51 servidor servidor 49 NOUN appos
52 publico publico 49 ADJ amod
53 cinco cinco 54 NUM nummod
54 funcionarios funcionario 57 NOUN nsubj
55 publicos publico 54 ADJ amod
56 idoso idoso 54 ADJ amod
57 participava participar 3 VERB parataxis
58 manifestacao manifestacao 59 ADJ amod
59 ato ato 57 NOUN obj
60 contra contra 61 ADP case
61 reforma reforma 59 NOUN nmod
62 previdencia previdencio 61 ADJ amod
63 servidores servidor 59 NOUN appos
64 municipais municipal 63 ADJ amod
65 autoria autoria 59 NOUN appos
66 gestao gestao 59 NOUN appos
67 joao joao 66 NOUN appos
68 doria doria 67 NOUN flat
69 psdb psdb 72 PROPN nsubj
70 projeto projeto 72 NOUN nsubj
71 lei lei 70 NOUN flat
72 pretende pretender 59 VERB conj
73 outros outros 72 PRON obj
