# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = fingindo atender recomendacao do ministerio publico federal e do banco central que mandaram que ele demitisse os 12 vicepresidentes da caixa temer afastou quatro deles por 15 dias tratase de mais um passa moleque do constitucionalista michel primeiramente e um absurdo a caixa ter 12 vicepresidentes e mais absurdo ainda e o criterio da escolha da alta cupula de um banco publico com as responsabilidades da caixa privilegiando indicacoes politicas a ponto de permitir uma impertinencia como a da instituicao reagindo a necessaria investigacao de atos tao graves de seus dirigentes apenas para preservalos e com isso nao criar problemas para temer e seus aliados nas votacoes no congresso nacional misturando as coisas de forma imoral comentario no jornal eldorado da radio eldorado fm 1073 na quartafeira 17 de janeiro de 2018 as 7h45m para ouvir clique aqui e em seguida no play para ouvir voce e doida demais com lindomar castilho clique aqui https//wwwyoutubecom/watchvggp6mwoz0js abaixo a integra da degravacao do comentario eldorado 17 de janeiro de 2018 quartafeira emanuel apos recomendacao do banco central bc e alerta do ministerio publico federal mpf sobre
1	fingindo	fingir	VERB	VERB	_	0	root	_	TokenRange=0:8
2	atender	atender	VERB	VERB	_	1	xcomp	_	TokenRange=9:16
3	recomendacao	recomendacao	NOUN	NOUN	_	2	obj	_	TokenRange=17:29
4-5	do	_	_	_	_	_	_	_	TokenRange=30:32
4	de	de	ADP	ADP	_	6	case	_	_
5	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	6	det	_	_
6	ministerio	ministerio	NOUN	NOUN	_	3	nmod	_	TokenRange=33:43
7	publico	publico	ADJ	ADJ	_	6	amod	_	TokenRange=44:51
8	federal	federal	ADJ	ADJ	_	6	amod	_	TokenRange=52:59
9	e	e	CCONJ	CONJ	_	12	cc	_	TokenRange=60:61
10-11	do	_	_	_	_	_	_	_	TokenRange=62:64
10	de	de	ADP	ADP	_	12	case	_	_
11	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	12	det	_	_
12	banco	banco	NOUN	NOUN	_	6	conj	_	TokenRange=65:70
13	central	central	ADJ	ADJ	_	12	amod	_	TokenRange=71:78
14	que	_	PRON	PRON	_	15	nsubj	_	TokenRange=79:82
15	mandaram	mandar	VERB	VERB	_	6	acl:relcl	_	TokenRange=83:91
16	que	que	CCONJ	CONJ	_	18	mark	_	TokenRange=92:95
17	ele	_	PRON	PRON	_	18	nsubj	_	TokenRange=96:99
18	demitisse	demitir	VERB	VERB	_	15	ccomp	_	TokenRange=100:109
19	os	o	DET	DET	_	21	det	_	TokenRange=110:112
20	12	_	NUM	NUM	NumType=Card	21	nummod	_	TokenRange=113:115
21	vicepresidentes	vicepresidente	NOUN	NOUN	_	18	obj	_	TokenRange=116:131
22-23	da	_	_	_	_	_	_	_	TokenRange=132:134
22	de	de	ADP	ADP	_	24	case	_	_
23	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	24	det	_	_
24	caixa	caixa	NOUN	NOUN	_	21	nmod	_	TokenRange=135:140
25	temer	temer	NOUN	NOUN	_	18	nsubj	_	TokenRange=141:146
26	afastou	afastar	VERB	VERB	_	15	ccomp	_	TokenRange=147:154
27	quatro	_	NUM	NUM	NumType=Card	26	obj	_	TokenRange=155:161
28	deles	_	X	ADPPRON	_	27	nmod	_	TokenRange=162:167
29	por	por	ADP	ADP	_	31	case	_	TokenRange=168:171
30	15	_	NUM	NUM	NumType=Card	31	nummod	_	TokenRange=172:174
31	dias	dia	NOUN	NOUN	_	26	nmod	_	TokenRange=175:179
32	tratase	tratar	VERB	VERB	_	26	parataxis	_	TokenRange=180:187
33	de	de	ADP	ADP	_	36	case	_	TokenRange=188:190
34	mais	mais	ADV	ADV	_	35	advmod	_	TokenRange=191:195
35	um	_	NUM	NUM	NumType=Card	36	nummod	_	TokenRange=196:198
36	passa	passa	NOUN	NOUN	_	32	nmod	_	TokenRange=199:204
37	moleque	moleque	NOUN	NOUN	_	36	flat	_	TokenRange=205:212
38-39	do	_	_	_	_	_	_	_	TokenRange=213:215
38	de	de	ADP	ADP	_	40	case	_	_
39	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	40	det	_	_
40	constitucionalista	constitucionalista	NOUN	NOUN	_	36	nmod	_	TokenRange=216:234
41	michel	_	ADJ	ADJ	_	40	appos	_	TokenRange=235:241
42	primeiramente	primeiramente	ADV	ADV	_	32	advmod	_	TokenRange=242:255
43	e	e	CCONJ	CONJ	_	45	cc	_	TokenRange=256:257
44	um	um	DET	DET	_	45	det	_	TokenRange=258:260
45	absurdo	absurdo	NOUN	NOUN	_	32	conj	_	TokenRange=261:268
46	a	o	DET	DET	_	47	det	_	TokenRange=269:270
47	caixa	caixa	NOUN	NOUN	_	48	nsubj	_	TokenRange=271:276
48	ter	ter	VERB	VERB	_	45	csubj	_	TokenRange=277:280
49	12	_	NUM	NUM	NumType=Card	50	nummod	_	TokenRange=281:283
50	vicepresidentes	vicepresidente	NOUN	NOUN	_	48	obj	_	TokenRange=284:299
51	e	e	CCONJ	CONJ	_	57	cc	_	TokenRange=300:301
52	mais	mais	ADV	ADV	_	53	advmod	_	TokenRange=302:306
53	absurdo	absurdo	ADJ	ADJ	_	48	conj	_	TokenRange=307:314
54	ainda	ainda	ADV	ADV	_	57	advmod	_	TokenRange=315:320
55	e	e	CCONJ	CONJ	_	57	cc	_	TokenRange=321:322
56	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	57	det	_	TokenRange=323:324
57	criterio	criterio	NOUN	NOUN	_	48	conj	_	TokenRange=325:333
58-59	da	_	_	_	_	_	_	_	TokenRange=334:336
58	de	de	ADP	ADP	_	60	case	_	_
59	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	60	det	_	_
60	escolha	escolha	NOUN	NOUN	_	57	nmod	_	TokenRange=337:344
61-62	da	_	_	_	_	_	_	_	TokenRange=345:347
61	de	de	ADP	ADP	_	64	case	_	_
62	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	64	det	_	_
63	alta	alto	ADJ	ADJ	_	64	amod	_	TokenRange=348:352
64	cupula	cupula	NOUN	NOUN	_	60	nmod	_	TokenRange=353:359
65	de	de	ADP	ADP	_	67	case	_	TokenRange=360:362
66	um	um	DET	DET	_	67	det	_	TokenRange=363:365
67	banco	banco	NOUN	NOUN	_	64	nmod	_	TokenRange=366:371
68	publico	publico	ADJ	ADJ	_	67	amod	_	TokenRange=372:379
69	com	com	ADP	ADP	_	71	case	_	TokenRange=380:383
70	as	o	DET	DET	_	71	det	_	TokenRange=384:386
71	responsabilidades	responsabilidade	NOUN	NOUN	_	157	nmod	_	TokenRange=387:404
72-73	da	_	_	_	_	_	_	_	TokenRange=405:407
72	de	de	ADP	ADP	_	74	case	_	_
73	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	74	det	_	_
74	caixa	caixa	NOUN	NOUN	_	71	nmod	_	TokenRange=408:413
75	privilegiando	privilegiar	VERB	VERB	_	157	acl	_	TokenRange=414:427
76	indicacoes	indicacoe	NOUN	NOUN	_	75	obj	_	TokenRange=428:438
77	politicas	politico	ADJ	ADJ	_	76	amod	_	TokenRange=439:448
78	a	_	ADP	ADP	_	81	mark	_	TokenRange=449:450
79	ponto	ponto	NOUN	NOUN	_	78	fixed	_	TokenRange=451:456
80	de	_	ADP	ADP	_	78	fixed	_	TokenRange=457:459
81	permitir	permitir	VERB	VERB	_	167	advcl	_	TokenRange=460:468
82	uma	um	DET	DET	_	83	det	_	TokenRange=469:472
83	impertinencia	impertinencia	NOUN	NOUN	_	81	obj	_	TokenRange=473:486
84	como	como	ADP	ADP	_	85	case	_	TokenRange=487:491
85	a	_	PRON	PRON	_	172	nmod	_	TokenRange=492:493
86-87	da	_	_	_	_	_	_	_	TokenRange=494:496
86	de	de	ADP	ADP	_	88	case	_	_
87	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	88	det	_	_
88	instituicao	instituicao	NOUN	NOUN	_	85	nmod	_	TokenRange=497:508
89	reagindo	reagir	VERB	VERB	_	85	acl	_	TokenRange=509:517
90	a	o	DET	DET	_	92	det	_	TokenRange=518:519
91	necessaria	necessario	ADJ	ADJ	_	92	amod	_	TokenRange=520:530
92	investigacao	investigacao	NOUN	NOUN	_	89	obj	_	TokenRange=531:543
93	de	de	ADP	ADP	_	94	case	_	TokenRange=544:546
94	atos	ato	NOUN	NOUN	_	92	nmod	_	TokenRange=547:551
95	tao	tao	ADV	ADV	_	96	advmod	_	TokenRange=552:555
96	graves	grave	ADJ	ADJ	_	94	amod	_	TokenRange=556:562
97	de	de	ADP	ADP	_	99	case	_	TokenRange=563:565
98	seus	_	DET	DET	_	99	det:poss	_	TokenRange=566:570
99	dirigentes	dirigente	NOUN	NOUN	_	94	nmod	_	TokenRange=571:581
100	apenas	apenas	ADV	ADV	_	102	advmod	_	TokenRange=582:588
101	para	_	ADP	ADP	_	102	case	_	TokenRange=589:593
102	preservalos	preservalo	NOUN	NOUN	_	89	nmod	_	TokenRange=594:605
103	e	e	CCONJ	CONJ	_	107	cc	_	TokenRange=606:607
104	com	com	ADP	ADP	_	105	case	_	TokenRange=608:611
105	isso	_	PRON	PRON	_	107	nmod	_	TokenRange=612:616
106	nao	nao	ADV	ADV	Polarity=Neg	107	advmod	_	TokenRange=617:620
107	criar	criar	VERB	VERB	_	26	conj	_	TokenRange=621:626
108	problemas	problema	NOUN	NOUN	_	107	obj	_	TokenRange=627:636
109	para	para	ADP	ADP	_	110	case	_	TokenRange=637:641
110	temer	temer	NOUN	NOUN	_	108	nmod	_	TokenRange=642:647
111	e	e	CCONJ	CONJ	_	113	cc	_	TokenRange=648:649
112	seus	_	DET	DET	_	113	det:poss	_	TokenRange=650:654
113	aliados	aliado	NOUN	NOUN	_	110	conj	_	TokenRange=655:662
114-115	nas	_	_	_	_	_	_	_	TokenRange=663:666
114	em	em	ADP	ADP	_	116	case	_	_
115	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	116	det	_	_
116	votacoes	votacoe	NOUN	NOUN	_	195	nmod	_	TokenRange=667:675
117-118	no	_	_	_	_	_	_	_	TokenRange=676:678
117	em	em	ADP	ADP	_	119	case	_	_
118	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	119	det	_	_
119	congresso	congresso	NOUN	NOUN	_	116	nmod	_	TokenRange=679:688
120	nacional	nacional	ADJ	ADJ	_	119	amod	_	TokenRange=689:697
121	misturando	misturar	VERB	VERB	_	107	acl	_	TokenRange=698:708
122	as	o	DET	DET	_	123	det	_	TokenRange=709:711
123	coisas	coisa	NOUN	NOUN	_	121	obj	_	TokenRange=712:718
124	de	de	ADP	ADP	_	125	case	_	TokenRange=719:721
125	forma	forma	NOUN	NOUN	_	121	nmod	_	TokenRange=722:727
126	imoral	imoral	ADJ	ADJ	_	125	amod	_	TokenRange=728:734
127	comentario	comentario	NOUN	NOUN	_	121	obj	_	TokenRange=735:745
128-129	no	_	_	_	_	_	_	_	TokenRange=746:748
128	em	em	ADP	ADP	_	130	case	_	_
129	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	130	det	_	_
130	jornal	jornal	NOUN	NOUN	_	127	nmod	_	TokenRange=749:755
131	eldorado	eldorado	ADJ	ADJ	_	130	amod	_	TokenRange=756:764
132-133	da	_	_	_	_	_	_	_	TokenRange=765:767
132	de	de	ADP	ADP	_	134	case	_	_
133	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	134	det	_	_
134	radio	radio	NOUN	NOUN	_	130	nmod	_	TokenRange=768:773
135	eldorado	eldorado	ADJ	ADJ	_	134	amod	_	TokenRange=774:782
136	fm	fm	NOUN	NOUN	_	134	appos	_	TokenRange=783:785
137	1073	_	NUM	NUM	NumType=Card	136	appos	_	TokenRange=786:790
138-139	na	_	_	_	_	_	_	_	TokenRange=791:793
138	em	em	ADP	ADP	_	140	case	_	_
139	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	140	det	_	_
140	quartafeira	_	PROPN	PNOUN	_	32	nmod	_	TokenRange=794:805
141	17	_	NUM	NUM	NumType=Card	140	nmod	_	TokenRange=806:808
142	de	de	ADP	ADP	_	143	case	_	TokenRange=809:811
143	janeiro	_	PROPN	PNOUN	_	141	nmod	_	TokenRange=812:819
144	de	de	ADP	ADP	_	145	case	_	TokenRange=820:822
145	2018	_	NUM	NUM	NumType=Card	143	nmod	_	TokenRange=823:827
146	as	o	DET	DET	_	147	det	_	TokenRange=828:830
147	7h45m	_	NUM	NUM	NumType=Card	48	nsubj	_	TokenRange=831:836
148	para	_	ADP	ADP	_	149	mark	_	TokenRange=837:841
149	ouvir	ouvir	VERB	VERB	_	48	advcl	_	TokenRange=842:847
150	clique	clique	NOUN	NOUN	_	149	obj	_	TokenRange=848:854
151	aqui	aqui	ADV	ADV	_	150	advmod	_	TokenRange=855:859
152	e	e	CCONJ	CONJ	_	57	cc	_	TokenRange=860:861
153	em	em	ADP	ADP	_	154	case	_	TokenRange=862:864
154	seguida	_	NOUN	NOUN	_	57	nmod	_	TokenRange=865:872
155-156	no	_	_	_	_	_	_	_	TokenRange=873:875
155	em	em	ADP	ADP	_	157	case	_	_
156	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	157	det	_	_
157	play	play	NOUN	NOUN	_	60	nmod	_	TokenRange=876:880
158	para	_	ADP	ADP	_	159	mark	_	TokenRange=881:885
159	ouvir	ouvir	VERB	VERB	_	157	nmod	_	TokenRange=886:891
160	voce	_	PROPN	NOUN	_	159	obj	_	TokenRange=892:896
161	e	e	CCONJ	CONJ	_	162	cc	_	TokenRange=897:898
162	doida	doida	NOUN	NOUN	_	160	conj	_	TokenRange=899:904
163	demais	demais	ADV	ADV	_	162	advmod	_	TokenRange=905:911
164	com	com	ADP	ADP	_	165	case	_	TokenRange=912:915
165	lindomar	lindomar	NOUN	NOUN	_	75	nmod	_	TokenRange=916:924
166	castilho	_	NOUN	NOUN	_	165	flat	_	TokenRange=925:933
167	clique	clicar	VERB	VERB	_	48	conj	_	TokenRange=934:940
168	aqui	aqui	ADV	ADV	_	167	advmod	_	TokenRange=941:945
169	https//wwwyoutubecom/watchvggp6mwoz0js	_	X	X	_	167	dep	_	TokenRange=946:984
170	abaixo	abaixo	ADV	ADV	_	167	advmod	_	TokenRange=985:991
171	a	o	DET	DET	_	172	det	_	TokenRange=992:993
172	integra	integra	NOUN	NOUN	_	167	obj	_	TokenRange=994:1001
173-174	da	_	_	_	_	_	_	_	TokenRange=1002:1004
173	de	de	ADP	ADP	_	175	case	_	_
174	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	175	det	_	_
175	degravacao	_	NOUN	NOUN	_	172	nmod	_	TokenRange=1005:1015
176-177	do	_	_	_	_	_	_	_	TokenRange=1016:1018
176	de	de	ADP	ADP	_	178	case	_	_
177	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	178	det	_	_
178	comentario	comentario	NOUN	NOUN	_	175	nmod	_	TokenRange=1019:1029
179	eldorado	eldorado	NOUN	NOUN	_	178	appos	_	TokenRange=1030:1038
180	17	_	NUM	NUM	NumType=Card	179	appos	_	TokenRange=1039:1041
181	de	de	ADP	ADP	_	182	case	_	TokenRange=1042:1044
182	janeiro	_	PROPN	PNOUN	_	180	nmod	_	TokenRange=1045:1052
183	de	de	ADP	ADP	_	184	case	_	TokenRange=1053:1055
184	2018	_	NUM	NUM	NumType=Card	182	nmod	_	TokenRange=1056:1060
185	quartafeira	quartafeira	NOUN	NOUN	_	85	appos	_	TokenRange=1061:1072
186	emanuel	emanuel	ADJ	ADJ	_	185	appos	_	TokenRange=1073:1080
187	apos	_	ADP	ADP	_	188	case	_	TokenRange=1081:1085
188	recomendacao	recomendacao	NOUN	NOUN	_	167	nmod	_	TokenRange=1086:1098
189-190	do	_	_	_	_	_	_	_	TokenRange=1099:1101
189	de	de	ADP	ADP	_	191	case	_	_
190	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	191	det	_	_
191	banco	banco	NOUN	NOUN	_	188	nmod	_	TokenRange=1102:1107
192	central	central	ADJ	ADJ	_	191	amod	_	TokenRange=1108:1115
193	bc	bc	NOUN	NOUN	_	191	appos	_	TokenRange=1116:1118
194	e	e	CCONJ	CONJ	_	195	cc	_	TokenRange=1119:1120
195	alerta	alerta	NOUN	NOUN	_	188	conj	_	TokenRange=1121:1127
196-197	do	_	_	_	_	_	_	_	TokenRange=1128:1130
196	de	de	ADP	ADP	_	198	case	_	_
197	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	198	det	_	_
198	ministerio	ministerio	NOUN	NOUN	_	195	nmod	_	TokenRange=1131:1141
199	publico	publico	ADJ	ADJ	_	198	amod	_	TokenRange=1142:1149
200	federal	federal	ADJ	ADJ	_	198	amod	_	TokenRange=1150:1157
201	mpf	_	NOUN	NOUN	_	195	obj	_	TokenRange=1158:1161
202	sobre	_	ADP	ADP	_	188	case	_	SpacesAfter=\s\s|TokenRange=1162:1167

