# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = tres ministros de temer abalaramse de brasilia para o rio para contar ao presidente do tjrj desembargador milton fernandes de souza que as operacoes policiais na intervencao federal na seguranca do rio respeitarao a constituicao e os direitos fundamentais bidu o fato de ser caso a caso e obvio por ser um principio juridico assim como a bola e redonda o dado e quadrado e mae e mae vaca e vaca seja como for tais medidas violam o estado de direito de fato isso ja foi feito mas so serve para lembrar que alem de burra a expresidente dilma rousseff sob cuja egide ocorreu o fato lembrado tambem e de um cinismo atroz pois ela teve o desplante de reclamar desse arreganho de arbitrio em rede social e perdeu a oportunosa ensancha de calar comentario no jornal eldorado
1	tres	_	NUM	NUM	NumType=Card	2	nummod	_	TokenRange=0:4
2	ministros	ministro	NOUN	NOUN	_	5	nsubj	_	TokenRange=5:14
3	de	de	ADP	ADP	_	4	case	_	TokenRange=15:17
4	temer	temer	NOUN	NOUN	_	2	nmod	_	TokenRange=18:23
5	abalaramse	abalarar	VERB	VERB	_	0	root	_	TokenRange=24:34
6	de	de	ADP	ADP	_	7	case	_	TokenRange=35:37
7	brasilia	brasilia	NOUN	NOUN	_	5	nmod	_	TokenRange=38:46
8	para	para	ADP	ADP	_	10	case	_	TokenRange=47:51
9	o	o	DET	DET	_	10	det	_	TokenRange=52:53
10	rio	rio	NOUN	NOUN	_	5	nmod	_	TokenRange=54:57
11	para	_	ADP	ADP	_	12	mark	_	TokenRange=58:62
12	contar	contar	VERB	VERB	_	5	advcl	_	TokenRange=63:69
13-14	ao	_	_	_	_	_	_	_	TokenRange=70:72
13	a	a	ADP	ADP	_	15	case	_	_
14	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	15	det	_	_
15	presidente	presidente	NOUN	NOUN	_	12	iobj	_	TokenRange=73:83
16-17	do	_	_	_	_	_	_	_	TokenRange=84:86
16	de	de	ADP	ADP	_	18	case	_	_
17	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	18	det	_	_
18	tjrj	_	NOUN	NOUN	_	15	nmod	_	TokenRange=87:91
19	desembargador	desembargador	NOUN	NOUN	_	15	appos	_	TokenRange=92:105
20	milton	milton	NOUN	NOUN	_	19	appos	_	TokenRange=106:112
21	fernandes	fernande	NOUN	NOUN	_	20	flat	_	TokenRange=113:122
22	de	de	ADP	ADP	_	23	case	_	TokenRange=123:125
23	souza	souza	NOUN	NOUN	_	20	nmod	_	TokenRange=126:131
24	que	que	CCONJ	CONJ	_	38	mark	_	TokenRange=132:135
25	as	o	DET	DET	_	26	det	_	TokenRange=136:138
26	operacoes	operacoe	NOUN	NOUN	_	38	nsubj	_	TokenRange=139:148
27	policiais	policial	ADJ	ADJ	_	26	amod	_	TokenRange=149:158
28-29	na	_	_	_	_	_	_	_	TokenRange=159:161
28	em	em	ADP	ADP	_	30	case	_	_
29	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	30	det	_	_
30	intervencao	intervencao	NOUN	NOUN	_	26	nmod	_	TokenRange=162:173
31	federal	federal	ADJ	ADJ	_	30	amod	_	TokenRange=174:181
32-33	na	_	_	_	_	_	_	_	TokenRange=182:184
32	em	em	ADP	ADP	_	34	case	_	_
33	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	34	det	_	_
34	seguranca	_	NOUN	NOUN	_	30	nmod	_	TokenRange=185:194
35-36	do	_	_	_	_	_	_	_	TokenRange=195:197
35	de	de	ADP	ADP	_	37	case	_	_
36	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	37	det	_	_
37	rio	rio	NOUN	NOUN	_	34	nmod	_	TokenRange=198:201
38	respeitarao	respeitar	VERB	VERB	_	12	ccomp	_	TokenRange=202:213
39	a	o	DET	DET	_	40	det	_	TokenRange=214:215
40	constituicao	constituicao	NOUN	NOUN	_	38	obj	_	TokenRange=216:228
41	e	e	CCONJ	CONJ	_	43	cc	_	TokenRange=229:230
