# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = sp tem 1 lar roubado por hora e maior n de ataques a residencias em 3 anos somente no ano passado aconteceram 10905 crimes desse tipo no estado elevacao de 85 ante o ano anterior sao paulo e sorocaba o empresario miguel antonio dos santos de 56 anos de sorocaba interior de sao paulo ainda nao se livrou do trauma causado pelo assalto a mao armada que sofreu em sua casa com a familia em abril de 2016 um dos filhos tinha acabado de sair com o carro para o trabalho e o portao automatico ainda nao tinha fechado quando os dois ladroes entraram a mulher a filha e um empregado foram dominados eu dormia no quarto quando fui acordado com o cano da arma batendo em minha cabeca os bandidos amarraram santos e vasculharam a casa recolhendo r 12 mil em dinheiro 4 celulares relogios tvs e as joias da familia o bandido ficava engatilhando o revolver apontando para a cabeca da minha filha por fim jogaram tudo sobre a caminhonete de santos e tambem levaram o veiculo a cada hora pelo menos um lar paulista e invadido e o numero de roubos a residencias em 2016 foi o maior em tres anos so no ano passado aconteceram 10905 roubos dessa natureza elevacao de 85 ante o ano anterior desde 2014 a secretaria da seguranca publica ssp analisa o perfil dos roubos no estado naquele ano os casos contra residencias representavam 223 do total hoje chegam a 254 neste ano ja ocorreram
1	sp	_	PART	PRT	_	2	nsubj	_	TokenRange=0:2
2	tem	ter	VERB	VERB	_	0	root	_	TokenRange=3:6
3	1	_	NUM	NUM	NumType=Card	4	nummod	_	TokenRange=7:8
4	lar	lar	NOUN	NOUN	_	2	obj	_	TokenRange=9:12
5	roubado	roubar	VERB	VERB	_	4	acl	_	TokenRange=13:20
6	por	por	ADP	ADP	_	7	case	_	TokenRange=21:24
7	hora	hora	NOUN	NOUN	_	5	nmod	_	TokenRange=25:29
8	e	e	CCONJ	CONJ	_	10	cc	_	TokenRange=30:31
9	maior	maior	ADJ	ADJ	_	10	amod	_	TokenRange=32:37
10	n	n	NOUN	NOUN	_	4	conj	_	TokenRange=38:39
11	de	de	ADP	ADP	_	12	case	_	TokenRange=40:42
12	ataques	ataque	NOUN	NOUN	_	10	nmod	_	TokenRange=43:50
13	a	_	ADP	ADP	_	14	case	_	TokenRange=51:52
14	residencias	_	NOUN	NOUN	_	12	nmod	_	TokenRange=53:64
15	em	em	ADP	ADP	_	17	case	_	TokenRange=65:67
16	3	_	NUM	NUM	NumType=Card	17	nummod	_	TokenRange=68:69
17	anos	ano	NOUN	NOUN	_	10	nmod	_	TokenRange=70:74
18	somente	somente	ADV	ADV	_	21	advmod	_	TokenRange=75:82
19-20	no	_	_	_	_	_	_	_	TokenRange=83:85
19	em	em	ADP	ADP	_	21	case	_	_
20	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	21	det	_	_
21	ano	ano	NOUN	NOUN	_	61	nmod	_	TokenRange=86:89
22	passado	passado	ADJ	ADJ	_	21	amod	_	TokenRange=90:97
23	aconteceram	acontecer	VERB	VERB	_	2	parataxis	_	TokenRange=98:109
24	10905	_	NUM	NUM	NumType=Card	25	nummod	_	TokenRange=110:115
25	crimes	crime	NOUN	NOUN	_	61	nsubj	_	TokenRange=116:122
26	desse	_	ADP	ADP	_	27	case	_	TokenRange=123:128
27	tipo	tipo	NOUN	NOUN	_	25	nmod	_	TokenRange=129:133
28-29	no	_	_	_	_	_	_	_	TokenRange=134:136
28	em	em	ADP	ADP	_	30	case	_	_
29	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	30	det	_	_
30	estado	estado	NOUN	NOUN	_	25	nmod	_	TokenRange=137:143
31	elevacao	elevacao	NOUN	NOUN	_	25	appos	_	TokenRange=144:152
32	de	de	ADP	ADP	_	33	case	_	TokenRange=153:155
33	85	_	NUM	NUM	NumType=Card	31	nmod	_	TokenRange=156:158
34	ante	_	ADP	ADP	_	36	case	_	TokenRange=159:163
35	o	o	DET	DET	_	36	det	_	TokenRange=164:165
36	ano	ano	NOUN	NOUN	_	31	nmod	_	TokenRange=166:169
37	anterior	anterior	ADJ	ADJ	_	36	amod	_	TokenRange=170:178
38	sao	sao	ADJ	ADJ	_	39	amod	_	TokenRange=179:182
39	paulo	paulo	NOUN	NOUN	_	140	obj	_	TokenRange=183:188
40	e	e	CCONJ	CONJ	_	41	cc	_	TokenRange=189:190
41	sorocaba	sorocaba	NOUN	NOUN	_	39	conj	_	TokenRange=191:199
42	o	o	DET	DET	_	43	det	_	TokenRange=200:201
43	empresario	empresario	NOUN	NOUN	_	165	nsubj	_	TokenRange=202:212
44	miguel	miguel	ADJ	ADJ	_	43	appos	_	TokenRange=213:219
45	antonio	antonio	ADJ	ADJ	_	43	amod	_	TokenRange=220:227
46-47	dos	_	_	_	_	_	_	_	TokenRange=228:231
46	de	de	ADP	ADP	_	48	case	_	_
47	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	48	det	_	_
48	santos	santo	NOUN	NOUN	_	44	nmod	_	TokenRange=232:238
49	de	de	ADP	ADP	_	51	case	_	TokenRange=239:241
50	56	_	NUM	NUM	NumType=Card	51	nummod	_	TokenRange=242:244
51	anos	ano	NOUN	NOUN	_	43	nmod	_	TokenRange=245:249
52	de	de	ADP	ADP	_	53	case	_	TokenRange=250:252
53	sorocaba	sorocaba	NOUN	NOUN	_	51	nmod	_	TokenRange=253:261
54	interior	interior	NOUN	NOUN	_	53	appos	_	TokenRange=262:270
55	de	de	ADP	ADP	_	56	case	_	TokenRange=271:273
56	sao	sao	NOUN	NOUN	_	54	nmod	_	TokenRange=274:277
57	paulo	paulo	NOUN	NOUN	_	56	flat	_	TokenRange=278:283
58	ainda	ainda	ADV	ADV	_	269	advmod	_	TokenRange=284:289
59	nao	nao	ADV	ADV	Polarity=Neg	61	advmod	_	TokenRange=290:293
60	se	_	PRON	PRON	_	61	obj	_	TokenRange=294:296
61	livrou	livrar	VERB	VERB	_	2	parataxis	_	TokenRange=297:303
62-63	do	_	_	_	_	_	_	_	TokenRange=304:306
62	de	de	ADP	ADP	_	64	case	_	_
63	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	64	det	_	_
64	trauma	trauma	NOUN	NOUN	_	61	nmod	_	TokenRange=307:313
65	causado	causar	VERB	VERB	_	64	acl	_	TokenRange=314:321
66-67	pelo	_	_	_	_	_	_	_	TokenRange=322:326
66	por	por	ADP	ADP	_	68	case	_	_
67	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	68	det	_	_
68	assalto	assalto	NOUN	NOUN	_	65	nmod	_	TokenRange=327:334
69	a	_	ADP	ADP	_	70	case	_	TokenRange=335:336
70	mao	mao	NOUN	NOUN	_	68	nmod	_	TokenRange=337:340
71	armada	armado	ADJ	ADJ	_	70	amod	_	TokenRange=341:347
72	que	_	PRON	PRON	_	73	obj	_	TokenRange=348:351
73	sofreu	sofrer	VERB	VERB	_	68	acl:relcl	_	TokenRange=352:358
74	em	em	ADP	ADP	_	76	case	_	TokenRange=359:361
75	sua	_	DET	DET	_	76	det:poss	_	TokenRange=362:365
76	casa	casa	NOUN	NOUN	_	73	nmod	_	TokenRange=366:370
77	com	com	ADP	ADP	_	79	case	_	TokenRange=371:374
78	a	o	DET	DET	_	79	det	_	TokenRange=375:376
79	familia	familia	NOUN	NOUN	_	76	nmod	_	TokenRange=377:384
80	em	em	ADP	ADP	_	81	case	_	TokenRange=385:387
81	abril	_	PROPN	PNOUN	_	73	nmod	_	TokenRange=388:393
82	de	de	ADP	ADP	_	83	case	_	TokenRange=394:396
83	2016	_	NUM	NUM	NumType=Card	81	nmod	_	TokenRange=397:401
84	um	_	PRON	PRON	_	91	nsubj	_	TokenRange=402:404
85-86	dos	_	_	_	_	_	_	_	TokenRange=405:408
85	de	de	ADP	ADP	_	87	case	_	_
86	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	87	det	_	_
87	filhos	filho	NOUN	NOUN	_	84	nmod	_	TokenRange=409:415
88	tinha	ter	AUX	AUX	_	91	aux	_	TokenRange=416:421
89	acabado	acabar	AUX	AUX	_	91	aux	_	TokenRange=422:429
90	de	_	ADP	ADP	_	91	mark	_	TokenRange=430:432
91	sair	sair	VERB	VERB	_	2	parataxis	_	TokenRange=433:437
92	com	com	ADP	ADP	_	94	case	_	TokenRange=438:441
93	o	o	DET	DET	_	94	det	_	TokenRange=442:443
94	carro	carro	NOUN	NOUN	_	91	nmod	_	TokenRange=444:449
95	para	para	ADP	ADP	_	97	case	_	TokenRange=450:454
96	o	o	DET	DET	_	97	det	_	TokenRange=455:456
97	trabalho	trabalho	NOUN	NOUN	_	94	nmod	_	TokenRange=457:465
98	e	e	CCONJ	CONJ	_	105	cc	_	TokenRange=466:467
99	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	105	det	_	TokenRange=468:469
100	portao	portao	NOUN	NOUN	_	221	nsubj	_	TokenRange=470:476
101	automatico	automatico	ADJ	ADJ	_	100	amod	_	TokenRange=477:487
102	ainda	ainda	ADV	ADV	_	105	advmod	_	TokenRange=488:493
103	nao	nao	ADV	ADV	Polarity=Neg	105	advmod	_	TokenRange=494:497
104	tinha	ter	AUX	AUX	_	105	aux	_	TokenRange=498:503
105	fechado	fechar	VERB	VERB	_	91	conj	_	TokenRange=504:511
106	quando	_	CCONJ	CONJ	_	110	mark	_	TokenRange=512:518
107	os	o	DET	DET	_	109	det	_	TokenRange=519:521
108	dois	_	NUM	NUM	NumType=Card	109	nummod	_	TokenRange=522:526
109	ladroes	ladroe	NOUN	NOUN	_	110	nsubj	_	TokenRange=527:534
110	entraram	entrar	VERB	VERB	_	91	advcl	_	TokenRange=535:543
111	a	_	ADP	ADP	_	112	case	_	TokenRange=544:545
112	mulher	mulher	NOUN	NOUN	_	110	nmod	_	TokenRange=546:552
113	a	o	DET	DET	_	114	det	_	TokenRange=553:554
114	filha	filho	NOUN	NOUN	_	110	obj	_	TokenRange=555:560
115	e	e	CCONJ	CONJ	_	119	cc	_	TokenRange=561:562
116	um	um	DET	DET	_	117	det	_	TokenRange=563:565
117	empregado	empregado	NOUN	NOUN	_	119	nsubj:pass	_	TokenRange=566:575
118	foram	_	AUX	AUX	_	119	aux:pass	_	TokenRange=576:581
119	dominados	dominar	VERB	VERB	_	110	conj	_	TokenRange=582:591
120	eu	_	PRON	PRON	_	121	nsubj	_	TokenRange=592:594
121	dormia	dormer	VERB	VERB	_	2	conj	_	TokenRange=595:601
122-123	no	_	_	_	_	_	_	_	TokenRange=602:604
122	em	em	ADP	ADP	_	124	case	_	_
123	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	124	det	_	_
124	quarto	quarto	NOUN	NOUN	_	121	nmod	_	TokenRange=605:611
125	quando	_	CCONJ	CONJ	_	127	mark	_	TokenRange=612:618
126	fui	_	AUX	AUX	_	127	aux:pass	_	TokenRange=619:622
127	acordado	acordar	VERB	VERB	_	121	advcl	_	TokenRange=623:631
128	com	com	ADP	ADP	_	130	case	_	TokenRange=632:635
129	o	o	DET	DET	_	130	det	_	TokenRange=636:637
130	cano	cano	NOUN	NOUN	_	127	nmod	_	TokenRange=638:642
131-132	da	_	_	_	_	_	_	_	TokenRange=643:645
131	de	de	ADP	ADP	_	133	case	_	_
132	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	133	det	_	_
133	arma	arma	NOUN	NOUN	_	130	nmod	_	TokenRange=646:650
134	batendo	bater	VERB	VERB	_	127	acl	_	TokenRange=651:658
135	em	em	ADP	ADP	_	137	case	_	TokenRange=659:661
136	minha	_	DET	DET	_	137	det:poss	_	TokenRange=662:667
137	cabeca	cabeca	NOUN	NOUN	_	134	nmod	_	TokenRange=668:674
138	os	o	DET	DET	_	139	det	_	TokenRange=675:677
139	bandidos	bandido	NOUN	NOUN	_	269	nsubj	_	TokenRange=678:686
140	amarraram	amarrar	VERB	VERB	_	269	ccomp	_	TokenRange=687:696
141	santos	santo	NOUN	NOUN	_	140	obj	_	TokenRange=697:703
142	e	e	CCONJ	CONJ	_	143	cc	_	TokenRange=704:705
143	vasculharam	vasculhar	VERB	VERB	_	140	conj	_	TokenRange=706:717
144	a	o	DET	DET	_	145	det	_	TokenRange=718:719
145	casa	casa	NOUN	NOUN	_	143	obj	_	TokenRange=720:724
146	recolhendo	recolher	VERB	VERB	_	143	acl	_	TokenRange=725:735
147	r	r	NOUN	NOUN	_	146	obj	_	TokenRange=736:737
148	12	_	NUM	NUM	NumType=Card	149	nummod	_	TokenRange=738:740
149	mil	_	NUM	NUM	NumType=Card	147	nummod	_	TokenRange=741:744
150	em	em	ADP	ADP	_	151	case	_	TokenRange=745:747
151	dinheiro	dinheiro	NOUN	NOUN	_	146	nmod	_	TokenRange=748:756
152	4	_	NUM	NUM	NumType=Card	153	nummod	_	TokenRange=757:758
153	celulares	_	NOUN	NOUN	_	146	obj	_	TokenRange=759:768
154	relogios	relogio	NOUN	NOUN	_	153	appos	_	TokenRange=769:777
155	tvs	tv	NOUN	NOUN	_	154	flat	_	TokenRange=778:781
156	e	e	CCONJ	CONJ	_	158	cc	_	TokenRange=782:783
157	as	o	DET	DET	_	158	det	_	TokenRange=784:786
158	joias	joia	NOUN	NOUN	_	154	conj	_	TokenRange=787:792
159-160	da	_	_	_	_	_	_	_	TokenRange=793:795
159	de	de	ADP	ADP	_	161	case	_	_
160	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	161	det	_	_
161	familia	familia	NOUN	NOUN	_	158	nmod	_	TokenRange=796:803
162	o	o	DET	DET	_	163	det	_	TokenRange=804:805
163	bandido	bandido	NOUN	NOUN	_	269	nsubj	_	TokenRange=806:813
164	ficava	ficar	AUX	AUX	_	269	aux	_	TokenRange=814:820
165	engatilhando	engatilhar	VERB	VERB	_	61	conj	_	TokenRange=821:833
166	o	o	DET	DET	_	167	det	_	TokenRange=834:835
167	revolver	revolver	NOUN	NOUN	_	165	obj	_	TokenRange=836:844
168	apontando	apontar	VERB	VERB	_	165	acl	_	TokenRange=845:854
169	para	para	ADP	ADP	_	171	case	_	TokenRange=855:859
170	a	o	DET	DET	_	171	det	_	TokenRange=860:861
171	cabeca	cabeca	NOUN	NOUN	_	168	nmod	_	TokenRange=862:868
172-173	da	_	_	_	_	_	_	_	TokenRange=869:871
172	de	de	ADP	ADP	_	175	case	_	_
173	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	175	det	_	_
174	minha	_	DET	DET	_	175	det:poss	_	TokenRange=872:877
