# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = recursos de peemedebistas presos na lava jato a suspensao de acordo entre entidades publicas e mineradoras envolvendo tragedia de mariana minas gerais estao na pauta do superior tribunal de justica em 2018 a corte tambem julgara casos de repercussao geral envolvendo tributacoes e planos de saude a pauta de 2018 foi publicada no site do superior tribunal de justica no ambito da operacao lava jato questionamentos de peemedebistas encarcerados estao na pauta da sexta turma da corte um dos casos pautados e do exministro geddel vieira lima em que questionava a sua primeira prisao em regime domiciliar no ambito da operacao cui bono em que e denunciado por tentar evitar a delacao do doleiro lucio funaro no habeas geddel sustenta haver incompetencia do juizo federal da 10 vara federal da secao judiciaria do distrito federal e ainda alega estar sofrendo constrangimento ilegal por causa da manutencao da
1	recursos	recurso	NOUN	NOUN	_	24	nsubj	_	TokenRange=0:8
2	de	de	ADP	ADP	_	3	case	_	TokenRange=9:11
3	peemedebistas	peemedebista	NOUN	NOUN	_	1	nmod	_	TokenRange=12:25
4	presos	prender	VERB	VERB	_	3	acl	_	TokenRange=26:32
5-6	na	_	_	_	_	_	_	_	TokenRange=33:35
5	em	em	ADP	ADP	_	7	case	_	_
6	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	7	det	_	_
7	lava	lava	NOUN	NOUN	_	4	nmod	_	TokenRange=36:40
8	jato	jato	ADJ	NOUN	_	7	flat	_	TokenRange=41:45
9	a	o	DET	DET	_	10	det	_	TokenRange=46:47
10	suspensao	suspensao	NOUN	NOUN	_	24	nsubj	_	TokenRange=48:57
11	de	de	ADP	ADP	_	12	case	_	TokenRange=58:60
12	acordo	acordo	NOUN	NOUN	_	10	nmod	_	TokenRange=61:67
13	entre	_	ADP	ADP	_	14	case	_	TokenRange=68:73
14	entidades	entidade	NOUN	NOUN	_	12	nmod	_	TokenRange=74:83
15	publicas	publico	ADJ	ADJ	_	14	amod	_	TokenRange=84:92
16	e	e	CCONJ	CONJ	_	17	cc	_	TokenRange=93:94
17	mineradoras	minerador	ADJ	ADJ	_	15	conj	_	TokenRange=95:106
18	envolvendo	envolver	VERB	VERB	_	10	acl	_	TokenRange=107:117
19	tragedia	tragedia	NOUN	NOUN	_	18	obj	_	TokenRange=118:126
20	de	de	ADP	ADP	_	21	case	_	TokenRange=127:129
21	mariana	mariana	NOUN	NOUN	_	19	nmod	_	TokenRange=130:137
22	minas	mina	NOUN	NOUN	_	19	appos	_	TokenRange=138:143
23	gerais	geral	ADJ	ADJ	_	22	amod	_	TokenRange=144:150
24	estao	_	VERB	VERB	_	0	root	_	TokenRange=151:156
25-26	na	_	_	_	_	_	_	_	TokenRange=157:159
25	em	em	ADP	ADP	_	27	case	_	_
26	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	27	det	_	_
27	pauta	pauta	NOUN	NOUN	_	24	nmod	_	TokenRange=160:165
28-29	do	_	_	_	_	_	_	_	TokenRange=166:168
28	de	de	ADP	ADP	_	31	case	_	_
29	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	31	det	_	_
30	superior	superior	ADJ	ADJ	_	31	amod	_	TokenRange=169:177
31	tribunal	tribunal	NOUN	NOUN	_	27	nmod	_	TokenRange=178:186
32	de	de	ADP	ADP	_	33	case	_	TokenRange=187:189
33	justica	_	NOUN	NOUN	_	31	nmod	_	TokenRange=190:197
34	em	em	ADP	ADP	_	35	case	_	TokenRange=198:200
35	2018	_	NUM	NUM	NumType=Card	24	nmod	_	TokenRange=201:205
36	a	o	DET	DET	_	37	det	_	TokenRange=206:207
37	corte	corte	NOUN	NOUN	_	39	nsubj	_	TokenRange=208:213
38	tambem	tambem	ADV	ADV	_	39	advmod	_	TokenRange=214:220
39	julgara	julgar	VERB	VERB	_	24	parataxis	_	TokenRange=221:228
40	casos	caso	NOUN	NOUN	_	39	obj	_	TokenRange=229:234
41	de	de	ADP	ADP	_	42	case	_	TokenRange=235:237
42	repercussao	repercussao	NOUN	NOUN	_	106	nmod	_	TokenRange=238:249
43	geral	geral	ADJ	ADJ	_	42	amod	_	TokenRange=250:255
44	envolvendo	envolver	VERB	VERB	_	40	acl	_	TokenRange=256:266
45	tributacoes	tributacoe	NOUN	NOUN	_	44	obj	_	TokenRange=267:278
46	e	e	CCONJ	CONJ	_	47	cc	_	TokenRange=279:280
47	planos	plano	NOUN	NOUN	_	45	conj	_	TokenRange=281:287
48	de	de	ADP	ADP	_	49	case	_	TokenRange=288:290
49	saude	saude	NOUN	NOUN	_	47	nmod	_	TokenRange=291:296
50	a	o	DET	DET	_	51	det	_	TokenRange=297:298
51	pauta	pauta	NOUN	NOUN	_	55	nsubj:pass	_	TokenRange=299:304
52	de	de	ADP	ADP	_	53	case	_	TokenRange=305:307
