# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = existe uma avenida aberta para um outsider em 2018 diz paulo hartung cotado para compor uma chapa presidencial como vice governador diz que centro politico nao se estruturou para a eleicao vitoria o governador do espirito santo paulo hartung pmdb afirma que o centro politico do pais nao se estruturou para a eleicao presidencial do proximo ano e ainda ha uma avenida aberta para um outsider em 2018 ele define como centro politico a centro esquerda no qual se insere mais os liberais reformistas precisamos unir o centro da politica afirmou em entrevista ao estado hartung que
1	existe	existir	VERB	VERB	_	0	root	_	TokenRange=0:6
2	uma	um	DET	DET	_	3	det	_	TokenRange=7:10
3	avenida	avenida	NOUN	NOUN	_	1	nsubj	_	TokenRange=11:18
4	aberta	aberto	ADJ	ADJ	_	3	amod	_	TokenRange=19:25
5	para	para	ADP	ADP	_	7	case	_	TokenRange=26:30
6	um	um	DET	DET	_	7	det	_	TokenRange=31:33
7	outsider	outsider	NOUN	NOUN	_	3	nmod	_	TokenRange=34:42
8	em	em	ADP	ADP	_	9	case	_	TokenRange=43:45
9	2018	_	NUM	NUM	NumType=Card	1	nmod	_	TokenRange=46:50
10	diz	dizer	VERB	VERB	_	1	parataxis	_	TokenRange=51:54
11	paulo	paulo	NOUN	NOUN	_	10	nsubj	_	TokenRange=55:60
12	hartung	hartung	NOUN	NOUN	_	11	flat	_	TokenRange=61:68
13	cotado	cotar	VERB	VERB	_	11	acl	_	TokenRange=69:75
14	para	_	ADP	ADP	_	15	mark	_	TokenRange=76:80
15	compor	compor	VERB	VERB	_	13	nmod	_	TokenRange=81:87
16	uma	um	DET	DET	_	17	det	_	TokenRange=88:91
17	chapa	chapa	NOUN	NOUN	_	15	obj	_	TokenRange=92:97
18	presidencial	presidencial	ADJ	ADJ	_	17	amod	_	TokenRange=98:110
19	como	como	ADP	ADP	_	20	case	_	TokenRange=111:115
20	vice	_	PART	PRT	_	15	nmod	_	TokenRange=116:120
21	governador	governador	NOUN	NOUN	_	20	flat	_	TokenRange=121:131
22	diz	dizer	VERB	VERB	_	1	parataxis	_	TokenRange=132:135
23	que	que	CCONJ	CONJ	_	28	mark	_	TokenRange=136:139
24	centro	centro	NOUN	NOUN	_	28	nsubj	_	TokenRange=140:146
25	politico	politico	ADJ	ADJ	_	24	amod	_	TokenRange=147:155
26	nao	nao	ADV	ADV	Polarity=Neg	28	advmod	_	TokenRange=156:159
27	se	_	PRON	PRON	_	28	expl:pv	_	TokenRange=160:162
28	estruturou	estruturar	VERB	VERB	_	22	ccomp	_	TokenRange=163:173
29	para	para	ADP	ADP	_	31	case	_	TokenRange=174:178
30	a	o	DET	DET	_	31	det	_	TokenRange=179:180
31	eleicao	eleicao	NOUN	NOUN	_	28	nmod	_	TokenRange=181:188
32	vitoria	vitoria	ADJ	ADJ	_	31	amod	_	TokenRange=189:196
33	o	o	DET	DET	_	34	det	_	TokenRange=197:198
34	governador	governador	NOUN	NOUN	_	28	nsubj	_	TokenRange=199:209
35-36	do	_	_	_	_	_	_	_	TokenRange=210:212
35	de	de	ADP	ADP	_	37	case	_	_
36	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	37	det	_	_
37	espirito	espirito	NOUN	NOUN	_	34	nmod	_	TokenRange=213:221
38	santo	santo	ADJ	ADJ	_	37	amod	_	TokenRange=222:227
39	paulo	paulo	NOUN	NOUN	_	42	nsubj	_	TokenRange=228:233
