# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = relembre o que pesa contra aecio neves senador que volta a exercer seu mandato e alvo de nove inqueritos no supremo tribunal federal o plenario do senado federal revogou nesta tercafeira 17 por 44 votos a 26 o afastamento do senador aecio neves psdb imposto pela primeira turma do supremo tribunal federal no final de setembro a decisao do colegiado da corte foi motivada pela acusacao da procuradoriageral da republica pgr com base nas delacoes de joesley batista e ricardo saud da jf o senador foi gravado pedindo r 2 milhoes ao empresario e esta sendo acusado dos crimes de corrupcao passiva e obstrucao de justica a decisao do senado embora restabeleca o mandato de aecio nao anula a investigacao sobre o caso perante o supremo nem os outros oito inqueritos de que o parlamentar e alvo ele nega todas as acusacoes e em carta enviada em sua defesa ao senado destaca nao ser reu em nenhuma acao penal entenda o que pesa contra o tucano corrupcao passiva e obstrucao a justica deflagrada em
1	relembre	relembrar	VERB	VERB	_	0	root	_	TokenRange=0:8
2	o	_	PRON	PRON	_	1	obj	_	TokenRange=9:10
3	que	_	PRON	PRON	_	4	obj	_	TokenRange=11:14
4	pesa	pesar	VERB	VERB	_	2	acl:relcl	_	TokenRange=15:19
5	contra	_	ADP	ADP	_	6	case	_	TokenRange=20:26
6	aecio	_	NOUN	NOUN	_	4	nmod	_	TokenRange=27:32
7	neves	neve	ADJ	ADJ	_	6	amod	_	TokenRange=33:38
8	senador	senador	NOUN	NOUN	_	6	appos	_	TokenRange=39:46
9	que	_	PRON	PRON	_	12	nsubj	_	TokenRange=47:50
10	volta	voltar	AUX	AUX	_	12	aux	_	TokenRange=51:56
11	a	_	ADP	ADP	_	12	mark	_	TokenRange=57:58
12	exercer	exercer	VERB	VERB	_	2	acl:relcl	_	TokenRange=59:66
13	seu	_	DET	DET	_	14	det:poss	_	TokenRange=67:70
14	mandato	mandato	NOUN	NOUN	_	12	obj	_	TokenRange=71:78
15	e	e	CCONJ	CONJ	_	16	cc	_	TokenRange=79:80
16	alvo	alvo	NOUN	NOUN	_	12	conj	_	TokenRange=81:85
17	de	de	ADP	ADP	_	19	case	_	TokenRange=86:88
