# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = ao confiscar o passaporte do expresidente lula o juiz federal da 10 vara de brasilia ricardo soares leite afirma ver real e iminente probabilidade da prisao do petista o magistrado atendeu a pedido do ministerio publico federal e determinou que documento seja entregue em 24 horas a decisao ja chegou as maos da policia federal a defesa de lula se diz estarrecida com o despacho de leite e promete entregar o passaporte nesta sextafeira 26 defesa de lula se diz estarrecida e afirma que vai entregar passaporte procuradoria ve risco concreto de fuga de lula objetivamente a confirmacao da sentenca proferida pelo juizo federal da 13 vara da subsecao judiciaria de curitiba com penal inicial prevista em regime de reclusao em desfavor do expresidente luiz inacio lula da silva pelo tribunal regional federal da 4 regiao tornou real e iminente a probabilidade de sua prisao conforme entendimento hodierno atual do supremo tribunal federal escreveu leite o pedido da procuradoria da republica no df foi protocolado na 10 vara federal aonde lula e reu na operacao zelotes por suposto trafico de influencia e lavagem de dinheiro na compra de cacas suecos no governo dilma roussef lula luiz claudio lula filho do expresidente e o casal de
1-2	ao	_	_	_	_	_	_	_	TokenRange=0:2
1	a	a	ADP	ADP	_	3	case	_	_
2	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	3	det	_	_
3	confiscar	confiscar	VERB	VERB	_	22	advcl	_	TokenRange=3:12
4	o	o	DET	DET	_	5	det	_	TokenRange=13:14
5	passaporte	passaporte	NOUN	NOUN	_	3	obj	_	TokenRange=15:25
6-7	do	_	_	_	_	_	_	_	TokenRange=26:28
6	de	de	ADP	ADP	_	8	case	_	_
7	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	8	det	_	_
8	expresidente	expresidente	NOUN	NOUN	_	5	nmod	_	TokenRange=29:41
9	lula	lula	ADJ	ADJ	_	8	amod	_	TokenRange=42:46
10	o	o	DET	DET	_	11	det	_	TokenRange=47:48
11	juiz	juiz	NOUN	NOUN	_	22	nsubj	_	TokenRange=49:53
12	federal	federal	ADJ	ADJ	_	11	amod	_	TokenRange=54:61
13-14	da	_	_	_	_	_	_	_	TokenRange=62:64
13	de	de	ADP	ADP	_	16	case	_	_
14	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	16	det	_	_
15	10	_	NUM	NUM	NumType=Card	16	nummod	_	TokenRange=65:67
16	vara	vara	NOUN	NOUN	_	11	nmod	_	TokenRange=68:72
17	de	de	ADP	ADP	_	18	case	_	TokenRange=73:75
18	brasilia	brasilia	NOUN	NOUN	_	16	nmod	_	TokenRange=76:84
19	ricardo	ricardo	NOUN	NOUN	_	11	appos	_	TokenRange=85:92
20	soares	_	NOUN	NOUN	_	19	flat	_	TokenRange=93:99
21	leite	leite	NOUN	NOUN	_	19	flat	_	TokenRange=100:105
22	afirma	afirmar	VERB	VERB	_	0	root	_	TokenRange=106:112
23	ver	ver	VERB	VERB	_	22	xcomp	_	TokenRange=113:116
24	real	real	ADJ	ADJ	_	27	amod	_	TokenRange=117:121
25	e	e	CCONJ	CONJ	_	26	cc	_	TokenRange=122:123
26	iminente	iminente	ADJ	ADJ	_	24	conj	_	TokenRange=124:132
27	probabilidade	probabilidade	NOUN	NOUN	_	23	obj	_	TokenRange=133:146
28-29	da	_	_	_	_	_	_	_	TokenRange=147:149
28	de	de	ADP	ADP	_	30	case	_	_
29	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	30	det	_	_
30	prisao	prisao	NOUN	NOUN	_	27	nmod	_	TokenRange=150:156
31-32	do	_	_	_	_	_	_	_	TokenRange=157:159
31	de	de	ADP	ADP	_	33	case	_	_
32	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	33	det	_	_
33	petista	petista	NOUN	NOUN	_	30	nmod	_	TokenRange=160:167
34	o	o	DET	DET	_	35	det	_	TokenRange=168:169
35	magistrado	magistrado	NOUN	NOUN	_	36	nsubj	_	TokenRange=170:180
36	atendeu	atender	VERB	VERB	_	22	parataxis	_	TokenRange=181:188
37	a	_	ADP	ADP	_	38	case	_	TokenRange=189:190
38	pedido	pedido	NOUN	NOUN	_	36	nmod	_	TokenRange=191:197
39-40	do	_	_	_	_	_	_	_	TokenRange=198:200
39	de	de	ADP	ADP	_	41	case	_	_
40	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	41	det	_	_
41	ministerio	ministerio	NOUN	NOUN	_	38	nmod	_	TokenRange=201:211
42	publico	_	ADJ	ADJ	_	41	amod	_	TokenRange=212:219
43	federal	federal	ADJ	ADJ	_	41	amod	_	TokenRange=220:227
44	e	e	CCONJ	CONJ	_	45	cc	_	TokenRange=228:229
45	determinou	determinar	VERB	VERB	_	36	conj	_	TokenRange=230:240
46	que	que	CCONJ	CONJ	_	49	mark	_	TokenRange=241:244
