# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = entenda as acusacoes contra o expresidente lula e o que diz a defesa petista vai prestar o primeiro depoimento na condicao de reu da lava jato e na presenca do juiz sergio moro nesta quartafeira 10 o expresidente luiz inacio lula da silva pt vai prestar depoimento nesta quartafeira 10 ao juiz sergio moro em um dos processos que responde na lava jato e a primeira vez que o petista e interrogado na presenca de moro e na condicao de reu na operacao a audiencia e do processo sobre um triplex em guaruja sp que o ministerio publico federal mpf afirma que lula receberia como vantagem indevida da empreiteira oas a empresa teria feito reformas neste mesmo imovel para receber a familia de lula em troca o expresidente atuaria em favor da oas a defesa do expresidente nega as acusacoes
1	entenda	entender	VERB	VERB	_	0	root	_	TokenRange=0:7
2	as	o	DET	DET	_	3	det	_	TokenRange=8:10
3	acusacoes	acusacoe	NOUN	NOUN	_	1	obj	_	TokenRange=11:20
4	contra	_	ADP	ADP	_	6	case	_	TokenRange=21:27
5	o	o	DET	DET	_	6	det	_	TokenRange=28:29
6	expresidente	expresidente	NOUN	NOUN	_	3	nmod	_	TokenRange=30:42
7	lula	lula	ADJ	ADJ	_	6	amod	_	TokenRange=43:47
8	e	e	CCONJ	CONJ	_	11	cc	_	TokenRange=48:49
9	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	11	det	_	TokenRange=50:51
10	que	_	PRON	PRON	_	11	obj	_	TokenRange=52:55
11	diz	dizer	VERB	VERB	_	1	conj	_	TokenRange=56:59
12	a	o	DET	DET	_	13	det	_	TokenRange=60:61
13	defesa	_	NOUN	NOUN	_	11	nsubj	_	TokenRange=62:68
14	petista	petista	NOUN	NOUN	_	13	amod	_	TokenRange=69:76
15	vai	ir	AUX	AUX	_	51	aux	_	TokenRange=77:80
16	prestar	prestar	VERB	VERB	_	1	conj	_	TokenRange=81:88
17	o	o	DET	DET	_	19	det	_	TokenRange=89:90
18	primeiro	primeiro	ADJ	ADJ	_	19	amod	_	TokenRange=91:99
19	depoimento	depoimento	NOUN	NOUN	_	51	obj	_	TokenRange=100:110
20-21	na	_	_	_	_	_	_	_	TokenRange=111:113
20	em	em	ADP	ADP	_	22	case	_	_
21	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	22	det	_	_
22	condicao	condicao	NOUN	NOUN	_	51	nmod	_	TokenRange=114:122
23	de	de	ADP	ADP	_	24	case	_	TokenRange=123:125
24	reu	reu	NOUN	NOUN	_	22	nmod	_	TokenRange=126:129
25-26	da	_	_	_	_	_	_	_	TokenRange=130:132
25	de	de	ADP	ADP	_	27	case	_	_
26	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	27	det	_	_
27	lava	lava	NOUN	NOUN	_	22	nmod	_	TokenRange=133:137
28	jato	jato	NOUN	NOUN	_	27	amod	_	TokenRange=138:142
29	e	e	CCONJ	CONJ	_	32	cc	_	TokenRange=143:144
30-31	na	_	_	_	_	_	_	_	TokenRange=145:147
30	em	em	ADP	ADP	_	32	case	_	_
