# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = ao abrir a terceira acao penal contra o expresidente lula desta vez no caso do sitio de atibaia interior de sao paulo o juiz federal sergio moro afirmou que nao ha qualquer registro de que o petista tenha pago qualquer valor por reformas na propriedade as obras no sitio santa barbara custaram r 102050000 e foram bancadas segundo o ministerio publico federal pelas empreiteiras oas e odebrecht e pelo pecuarista jose carlos bumlai os elementos probatorios juntados pelo ministerio publico federal e tambem colacionados pela policia federal permitem em cognicao sumaria conclusao de que o expresidente luiz inacio lula da silva comportavase como proprietario
1-2	ao	_	_	_	_	_	_	_	TokenRange=0:2
1	a	a	ADP	ADP	_	3	case	_	_
2	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	3	det	_	_
3	abrir	abrir	VERB	VERB	_	31	advcl	_	TokenRange=3:8
4	a	o	DET	DET	_	6	det	_	TokenRange=9:10
5	terceira	_	ADJ	ADJ	_	6	amod	_	TokenRange=11:19
6	acao	acao	NOUN	NOUN	_	3	obj	_	TokenRange=20:24
7	penal	penal	ADJ	ADJ	_	6	amod	_	TokenRange=25:30
8	contra	_	ADP	ADP	_	10	case	_	TokenRange=31:37
9	o	o	DET	DET	_	10	det	_	TokenRange=38:39
10	expresidente	expresidente	NOUN	NOUN	_	6	nmod	_	TokenRange=40:52
11	lula	lula	NOUN	NOUN	_	10	flat	_	TokenRange=53:57
12	desta	_	ADP	ADP	_	13	case	_	TokenRange=58:63
13	vez	vez	NOUN	NOUN	_	3	nmod	_	TokenRange=64:67
14-15	no	_	_	_	_	_	_	_	TokenRange=68:70
14	em	em	ADP	ADP	_	16	case	_	_
15	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	16	det	_	_
16	caso	caso	NOUN	NOUN	_	3	nmod	_	TokenRange=71:75
17-18	do	_	_	_	_	_	_	_	TokenRange=76:78
17	de	de	ADP	ADP	_	19	case	_	_
18	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	19	det	_	_
19	sitio	sitio	NOUN	NOUN	_	16	nmod	_	TokenRange=79:84
20	de	de	ADP	ADP	_	21	case	_	TokenRange=85:87
21	atibaia	atibaia	NOUN	NOUN	_	19	nmod	_	TokenRange=88:95
22	interior	interior	ADJ	ADJ	_	21	amod	_	TokenRange=96:104
23	de	de	ADP	ADP	_	24	case	_	TokenRange=105:107
24	sao	sao	NOUN	NOUN	_	19	nmod	_	TokenRange=108:111
25	paulo	paulo	NOUN	NOUN	_	24	flat	_	TokenRange=112:117
26	o	o	DET	DET	_	27	det	_	TokenRange=118:119
27	juiz	juiz	NOUN	NOUN	_	31	nsubj	_	TokenRange=120:124
28	federal	federal	ADJ	ADJ	_	27	amod	_	TokenRange=125:132
29	sergio	sergio	NOUN	NOUN	_	27	appos	_	TokenRange=133:139
30	moro	moro	NOUN	NOUN	_	27	flat	_	TokenRange=140:144
31	afirmou	afirmar	VERB	VERB	_	0	root	_	TokenRange=145:152
32	que	que	CCONJ	CONJ	_	34	mark	_	TokenRange=153:156
33	nao	nao	ADV	ADV	Polarity=Neg	34	advmod	_	TokenRange=157:160
34	ha	har	VERB	VERB	_	31	ccomp	_	TokenRange=161:163
35	qualquer	_	DET	DET	_	36	det	_	TokenRange=164:172
36	registro	registro	NOUN	NOUN	_	34	obj	_	TokenRange=173:181
37	de	_	ADP	ADP	_	42	mark	_	TokenRange=182:184
38	que	que	CCONJ	CONJ	_	42	mark	_	TokenRange=185:188
39	o	o	DET	DET	_	40	det	_	TokenRange=189:190
40	petista	petista	NOUN	NOUN	_	42	nsubj	_	TokenRange=191:198
41	tenha	ter	AUX	AUX	_	42	aux	_	TokenRange=199:204
42	pago	pagar	VERB	VERB	_	36	nmod	_	TokenRange=205:209
43	qualquer	_	DET	DET	_	44	det	_	TokenRange=210:218
44	valor	valor	NOUN	NOUN	_	42	obj	_	TokenRange=219:224
45	por	por	ADP	ADP	_	46	case	_	TokenRange=225:228
46	reformas	reforma	NOUN	NOUN	_	42	nmod	_	TokenRange=229:237
47-48	na	_	_	_	_	_	_	_	TokenRange=238:240
47	em	em	ADP	ADP	_	49	case	_	_
48	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	49	det	_	_
49	propriedade	propriedade	NOUN	NOUN	_	46	nmod	_	TokenRange=241:252
50	as	o	DET	DET	_	51	det	_	TokenRange=253:255
51	obras	obra	NOUN	NOUN	_	57	nsubj	_	TokenRange=256:261
52-53	no	_	_	_	_	_	_	_	TokenRange=262:264
52	em	em	ADP	ADP	_	54	case	_	_
53	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	54	det	_	_
54	sitio	sitio	NOUN	NOUN	_	51	nmod	_	TokenRange=265:270
