# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = voce viu jacare apreendido na br nova recontagem de foragidos deputados pedem ajuda a temer
1	voce	_	PRON	PRON	_	2	nsubj	_	TokenRange=0:4
2	viu	ver	VERB	VERB	_	0	root	_	TokenRange=5:8
3	jacare	jacare	NOUN	NOUN	_	2	obj	_	TokenRange=9:15
4	apreendido	apreendido	ADJ	ADJ	_	3	amod	_	TokenRange=16:26
5-6	na	_	_	_	_	_	_	_	TokenRange=27:29
5	em	em	ADP	ADP	_	7	case	_	_
6	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	7	det	_	_
7	br	br	NOUN	NOUN	_	4	nmod	_	TokenRange=30:32
8	nova	novo	ADJ	ADJ	_	7	amod	_	TokenRange=33:37
9	recontagem	recontagem	NOUN	NOUN	_	13	nsubj	_	TokenRange=38:48
10	de	de	ADP	ADP	_	12	case	_	TokenRange=49:51
11	foragidos	foragido	ADJ	ADJ	_	12	amod	_	TokenRange=52:61
12	deputados	deputado	NOUN	NOUN	_	9	nmod	_	TokenRange=62:71
13	pedem	pedir	VERB	VERB	_	2	parataxis	_	TokenRange=72:77
14	ajuda	ajuda	NOUN	NOUN	_	13	obj	_	TokenRange=78:83
15	a	_	ADP	ADP	_	16	mark	_	TokenRange=84:85
16	temer	temer	NOUN	NOUN	_	14	nmod	_	SpacesAfter=\s\s|TokenRange=86:91

