# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = genebra documentos em poder de promotores do brasil e da venezuela aos quais o estado teve acesso com exclusividade mostram que o presidente da venezuela nicolas maduro liberou mais de us 4 bilhoes para obras da odebrecht em projetos financiados em parte com dinheiro do bndes o pagamento foi ordenado dias apos a eleicao de maduro em 2013 cuja campanha a construtora admitiu ter financiado com caixa 2 nos documentos o presidente frisava em letra cursiva que realizar os pagamentos que se estenderam ate 2015 era muy urgente os recursos nao estavam no orcamento aprovado pelo legislativo e parte vinha de linhas de credito do bndes segundo a investigacao a liberacao de recursos fazia parte de um acerto entre maduro e a construtora em troca de us 35 milhoes para a campanha de 2013 o presidente daria prioridade para que recursos extraorcamentarios bancassem obras da odebrecht odebrecht derruba primeiro presidente na america latina parte das informacoes esta na delacao de euzenando azevedo exdiretor da odebrecht que prestou depoimento em 15 de dezembro de 2016 no ministerio publico federal no brasil na declaracao ele explica como o venezuelano americo mata apresentouse como coordenador de campanha de maduro pedindo as contribuicoes o executivo condicionou a ajuda a garantias de que o governo liberaria recursos de forma regular para manter o ritmo das obras para reforcar a relacao entre os us 35 milhoes para a campanha e a liberacao dos recursos ele apresentou ao mp sete documentos do governo venezuelano aos quais o estado teve acesso todos estao assinados e comentados por maduro outra parcela da relacao da maquina publica brasileira com o chavismo veio da delacao dos publicitarios monica moura e joao santana em 2 de agosto de 2017 eles foram
1	genebra	genebrar	VERB	VERB	_	0	root	_	TokenRange=0:7
2	documentos	documento	NOUN	NOUN	_	1	obj	_	TokenRange=8:18
3	em	em	ADP	ADP	_	4	case	_	TokenRange=19:21
4	poder	poder	NOUN	NOUN	_	2	nmod	_	TokenRange=22:27
5	de	de	ADP	ADP	_	6	case	_	TokenRange=28:30
6	promotores	promotor	NOUN	NOUN	_	4	nmod	_	TokenRange=31:41
7-8	do	_	_	_	_	_	_	_	TokenRange=42:44
7	de	de	ADP	ADP	_	9	case	_	_
8	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	9	det	_	_
9	brasil	brasil	NOUN	NOUN	_	6	nmod	_	TokenRange=45:51
10	e	e	CCONJ	CONJ	_	13	cc	_	TokenRange=52:53
11-12	da	_	_	_	_	_	_	_	TokenRange=54:56
11	de	de	ADP	ADP	_	13	case	_	_
12	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	13	det	_	_
13	venezuela	_	NOUN	NOUN	_	9	conj	_	TokenRange=57:66
14-15	aos	_	_	_	_	_	_	_	TokenRange=67:70
14	a	a	ADP	ADP	_	16	case	_	_
15	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	16	det	_	_
16	quais	_	PRON	PRON	_	19	nmod	_	TokenRange=71:76
17	o	o	DET	DET	_	18	det	_	TokenRange=77:78
18	estado	estado	NOUN	NOUN	_	19	nsubj	_	TokenRange=79:85
19	teve	ter	VERB	VERB	_	6	acl:relcl	_	TokenRange=86:90
20	acesso	acesso	NOUN	NOUN	_	19	obj	_	TokenRange=91:97
21	com	com	ADP	ADP	_	22	case	_	TokenRange=98:101
22	exclusividade	exclusividade	NOUN	NOUN	_	20	nmod	_	TokenRange=102:115
23	mostram	mostrar	VERB	VERB	_	1	parataxis	_	TokenRange=116:123
24	que	que	CCONJ	CONJ	_	32	mark	_	TokenRange=124:127
25	o	o	DET	DET	_	26	det	_	TokenRange=128:129
26	presidente	presidente	NOUN	NOUN	_	32	nsubj	_	TokenRange=130:140
27-28	da	_	_	_	_	_	_	_	TokenRange=141:143
27	de	de	ADP	ADP	_	29	case	_	_
28	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	29	det	_	_
29	venezuela	_	NOUN	NOUN	_	26	nmod	_	TokenRange=144:153
30	nicolas	nicola	ADJ	ADJ	_	26	appos	_	TokenRange=154:161
31	maduro	maduro	NOUN	NOUN	_	30	flat	_	TokenRange=162:168
32	liberou	liberar	VERB	VERB	_	23	ccomp	_	TokenRange=169:176
33	mais	mais	ADV	ADV	_	37	advmod	_	TokenRange=177:181
34	de	de	ADP	ADP	_	33	case	_	TokenRange=182:184
35	us	_	NOUN	NOUN	_	32	obj	_	TokenRange=185:187
36	4	_	NUM	NUM	NumType=Card	37	nummod	_	TokenRange=188:189
37	bilhoes	_	NUM	NUM	NumType=Card	35	nummod	_	TokenRange=190:197
38	para	para	ADP	ADP	_	39	case	_	TokenRange=198:202
39	obras	obra	NOUN	NOUN	_	32	nmod	_	TokenRange=203:208
40-41	da	_	_	_	_	_	_	_	TokenRange=209:211
40	de	de	ADP	ADP	_	42	case	_	_
41	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	42	det	_	_
42	odebrecht	_	NOUN	NOUN	_	39	nmod	_	TokenRange=212:221
43	em	em	ADP	ADP	_	44	case	_	TokenRange=222:224
44	projetos	projeto	NOUN	NOUN	_	32	nmod	_	TokenRange=225:233
45	financiados	financiar	VERB	VERB	_	44	acl	_	TokenRange=234:245
46	em	em	ADP	ADP	_	47	case	_	TokenRange=246:248
47	parte	parte	NOUN	NOUN	_	45	nmod	_	TokenRange=249:254
48	com	com	ADP	ADP	_	49	case	_	TokenRange=255:258
49	dinheiro	dinheiro	NOUN	NOUN	_	47	nmod	_	TokenRange=259:267
50-51	do	_	_	_	_	_	_	_	TokenRange=268:270
50	de	de	ADP	ADP	_	52	case	_	_
51	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	52	det	_	_
52	bndes	bndes	NOUN	NOUN	_	49	nmod	_	TokenRange=271:276
53	o	o	DET	DET	_	54	det	_	TokenRange=277:278
54	pagamento	pagamento	NOUN	NOUN	_	56	nsubj:pass	_	TokenRange=279:288
55	foi	_	AUX	AUX	_	56	aux:pass	_	TokenRange=289:292
56	ordenado	ordenar	VERB	VERB	_	23	ccomp	_	TokenRange=293:301
57	dias	dia	NOUN	NOUN	_	56	nmod	_	TokenRange=302:306
58	apos	_	ADP	ADP	_	60	case	_	TokenRange=307:311
59	a	o	DET	DET	_	60	det	_	TokenRange=312:313
60	eleicao	eleicao	NOUN	NOUN	_	57	nmod	_	TokenRange=314:321
61	de	de	ADP	ADP	_	62	case	_	TokenRange=322:324
62	maduro	maduro	NOUN	NOUN	_	60	nmod	_	TokenRange=325:331
63	em	em	ADP	ADP	_	64	case	_	TokenRange=332:334
64	2013	_	NUM	NUM	NumType=Card	60	nmod	_	TokenRange=335:339
65	cuja	_	DET	DET	_	66	det	_	TokenRange=340:344
66	campanha	campanha	NOUN	NOUN	_	69	nsubj	_	TokenRange=345:353
67	a	o	DET	DET	_	68	det	_	TokenRange=354:355
68	construtora	construtor	NOUN	NOUN	_	69	nsubj	_	TokenRange=356:367
69	admitiu	admitir	VERB	VERB	_	202	ccomp	_	TokenRange=368:375
70	ter	ter	AUX	AUX	_	71	aux	_	TokenRange=376:379
71	financiado	financiar	VERB	VERB	_	69	xcomp	_	TokenRange=380:390
72	com	com	ADP	ADP	_	73	case	_	TokenRange=391:394
73	caixa	caixa	NOUN	NOUN	_	71	nmod	_	TokenRange=395:400
74	2	_	NUM	NUM	NumType=Card	73	appos	_	TokenRange=401:402
75-76	nos	_	_	_	_	_	_	_	TokenRange=403:406
75	em	em	ADP	ADP	_	77	case	_	_
76	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	77	det	_	_
77	documentos	documento	NOUN	NOUN	_	71	nmod	_	TokenRange=407:417
78	o	o	DET	DET	_	79	det	_	TokenRange=418:419
79	presidente	presidente	NOUN	NOUN	_	260	nsubj	_	TokenRange=420:430
80	frisava	frisar	VERB	VERB	_	56	parataxis	_	TokenRange=431:438
81	em	em	ADP	ADP	_	82	case	_	TokenRange=439:441
82	letra	letra	NOUN	NOUN	_	80	nmod	_	TokenRange=442:447
83	cursiva	cursivo	ADJ	ADJ	_	82	amod	_	TokenRange=448:455
84	que	que	CCONJ	CONJ	_	208	mark	_	TokenRange=456:459
85	realizar	realizar	VERB	VERB	_	297	csubj	_	TokenRange=460:468
86	os	o	DET	DET	_	87	det	_	TokenRange=469:471
87	pagamentos	pagamento	NOUN	NOUN	_	85	obj	_	TokenRange=472:482
88	que	_	PRON	PRON	_	90	nsubj	_	TokenRange=483:486
89	se	_	PRON	PRON	_	90	expl:pv	_	TokenRange=487:489
90	estenderam	estender	VERB	VERB	_	87	acl:relcl	_	TokenRange=490:500
91	ate	_	ADP	ADP	_	92	case	_	TokenRange=501:504
92	2015	_	NUM	NUM	NumType=Card	90	nmod	_	TokenRange=505:509
93	era	_	VERB	VERB	_	80	ccomp	_	TokenRange=510:513
94	muy	muy	ADV	ADV	_	95	advmod	_	TokenRange=514:517
95	urgente	urgente	ADJ	ADJ	_	93	xcomp	_	TokenRange=518:525
96	os	o	DET	DET	_	97	det	_	TokenRange=526:528
97	recursos	recurso	NOUN	NOUN	_	260	nsubj	_	TokenRange=529:537
98	nao	nao	ADV	ADV	Polarity=Neg	99	advmod	_	TokenRange=538:541
99	estavam	estar	VERB	VERB	_	202	ccomp	_	TokenRange=542:549
100-101	no	_	_	_	_	_	_	_	TokenRange=550:552
100	em	em	ADP	ADP	_	102	case	_	_
101	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	102	det	_	_
102	orcamento	orcamento	NOUN	NOUN	_	99	nmod	_	TokenRange=553:562
103	aprovado	aprovar	VERB	VERB	_	102	acl	_	TokenRange=563:571
