# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = responsavel pela operacionalizacao dos pagamentos para politicos do grupo jf o delator ricardo saud entregou a procuradoriageral da republica pgr uma planilha com registro do repasse de r 15 milhoes para o pmdb na campanha eleitoral de 2014 supostamente por ordem do presidente michel temer no registro entregue no anexo 31 da delacao premiada de saud fechada com a forcatarefa da operacao lava jato na pgr e homologada pelo ministro edson fachin do supremo tribunal federal stf ha doacoes oficiais ao partido e r 3 milhoes relacionado ao exdeputado eduardo cunha pmdbrj e r 1 milhao sao oito registros de pagamentos com datas beneficiarios e empresa do grupo que pagou na versao contada pelos delatores os r 15 milhoes vinham da conta dilma que chegou a ter us 30 milhoes a disposicao da campanha presidencial por acerto do dono da jf joesley batista com o exministro da fazenda guido mantega o valor teria sido parte da compra de apoio dos caciques do pmdb que envolveu repasses ainda para renan calheiros pmdbal eunicio oliveira pmdbro jader barbalho pmdbpr entre outros no mesmo anexo saud entregou aos investigadores uma anotacao manuscrita que mostra como foi feita a divisao do valor destinado a temer a anotacao de saud relaciona os r 15 milhoes a suposto pedido do tesoureiro da campanha de reeleicao de dilma rousseff o exministro edinho silva temer 1500000000 a pedido edinho pt registra a anotacao abaixo do valor total supostamente relacionado a
1	responsavel	responsavel	ADJ	ADJ	_	15	amod	_	TokenRange=0:11
2-3	pela	_	_	_	_	_	_	_	TokenRange=12:16
2	por	por	ADP	ADP	_	4	case	_	_
3	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	4	det	_	_
4	operacionalizacao	_	NOUN	NOUN	_	1	nmod	_	TokenRange=17:34
5-6	dos	_	_	_	_	_	_	_	TokenRange=35:38
5	de	de	ADP	ADP	_	7	case	_	_
6	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	7	det	_	_
7	pagamentos	pagamento	NOUN	NOUN	_	4	nmod	_	TokenRange=39:49
8	para	para	ADP	ADP	_	9	case	_	TokenRange=50:54
9	politicos	politico	NOUN	NOUN	_	7	nmod	_	TokenRange=55:64
10-11	do	_	_	_	_	_	_	_	TokenRange=65:67
10	de	de	ADP	ADP	_	12	case	_	_
11	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	12	det	_	_
12	grupo	grupo	NOUN	NOUN	_	9	nmod	_	TokenRange=68:73
13	jf	_	NOUN	NOUN	_	12	flat	_	TokenRange=74:76
14	o	o	DET	DET	_	15	det	_	TokenRange=77:78
15	delator	delator	NOUN	NOUN	_	18	nsubj	_	TokenRange=79:86
16	ricardo	ricardo	ADJ	ADJ	_	15	appos	_	TokenRange=87:94
17	saud	_	PROPN	PNOUN	_	15	appos	_	TokenRange=95:99
18	entregou	entregar	VERB	VERB	_	0	root	_	TokenRange=100:108
19	a	_	ADP	ADP	_	20	case	_	TokenRange=109:110
20	procuradoriageral	procuradoriageral	NOUN	NOUN	_	18	iobj	_	TokenRange=111:128
21-22	da	_	_	_	_	_	_	_	TokenRange=129:131
21	de	de	ADP	ADP	_	23	case	_	_
22	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	23	det	_	_
23	republica	_	NOUN	NOUN	_	20	nmod	_	TokenRange=132:141
24	pgr	pgr	NOUN	NOUN	_	18	obj	_	TokenRange=142:145
25	uma	um	DET	DET	_	26	det	_	TokenRange=146:149
26	planilha	planilha	NOUN	NOUN	_	18	obj	_	TokenRange=150:158
27	com	com	ADP	ADP	_	28	case	_	TokenRange=159:162
28	registro	registro	NOUN	NOUN	_	26	nmod	_	TokenRange=163:171
29-30	do	_	_	_	_	_	_	_	TokenRange=172:174
29	de	de	ADP	ADP	_	31	case	_	_
30	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	31	det	_	_
31	repasse	repasse	NOUN	NOUN	_	28	nmod	_	TokenRange=175:182
32	de	de	ADP	ADP	_	33	case	_	TokenRange=183:185
33	r	r	NOUN	NOUN	_	31	nmod	_	TokenRange=186:187
34	15	_	NUM	NUM	NumType=Card	35	nummod	_	TokenRange=188:190
35	milhoes	_	NUM	NUM	NumType=Card	33	nummod	_	TokenRange=191:198
36	para	para	ADP	ADP	_	38	case	_	TokenRange=199:203
37	o	o	DET	DET	_	38	det	_	TokenRange=204:205
38	pmdb	_	NOUN	NOUN	_	31	nmod	_	TokenRange=206:210
39-40	na	_	_	_	_	_	_	_	TokenRange=211:213
39	em	em	ADP	ADP	_	41	case	_	_
40	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	41	det	_	_
41	campanha	campanha	NOUN	NOUN	_	31	nmod	_	TokenRange=214:222
42	eleitoral	eleitoral	ADJ	ADJ	_	41	amod	_	TokenRange=223:232
43	de	de	ADP	ADP	_	44	case	_	TokenRange=233:235
44	2014	_	NUM	NUM	NumType=Card	41	nmod	_	TokenRange=236:240
45	supostamente	supostamente	ADV	ADV	_	47	advmod	_	TokenRange=241:253
