# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = pela bola sete lula recorre ao povo cujo patrimonio foi roubado em seu governo para se livrar da justica e da imprensa condenado a n9 anos e 6 meses de prisao lula convocou uma entrevista coletiva na sede do pt e nao respondeu a perguntas tratando a imprensa como inimiga e os jornalistas foram porque servem ao publico ele nao respondeu porque se acha acima do bem e do mal e sabe que nao tem defesa a apresentar argumentos a discutir este e o jogo populista dele mas voto nao e detergente e democracia nao e so voto mas tambem o funcionamento autonomo dos poderes apud montesquieu e dos pesos e contrapesos da revolucao americana mas nao adianta chorar a bola sete esta na cacapa comentario no jornal eldorado da radio eldorado fm 1073 na sextafeira 14 de julho de 2017 as 7h30m
1-2	pela	_	_	_	_	_	_	_	TokenRange=0:4
1	por	por	ADP	ADP	_	3	case	_	_
2	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	3	det	_	_
3	bola	bola	NOUN	NOUN	_	6	nmod	_	TokenRange=5:9
4	sete	_	NUM	NUM	NumType=Card	3	appos	_	TokenRange=10:14
5	lula	lula	NOUN	NOUN	_	6	nsubj	_	TokenRange=15:19
6	recorre	recorrer	VERB	VERB	_	0	root	_	TokenRange=20:27
7-8	ao	_	_	_	_	_	_	_	TokenRange=28:30
7	a	a	ADP	ADP	_	9	case	_	_
8	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	9	det	_	_
9	povo	povo	NOUN	NOUN	_	6	iobj	_	TokenRange=31:35
10	cujo	_	DET	DET	_	11	det	_	TokenRange=36:40
11	patrimonio	patrimonio	NOUN	NOUN	_	13	nsubj:pass	_	TokenRange=41:51
12	foi	_	AUX	AUX	_	13	aux:pass	_	TokenRange=52:55
13	roubado	roubar	VERB	VERB	_	9	acl:relcl	_	TokenRange=56:63
14	em	em	ADP	ADP	_	16	case	_	TokenRange=64:66
15	seu	_	DET	DET	_	16	det:poss	_	TokenRange=67:70
16	governo	governo	NOUN	NOUN	_	13	nmod	_	TokenRange=71:78
17	para	_	ADP	ADP	_	19	mark	_	TokenRange=79:83
18	se	_	PRON	PRON	_	19	obj	_	TokenRange=84:86
19	livrar	livrar	VERB	VERB	_	13	advcl	_	TokenRange=87:93
20-21	da	_	_	_	_	_	_	_	TokenRange=94:96
20	de	de	ADP	ADP	_	22	case	_	_
