# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = veja os enredos das escolas de samba do rio para o carnaval 2018 beijaflor foi a ultima das 13 escolas a anunciar enredo sorteio da ordem dos desfiles foi realizado no sabado na feira carnavaliasambacon apesar das dificuldades e corte de verba por parte da prefeitura os preparativos para o carnaval 2018 ja estao em andamento por parte das escolas de samba das 13 agremiacoes 12 ja escolheram e divulgaram seus enredos para o carnaval 2018 ate 15 de julho so a beijaflor de nilopolis deixou para anunciar o seu no dia 30 de julho durante a feijoada na quadra da escola em nilopolis na baixada fluminense veja abaixo os enredos ja definidos por causa do impasse na com relacao a subvencao municipal somente no sabado 15 data limite prevista pelo regulamento foi sorteada e divulgada a ordem dos desfiles do grupo especial o sorteio aconteceu no encerramento da feira de empresas de carnaval a carnavaliasambacon no centro de convencoes sul america na cidade nova no centro da cidade em 2018 13 escolas vao se apresentar em dois dias de desfile ja que por conta dos acidentes ocorridos nas apresentacoes
1	veja	ver	VERB	VERB	_	0	root	_	TokenRange=0:4
2	os	o	DET	DET	_	3	det	_	TokenRange=5:7
3	enredos	enredo	NOUN	NOUN	_	1	obj	_	TokenRange=8:15
4-5	das	_	_	_	_	_	_	_	TokenRange=16:19
4	de	de	ADP	ADP	_	6	case	_	_
5	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	6	det	_	_
6	escolas	escola	NOUN	NOUN	_	3	nmod	_	TokenRange=20:27
7	de	de	ADP	ADP	_	8	case	_	TokenRange=28:30
8	samba	samba	NOUN	NOUN	_	6	nmod	_	TokenRange=31:36
9-10	do	_	_	_	_	_	_	_	TokenRange=37:39
9	de	de	ADP	ADP	_	11	case	_	_
10	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	11	det	_	_
11	rio	_	NOUN	NOUN	_	6	nmod	_	TokenRange=40:43
12	para	para	ADP	ADP	_	14	case	_	TokenRange=44:48
13	o	o	DET	DET	_	14	det	_	TokenRange=49:50
14	carnaval	carnaval	NOUN	NOUN	_	19	nmod	_	TokenRange=51:59
15	2018	_	NUM	NUM	NumType=Card	14	nmod	_	TokenRange=60:64
16	beijaflor	beijaflor	NOUN	NOUN	_	19	nsubj	_	TokenRange=65:74
17	foi	_	AUX	AUX	_	19	cop	_	TokenRange=75:78
18	a	o	DET	DET	_	19	det	_	TokenRange=79:80
19	ultima	_	NOUN	NOUN	_	1	parataxis	_	TokenRange=81:87
20-21	das	_	_	_	_	_	_	_	TokenRange=88:91
20	de	de	ADP	ADP	_	23	case	_	_
21	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	23	det	_	_
22	13	_	NUM	NUM	NumType=Card	23	nummod	_	TokenRange=92:94
23	escolas	escola	NOUN	NOUN	_	19	nmod	_	TokenRange=95:102
24	a	_	ADP	ADP	_	25	mark	_	TokenRange=103:104
25	anunciar	anunciar	VERB	VERB	_	19	nmod	_	TokenRange=105:113
26	enredo	enredo	NOUN	NOUN	_	25	obj	_	TokenRange=114:120
27	sorteio	sorteio	NOUN	NOUN	_	35	nsubj:pass	_	TokenRange=121:128
