# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = entenda o massacre na escola da florida e o andamento das investigacoes ataque conduzido por nikolas cruz e considerado um dos piores da historia moderna dos eua e fez com que a comunidade local pressionasse os politicos a reverem a legislacao sobre o controle de armas parkland eua o jovem nikolas cruz de 19 anos foi o autor de um dos piores massacres da historia moderna dos eua no dia 14 ele chegou ao colegio marjory stoneman douglas em parkland na florida de uber as 2h19 locais munido de um fuzil ar15 semiautomatico de acordo detalhes fornecidos por autoridades conheca os jovens que pressionam por mudancas nas leis sobre armas nos eua jovem sobreviveu ao massacre na florida escondendose em armario igual avo fez 70 anos antes um documento da policia aponta que o agressor disparou o alarme de incendio justamente para atirar contra os estudantes quando eles estivessem abandonando o predio e comecou a atirar nos que viu nos corredores e no chao da escola trump diz
1	entenda	entender	VERB	VERB	_	0	root	_	TokenRange=0:7
2	o	o	DET	DET	_	3	det	_	TokenRange=8:9
3	massacre	massacre	NOUN	NOUN	_	1	obj	_	TokenRange=10:18
4-5	na	_	_	_	_	_	_	_	TokenRange=19:21
4	em	em	ADP	ADP	_	6	case	_	_
5	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	6	det	_	_
6	escola	escola	NOUN	NOUN	_	3	nmod	_	TokenRange=22:28
7-8	da	_	_	_	_	_	_	_	TokenRange=29:31
7	de	de	ADP	ADP	_	9	case	_	_
8	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	9	det	_	_
9	florida	florida	NOUN	NOUN	_	3	nmod	_	TokenRange=32:39
10	e	e	CCONJ	CONJ	_	12	cc	_	TokenRange=40:41
11	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	12	det	_	TokenRange=42:43
12	andamento	andamento	NOUN	NOUN	_	3	conj	_	TokenRange=44:53
13-14	das	_	_	_	_	_	_	_	TokenRange=54:57
13	de	de	ADP	ADP	_	15	case	_	_
14	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	15	det	_	_
15	investigacoes	investigacoe	NOUN	NOUN	_	12	nmod	_	TokenRange=58:71
16	ataque	ataque	NOUN	NOUN	_	15	appos	_	TokenRange=72:78
17	conduzido	conduzir	VERB	VERB	_	15	acl	_	TokenRange=79:88
18	por	por	ADP	ADP	_	19	case	_	TokenRange=89:92
19	nikolas	_	NOUN	NOUN	_	17	nmod	_	TokenRange=93:100
20	cruz	cruz	NOUN	NOUN	_	19	flat	_	TokenRange=101:105
21	e	e	CCONJ	CONJ	_	23	cc	_	TokenRange=106:107
22	considerado	considerar	AUX	AUX	_	23	cop	_	TokenRange=108:119
23	um	_	PRON	PRON	_	1	conj	_	TokenRange=120:122
24-25	dos	_	_	_	_	_	_	_	TokenRange=123:126
24	de	de	ADP	ADP	_	26	case	_	_
25	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	26	det	_	_
26	piores	pior	NOUN	NOUN	_	23	nmod	_	TokenRange=127:133
27-28	da	_	_	_	_	_	_	_	TokenRange=134:136
27	de	de	ADP	ADP	_	29	case	_	_
28	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	29	det	_	_
29	historia	historia	NOUN	NOUN	_	26	nmod	_	TokenRange=137:145
30	moderna	moderno	ADJ	ADJ	_	29	amod	_	TokenRange=146:153
31-32	dos	_	_	_	_	_	_	_	TokenRange=154:157
31	de	de	ADP	ADP	_	33	case	_	_
32	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	33	det	_	_
33	eua	_	NOUN	NOUN	_	29	nmod	_	TokenRange=158:161
34	e	e	CCONJ	CONJ	_	35	cc	_	TokenRange=162:163
35	fez	fazer	VERB	VERB	_	1	conj	_	TokenRange=164:167
36	com	_	ADP	ADP	_	41	mark	_	TokenRange=168:171
37	que	que	CCONJ	CONJ	_	41	mark	_	TokenRange=172:175
38	a	o	DET	DET	_	39	det	_	TokenRange=176:177
39	comunidade	comunidade	NOUN	NOUN	_	41	nsubj	_	TokenRange=178:188
40	local	local	ADJ	ADJ	_	39	amod	_	TokenRange=189:194
41	pressionasse	pressionar	VERB	VERB	_	35	nmod	_	TokenRange=195:207
42	os	o	DET	DET	_	43	det	_	TokenRange=208:210
43	politicos	politico	NOUN	NOUN	_	41	obj	_	TokenRange=211:220
44	a	_	ADP	ADP	_	45	mark	_	TokenRange=221:222
45	reverem	rever	VERB	VERB	_	41	nmod	_	TokenRange=223:230
46	a	o	DET	DET	_	47	det	_	TokenRange=231:232
47	legislacao	legislacao	NOUN	NOUN	_	45	obj	_	TokenRange=233:243
48	sobre	_	ADP	ADP	_	50	case	_	TokenRange=244:249
49	o	o	DET	DET	_	50	det	_	TokenRange=250:251
50	controle	_	NOUN	NOUN	_	47	nmod	_	TokenRange=252:260
51	de	de	ADP	ADP	_	52	case	_	TokenRange=261:263
52	armas	arma	NOUN	NOUN	_	50	nmod	_	TokenRange=264:269
53	parkland	_	NOUN	NOUN	_	52	appos	_	TokenRange=270:278
54	eua	_	PRON	PRON	_	64	nsubj	_	TokenRange=279:282
55	o	o	DET	DET	_	145	det	_	TokenRange=283:284
56	jovem	jovem	ADJ	ADJ	_	57	amod	_	TokenRange=285:290
57	nikolas	_	NOUN	NOUN	_	64	nsubj	_	TokenRange=291:298
58	cruz	cruz	NOUN	NOUN	_	57	flat	_	TokenRange=299:303
59	de	de	ADP	ADP	_	61	case	_	TokenRange=304:306
60	19	_	NUM	NUM	NumType=Card	61	nummod	_	TokenRange=307:309
61	anos	ano	NOUN	NOUN	_	57	nmod	_	TokenRange=310:314
62	foi	_	AUX	AUX	_	64	cop	_	TokenRange=315:318
63	o	o	DET	DET	_	64	det	_	TokenRange=319:320
64	autor	autor	NOUN	NOUN	_	149	ccomp	_	TokenRange=321:326
65	de	de	ADP	ADP	_	66	case	_	TokenRange=327:329
66	um	_	PRON	PRON	_	64	nmod	_	TokenRange=330:332
67-68	dos	_	_	_	_	_	_	_	TokenRange=333:336
67	de	de	ADP	ADP	_	70	case	_	_
68	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	70	det	_	_
69	piores	pior	ADJ	ADJ	_	70	amod	_	TokenRange=337:343
70	massacres	massacre	NOUN	NOUN	_	66	nmod	_	TokenRange=344:353
71-72	da	_	_	_	_	_	_	_	TokenRange=354:356
71	de	de	ADP	ADP	_	73	case	_	_
72	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	73	det	_	_
73	historia	historia	NOUN	NOUN	_	70	nmod	_	TokenRange=357:365
74	moderna	moderno	ADJ	ADJ	_	73	amod	_	TokenRange=366:373
75-76	dos	_	_	_	_	_	_	_	TokenRange=374:377
75	de	de	ADP	ADP	_	77	case	_	_
76	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	77	det	_	_
77	eua	_	NOUN	NOUN	_	73	nmod	_	TokenRange=378:381
78-79	no	_	_	_	_	_	_	_	TokenRange=382:384
78	em	em	ADP	ADP	_	80	case	_	_
79	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	80	det	_	_
80	dia	dia	NOUN	NOUN	_	83	nmod	_	TokenRange=385:388
81	14	_	NUM	NUM	NumType=Card	80	nmod	_	TokenRange=389:391
82	ele	_	PRON	PRON	_	83	nsubj	_	TokenRange=392:395
83	chegou	chegar	VERB	VERB	_	149	ccomp	_	TokenRange=396:402
84-85	ao	_	_	_	_	_	_	_	TokenRange=403:405
84	a	a	ADP	ADP	_	86	case	_	_
85	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	86	det	_	_
86	colegio	colegio	NOUN	NOUN	_	83	nmod	_	TokenRange=406:413
87	marjory	marjory	NOUN	NOUN	_	86	appos	_	TokenRange=414:421
88	stoneman	_	NOUN	NOUN	_	87	flat	_	TokenRange=422:430
89	douglas	_	NOUN	NOUN	_	87	flat	_	TokenRange=431:438
90	em	em	ADP	ADP	_	91	case	_	TokenRange=439:441
91	parkland	parkland	NOUN	NOUN	_	86	nmod	_	TokenRange=442:450
92-93	na	_	_	_	_	_	_	_	TokenRange=451:453
92	em	em	ADP	ADP	_	94	case	_	_
93	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	94	det	_	_
94	florida	florida	NOUN	NOUN	_	91	nmod	_	TokenRange=454:461
95	de	_	ADP	ADP	_	96	mark	_	TokenRange=462:464
96	uber	uber	VERB	VERB	_	83	nmod	_	TokenRange=465:469
97	as	o	DET	DET	_	99	det	_	TokenRange=470:472
98	2h19	_	NUM	NUM	NumType=Card	99	nummod	_	TokenRange=473:477
99	locais	local	NOUN	NOUN	_	96	obj	_	TokenRange=478:484
100	munido	munir	VERB	VERB	_	99	acl	_	TokenRange=485:491
101	de	de	ADP	ADP	_	103	case	_	TokenRange=492:494
102	um	um	DET	DET	_	103	det	_	TokenRange=495:497
103	fuzil	fuzil	NOUN	NOUN	_	100	nmod	_	TokenRange=498:503
104	ar15	_	NUM	NUM	_	103	appos	_	TokenRange=504:508
105	semiautomatico	_	ADJ	ADJ	_	104	amod	_	TokenRange=509:523
106	de	de	ADP	ADP	_	107	case	_	TokenRange=524:526
107	acordo	acordo	NOUN	NOUN	_	103	nmod	_	TokenRange=527:533
108	detalhes	detalhe	NOUN	NOUN	_	189	nsubj	_	TokenRange=534:542
109	fornecidos	fornecer	VERB	VERB	_	108	acl	_	TokenRange=543:553
110	por	por	ADP	ADP	_	111	case	_	TokenRange=554:557
111	autoridades	autoridade	NOUN	NOUN	_	109	nmod	_	TokenRange=558:569
112	conheca	conhecar	VERB	VERB	_	189	ccomp	_	TokenRange=570:577
113	os	o	DET	DET	_	114	det	_	TokenRange=578:580
114	jovens	jovem	NOUN	NOUN	_	189	obj	_	TokenRange=581:587
115	que	_	PRON	PRON	_	116	nsubj	_	TokenRange=588:591
116	pressionam	pressionar	VERB	VERB	_	114	acl:relcl	_	TokenRange=592:602
117	por	por	ADP	ADP	_	118	case	_	TokenRange=603:606
118	mudancas	mudanca	NOUN	NOUN	_	116	nmod	_	TokenRange=607:615
119-120	nas	_	_	_	_	_	_	_	TokenRange=616:619
119	em	em	ADP	ADP	_	121	case	_	_
120	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	121	det	_	_
121	leis	lei	NOUN	NOUN	_	118	nmod	_	TokenRange=620:624
122	sobre	_	ADP	ADP	_	123	case	_	TokenRange=625:630
123	armas	arma	NOUN	NOUN	_	121	nmod	_	TokenRange=631:636
124-125	nos	_	_	_	_	_	_	_	TokenRange=637:640
124	em	em	ADP	ADP	_	126	case	_	_
125	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	126	det	_	_
126	eua	_	PROPN	NOUN	_	123	nmod	_	TokenRange=641:644
127	jovem	jovem	ADJ	ADJ	_	126	amod	_	TokenRange=645:650
128	sobreviveu	sobreviver	VERB	VERB	_	35	nmod	_	TokenRange=651:661
129-130	ao	_	_	_	_	_	_	_	TokenRange=662:664
129	a	a	ADP	ADP	_	131	case	_	_
130	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	131	det	_	_
131	massacre	massacre	NOUN	NOUN	_	128	nmod	_	TokenRange=665:673
132-133	na	_	_	_	_	_	_	_	TokenRange=674:676
132	em	em	ADP	ADP	_	134	case	_	_
133	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	134	det	_	_
134	florida	florida	NOUN	NOUN	_	131	nmod	_	TokenRange=677:684
135	escondendose	_	VERB	VERB	_	128	acl	_	TokenRange=685:697
136	em	em	ADP	ADP	_	137	case	_	TokenRange=698:700
137	armario	armario	NOUN	NOUN	_	135	nmod	_	TokenRange=701:708
138	igual	igual	ADJ	ADJ	_	137	amod	_	TokenRange=709:714
139	avo	avo	NOUN	NOUN	_	140	nsubj	_	TokenRange=715:718
140	fez	fazer	VERB	VERB	_	128	parataxis	_	TokenRange=719:722
