# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = avo que teve neta gravida morta para retirada de bebe em mg desabafa quero justica crime foi registrado em dezembro no bairro monte hebron em uberlandia crianca recebeu alta do hcufu ha duas semanas e esta sob os cuidados da familia paterna ja faz mais de tres meses que a pensionista maria aparecida da silva de 63 anos convive com a dor e a aflicao de perder a neta da forma mais cruel que pudesse imaginar a jovem gabrielle barcelos foi assassinada pela vizinha no bairro monte hebron em uberlandia e teve o bebe de oito meses arrancado da barriga a re confessa aline roberta fagundes foi indiciada por ter arquitetado a morte da gestante de 18 anos e cometido o assassinato para poder roubar
1	avo	avo	NOUN	NOUN	_	18	nsubj:pass	_	TokenRange=0:3
2	que	_	PRON	PRON	_	3	nsubj	_	TokenRange=4:7
3	teve	ter	VERB	VERB	_	1	acl:relcl	_	TokenRange=8:12
4	neta	neta	NOUN	NOUN	_	3	obj	_	TokenRange=13:17
5	gravida	gravido	ADJ	ADJ	_	4	amod	_	TokenRange=18:25
6	morta	_	VERB	VERB	_	1	acl	_	TokenRange=26:31
7	para	para	ADP	ADP	_	8	case	_	TokenRange=32:36
8	retirada	_	NOUN	NOUN	_	6	nmod	_	TokenRange=37:45
9	de	de	ADP	ADP	_	10	case	_	TokenRange=46:48
10	bebe	bebe	NOUN	NOUN	_	8	nmod	_	TokenRange=49:53
11	em	em	ADP	ADP	_	12	case	_	TokenRange=54:56
12	mg	_	NOUN	NOUN	_	3	nmod	_	TokenRange=57:59
13	desabafa	_	NOUN	NOUN	_	14	appos	_	TokenRange=60:68
14	quero	querer	VERB	VERB	_	18	parataxis	_	TokenRange=69:74
15	justica	justico	ADJ	ADJ	_	16	amod	_	TokenRange=75:82
16	crime	crime	NOUN	NOUN	_	14	obj	_	TokenRange=83:88
17	foi	_	AUX	AUX	_	18	aux:pass	_	TokenRange=89:92
18	registrado	registrar	VERB	VERB	_	0	root	_	TokenRange=93:103
19	em	em	ADP	ADP	_	20	case	_	TokenRange=104:106
20	dezembro	_	PROPN	PNOUN	_	18	nmod	_	TokenRange=107:115
21-22	no	_	_	_	_	_	_	_	TokenRange=116:118
21	em	em	ADP	ADP	_	23	case	_	_
22	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	23	det	_	_
23	bairro	bairro	NOUN	NOUN	_	18	nmod	_	TokenRange=119:125
24	monte	monte	NOUN	NOUN	_	23	appos	_	TokenRange=126:131
25	hebron	hebron	ADJ	ADJ	_	24	flat	_	TokenRange=132:138
26	em	em	ADP	ADP	_	27	case	_	TokenRange=139:141
27	uberlandia	uberlandia	NOUN	NOUN	_	3	nmod	_	TokenRange=142:152
28	crianca	crianco	NOUN	NOUN	_	29	nsubj	_	TokenRange=153:160
29	recebeu	receber	VERB	VERB	_	18	parataxis	_	TokenRange=161:168
30	alta	_	NOUN	NOUN	_	29	obj	_	TokenRange=169:173
31-32	do	_	_	_	_	_	_	_	TokenRange=174:176
31	de	de	ADP	ADP	_	33	case	_	_
32	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	33	det	_	_
33	hcufu	_	NOUN	NOUN	_	30	nmod	_	TokenRange=177:182
34	ha	_	VERB	VERB	_	29	advcl	_	TokenRange=183:185
35	duas	_	NUM	NUM	NumType=Card	36	nummod	_	TokenRange=186:190
36	semanas	semana	NOUN	NOUN	_	34	nmod	_	TokenRange=191:198
37	e	e	CCONJ	CONJ	_	38	cc	_	TokenRange=199:200
