# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = imagens da semana de 22 a 28 de julho de 2017
1	imagens	imagem	NOUN	NOUN	_	0	root	_	TokenRange=0:7
2-3	da	_	_	_	_	_	_	_	TokenRange=8:10
2	de	de	ADP	ADP	_	4	case	_	_
3	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	4	det	_	_
4	semana	semana	NOUN	NOUN	_	1	nmod	_	TokenRange=11:17
5	de	de	ADP	ADP	_	6	case	_	TokenRange=18:20
6	22	_	NUM	NUM	NumType=Card	1	nmod	_	TokenRange=21:23
7	a	_	ADP	ADP	_	8	case	_	TokenRange=24:25
8	28	_	NUM	NUM	NumType=Card	6	nmod	_	TokenRange=26:28
9	de	de	ADP	ADP	_	10	case	_	TokenRange=29:31
10	julho	_	PROPN	PNOUN	_	6	nmod	_	TokenRange=32:37
11	de	de	ADP	ADP	_	12	case	_	TokenRange=38:40
12	2017	_	NUM	NUM	NumType=Card	10	nmod	_	SpacesAfter=\s\s|TokenRange=41:45

