# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = reynaldo gianecchini e ricardo tozzi apresentam os guardas do taj adaptacao brasileira do espetaculo do americano rajiv joseph chega ao festival de curitiba nos dias 7 e 8 de abril o
1	reynaldo	reynaldo	NOUN	NOUN	_	6	nsubj	_	TokenRange=0:8
2	gianecchini	_	NOUN	NOUN	_	1	flat	_	TokenRange=9:20
3	e	e	CCONJ	CONJ	_	4	cc	_	TokenRange=21:22
4	ricardo	ricardo	NOUN	NOUN	_	1	conj	_	TokenRange=23:30
5	tozzi	_	PROPN	PNOUN	_	4	flat	_	TokenRange=31:36
6	apresentam	apresentar	VERB	VERB	_	0	root	_	TokenRange=37:47
7	os	o	DET	DET	_	8	det	_	TokenRange=48:50
8	guardas	guarda	NOUN	NOUN	_	6	obj	_	TokenRange=51:58
9-10	do	_	_	_	_	_	_	_	TokenRange=59:61
9	de	de	ADP	ADP	_	11	case	_	_
10	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	11	det	_	_
11	taj	_	NOUN	NOUN	_	8	nmod	_	TokenRange=62:65
12	adaptacao	adaptacao	NOUN	NOUN	_	8	appos	_	TokenRange=66:75
13	brasileira	brasileiro	ADJ	ADJ	_	12	amod	_	TokenRange=76:86
14-15	do	_	_	_	_	_	_	_	TokenRange=87:89
14	de	de	ADP	ADP	_	16	case	_	_
15	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	16	det	_	_
16	espetaculo	espetaculo	NOUN	NOUN	_	12	nmod	_	TokenRange=90:100
17-18	do	_	_	_	_	_	_	_	TokenRange=101:103
17	de	de	ADP	ADP	_	19	case	_	_
18	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	19	det	_	_
19	americano	americano	NOUN	NOUN	_	16	nmod	_	TokenRange=104:113
20	rajiv	_	NOUN	NOUN	_	19	appos	_	TokenRange=114:119
21	joseph	_	PROPN	NOUN	_	20	flat	_	TokenRange=120:126
22	chega	chegar	VERB	VERB	_	6	parataxis	_	TokenRange=127:132
23-24	ao	_	_	_	_	_	_	_	TokenRange=133:135
23	a	a	ADP	ADP	_	25	case	_	_
24	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	25	det	_	_
25	festival	festival	NOUN	NOUN	_	22	nmod	_	TokenRange=136:144
26	de	de	ADP	ADP	_	27	case	_	TokenRange=145:147
27	curitiba	curitiba	NOUN	NOUN	_	25	nmod	_	TokenRange=148:156
28-29	nos	_	_	_	_	_	_	_	TokenRange=157:160
28	em	em	ADP	ADP	_	30	case	_	_
29	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	30	det	_	_
30	dias	dia	NOUN	NOUN	_	22	nmod	_	TokenRange=161:165
31	7	_	NUM	NUM	NumType=Card	30	nmod	_	TokenRange=166:167
32	e	e	CCONJ	CONJ	_	33	cc	_	TokenRange=168:169
33	8	_	NUM	NUM	NumType=Card	31	conj	_	TokenRange=170:171
34	de	de	ADP	ADP	_	35	case	_	TokenRange=172:174
35	abril	_	PROPN	PNOUN	_	31	nmod	_	TokenRange=175:180
36	o	o	DET	DET	_	6	det	_	SpacesAfter=\s\s|TokenRange=181:182

