# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = estamos mais vulneraveis do que em 2008 diz expresidente do bce para jeanclaude trichet e inquietante ver o endividamento da economia global seguir no mesmo ritmo precrise paris em 2017 a economia da zona do euro o grupo de 19 paises da uniao europeia que adota a moeda unica registrou seu melhor desempenho em 10 anos com um crescimento de 25 de seu produto interno bruto pib o desempenho so nao foi maior do que o de 2007 quando a evolucao havia alcancado 3 nao por coincidencia aquele ano havia sido o ultimo antes da falencia do banco americano de investimentos lehman brothers o marco oficial da crise financeira internacional que abalaria a economia global ao longo de um decenio nessa epoca que tinha as redeas da politica monetaria da uniao europeia era um frances jeanclaude trichet entao presidente do poderoso banco central europeu bce essa circunstancia lhe conferiu a a condicao de um dos homens mais influentes e importantes do mundo em meio a turbulencia que ameacava reeditar a depressao economica de 19291930 uma de suas frases mais repetidas nas numerosas entrevistas coletivas que concedia com o intuito de acalmar os mercados financeiros continua a soar na cabeca dos jornalistas especializados na europa nao ha lugar para complacencia repetia trichet no intuito de demonstrar a firmeza com a qual o bce e a uniao europeia tratariam a crise do sistema financeiro causada pelos subprimes os creditos imobiliarios de alto risco e a seguir a crise das dividas da zona do euro que devastou as economias de grecia irlanda e portugal e jogou duas grandes
1	estamos	estar	VERB	VERB	_	0	root	_	TokenRange=0:7
2	mais	mais	ADV	ADV	_	3	advmod	_	TokenRange=8:12
3	vulneraveis	vulneravel	ADJ	ADJ	_	1	xcomp	_	TokenRange=13:24
4-5	do	_	_	_	_	_	_	_	TokenRange=25:27
4	de	de	ADP	ADP	_	9	case	_	_
5	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	9	det	_	_
6	que	_	CCONJ	CONJ	_	4	fixed	_	TokenRange=28:31
7	em	em	ADP	ADP	_	8	case	_	TokenRange=32:34
8	2008	_	NUM	NUM	NumType=Card	9	nmod	_	TokenRange=35:39
9	diz	dizer	VERB	VERB	_	1	advcl	_	TokenRange=40:43
10	expresidente	expresidente	NOUN	NOUN	_	9	nsubj	_	TokenRange=44:56
11-12	do	_	_	_	_	_	_	_	TokenRange=57:59
11	de	de	ADP	ADP	_	13	case	_	_
12	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	13	det	_	_
13	bce	bce	NOUN	NOUN	_	10	nmod	_	TokenRange=60:63
14	para	para	ADP	ADP	_	15	case	_	TokenRange=64:68
15	jeanclaude	jeanclaude	NOUN	NOUN	_	10	nmod	_	TokenRange=69:79
16	trichet	_	NOUN	NOUN	_	15	flat	_	TokenRange=80:87
17	e	e	CCONJ	CONJ	_	18	cc	_	TokenRange=88:89
18	inquietante	inquietante	ADJ	ADJ	_	79	xcomp	_	TokenRange=90:101
19	ver	ver	VERB	VERB	_	164	csubj	_	TokenRange=102:105
20	o	o	DET	DET	_	21	det	_	TokenRange=106:107
21	endividamento	endividamento	NOUN	NOUN	_	19	obj	_	TokenRange=108:121
22-23	da	_	_	_	_	_	_	_	TokenRange=122:124
22	de	de	ADP	ADP	_	24	case	_	_
23	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	24	det	_	_
24	economia	economia	NOUN	NOUN	_	21	nmod	_	TokenRange=125:133
25	global	global	ADJ	ADJ	_	24	amod	_	TokenRange=134:140
26	seguir	seguir	VERB	VERB	_	21	acl:inf	_	TokenRange=141:147
27-28	no	_	_	_	_	_	_	_	TokenRange=148:150
27	em	em	ADP	ADP	_	30	case	_	_
28	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	30	det	_	_
29	mesmo	mesmo	ADJ	ADJ	_	30	amod	_	TokenRange=151:156
30	ritmo	ritmo	NOUN	NOUN	_	26	nmod	_	TokenRange=157:162
31	precrise	precrisar	VERB	VERB	_	9	conj	_	TokenRange=163:171
32	paris	_	PROPN	PNOUN	_	31	obj	_	TokenRange=172:177
33	em	em	ADP	ADP	_	34	case	_	TokenRange=178:180
34	2017	_	NUM	NUM	NumType=Card	31	nmod	_	TokenRange=181:185
35	a	o	DET	DET	_	36	det	_	TokenRange=186:187
36	economia	economia	NOUN	NOUN	_	31	nsubj	_	TokenRange=188:196
37-38	da	_	_	_	_	_	_	_	TokenRange=197:199
37	de	de	ADP	ADP	_	39	case	_	_
38	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	39	det	_	_
39	zona	zona	NOUN	NOUN	_	36	nmod	_	TokenRange=200:204
40-41	do	_	_	_	_	_	_	_	TokenRange=205:207
40	de	de	ADP	ADP	_	42	case	_	_
41	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	42	det	_	_
42	euro	euro	NOUN	NOUN	_	39	nmod	_	TokenRange=208:212
43	o	o	DET	DET	_	44	det	_	TokenRange=213:214
44	grupo	grupo	NOUN	NOUN	_	57	nsubj	_	TokenRange=215:220
45	de	de	ADP	ADP	_	47	case	_	TokenRange=221:223
46	19	_	NUM	NUM	NumType=Card	47	nummod	_	TokenRange=224:226
47	paises	paise	NOUN	NOUN	_	44	nmod	_	TokenRange=227:233
48-49	da	_	_	_	_	_	_	_	TokenRange=234:236
48	de	de	ADP	ADP	_	50	case	_	_
49	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	50	det	_	_
50	uniao	uniao	NOUN	NOUN	_	47	nmod	_	TokenRange=237:242
51	europeia	europeu	ADJ	ADJ	_	50	amod	_	TokenRange=243:251
52	que	_	PRON	PRON	_	53	nsubj	_	TokenRange=252:255
53	adota	adotar	VERB	VERB	_	44	acl:relcl	_	TokenRange=256:261
54	a	o	DET	DET	_	55	det	_	TokenRange=262:263
55	moeda	moeda	NOUN	NOUN	_	53	obj	_	TokenRange=264:269
56	unica	unico	ADJ	ADJ	_	55	amod	_	TokenRange=270:275
57	registrou	registrar	VERB	VERB	_	9	ccomp	_	TokenRange=276:285
58	seu	_	DET	DET	_	60	det:poss	_	TokenRange=286:289
59	melhor	melhor	ADJ	ADJ	_	60	amod	_	TokenRange=290:296
60	desempenho	desempenho	NOUN	NOUN	_	57	obj	_	TokenRange=297:307
61	em	em	ADP	ADP	_	63	case	_	TokenRange=308:310
62	10	_	NUM	NUM	NumType=Card	63	nummod	_	TokenRange=311:313
63	anos	ano	NOUN	NOUN	_	57	nmod	_	TokenRange=314:318
64	com	com	ADP	ADP	_	66	case	_	TokenRange=319:322
65	um	um	DET	DET	_	66	det	_	TokenRange=323:325
66	crescimento	crescimento	NOUN	NOUN	_	57	nmod	_	TokenRange=326:337
67	de	de	ADP	ADP	_	68	case	_	TokenRange=338:340
68	25	_	NUM	NUM	NumType=Card	66	nmod	_	TokenRange=341:343
69	de	de	ADP	ADP	_	71	case	_	TokenRange=344:346
70	seu	_	DET	DET	_	71	det:poss	_	TokenRange=347:350
71	produto	produto	NOUN	NOUN	_	68	nmod	_	TokenRange=351:358
72	interno	interno	ADJ	ADJ	_	71	amod	_	TokenRange=359:366
73	bruto	bruto	ADJ	ADJ	_	71	amod	_	TokenRange=367:372
74	pib	_	NOUN	NOUN	_	71	appos	_	TokenRange=373:376
75	o	o	DET	DET	_	76	det	_	TokenRange=377:378
76	desempenho	desempenho	NOUN	NOUN	_	79	nsubj	_	TokenRange=379:389
77	so	so	ADV	ADV	_	79	advmod	_	TokenRange=390:392
78	nao	nao	ADV	ADV	Polarity=Neg	79	advmod	_	TokenRange=393:396
79	foi	_	VERB	VERB	_	1	conj	_	TokenRange=397:400
80	maior	maior	ADJ	ADJ	_	79	xcomp	_	TokenRange=401:406
81-82	do	_	_	_	_	_	_	_	TokenRange=407:409
81	de	de	ADP	ADP	_	84	case	_	_
82	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	84	det	_	_
83	que	_	ADP	ADP	_	81	fixed	_	TokenRange=410:413
84	o	_	PRON	PRON	_	79	nmod	_	TokenRange=414:415
85	de	de	ADP	ADP	_	86	case	_	TokenRange=416:418
86	2007	_	NUM	NUM	NumType=Card	84	nmod	_	TokenRange=419:423
