# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = demora no sus complica tratamento contra cancer na rede publica ha dificuldade no diagnostico precoce da doenca que reduziria o indice de mortalidade na rede privada o gargalo e bem menor as diferencas no tratamento para o cancer podem nao depender apenas dos aspectos especificos da doenca e das variacoes entre pacientes tempo de espera por consultas com especialistas facilidade para realizacao de exames diagnostico precoce e disponibilidade de tratamentos modernos nao sao iguais nas redes publica e privada o pai da analista de sistemas monica xavier fonseca de 45 anos fazia o acompanhamento em sao paulo ate se mudar para extrema mg apos seis meses de espera
1	demora	demorar	VERB	VERB	_	0	root	_	TokenRange=0:6
2-3	no	_	_	_	_	_	_	_	TokenRange=7:9
2	em	em	ADP	ADP	_	4	case	_	_
3	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	4	det	_	_
4	sus	_	NOUN	NOUN	_	1	nmod	_	TokenRange=10:13
5	complica	complico	ADJ	ADJ	_	6	amod	_	TokenRange=14:22
6	tratamento	tratamento	NOUN	NOUN	_	1	nsubj	_	TokenRange=23:33
7	contra	_	ADP	ADP	_	8	case	_	TokenRange=34:40
8	cancer	cancer	NOUN	NOUN	_	6	nmod	_	TokenRange=41:47
9-10	na	_	_	_	_	_	_	_	TokenRange=48:50
9	em	em	ADP	ADP	_	11	case	_	_
10	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	11	det	_	_
11	rede	rede	NOUN	NOUN	_	6	nmod	_	TokenRange=51:55
12	publica	publico	ADJ	ADJ	_	11	amod	_	TokenRange=56:63
13	ha	_	VERB	VERB	_	1	parataxis	_	TokenRange=64:66
14	dificuldade	dificuldade	NOUN	NOUN	_	13	obj	_	TokenRange=67:78
15-16	no	_	_	_	_	_	_	_	TokenRange=79:81
15	em	em	ADP	ADP	_	17	case	_	_
16	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	17	det	_	_
17	diagnostico	diagnostico	NOUN	NOUN	_	14	nmod	_	TokenRange=82:93
18	precoce	precoce	ADJ	ADJ	_	17	amod	_	TokenRange=94:101
19-20	da	_	_	_	_	_	_	_	TokenRange=102:104
19	de	de	ADP	ADP	_	21	case	_	_
20	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	21	det	_	_
21	doenca	doenca	NOUN	NOUN	_	17	nmod	_	TokenRange=105:111
22	que	_	PRON	PRON	_	23	nsubj	_	TokenRange=112:115
23	reduziria	reduzir	VERB	VERB	_	14	acl:relcl	_	TokenRange=116:125
24	o	o	DET	DET	_	25	det	_	TokenRange=126:127
25	indice	indice	NOUN	NOUN	_	23	obj	_	TokenRange=128:134
