# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = maioria dos senadores discursa a favor do impeachment votacao sera as 11h dos 63 parlamentares que se pronunciaram nas 12 horas de sessao 43 defenderam o afastamento definitivo da presidente afastada enquanto 18 foram contrarios brasilia dos 63 senadores que discursaram na sessao que comecou no inicio da tarde desta tercafeira e encerrou as 2h36 da madrugada desta quartafeira 43 se declararam favoraveis ao impeachment da presidente afastada dilma rousseff embora nao tenha havido nos pronunciamentos um minimo 54 apoios para condenar dilma por crime de responsabilidade proporcionalmente houve manifestacoes entre os senadores para considerala culpada o quorum para retirar dilma do cargo o maior de votacoes do congresso e de dois tercos ou 6666 dos votos nos discursos houve um aval ao afastamento definitivo de dilma de 6825 dos senadores a sessao de pronunciamentos durou 12 horas e encerrou com 43 manifestacoes favoraveis de senadores ao impedimento 18 contrarias e dois nao declararam
1	maioria	maioria	NOUN	NOUN	_	5	nsubj	_	TokenRange=0:7
2-3	dos	_	_	_	_	_	_	_	TokenRange=8:11
2	de	de	ADP	ADP	_	4	case	_	_
3	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	4	det	_	_
4	senadores	senador	NOUN	NOUN	_	1	nmod	_	TokenRange=12:21
5	discursa	discursar	VERB	VERB	_	0	root	_	TokenRange=22:30
6	a	_	ADP	ADP	_	7	case	_	TokenRange=31:32
7	favor	favor	NOUN	NOUN	_	5	nmod	_	TokenRange=33:38
8-9	do	_	_	_	_	_	_	_	TokenRange=39:41
8	de	de	ADP	ADP	_	10	case	_	_
9	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	10	det	_	_
10	impeachment	impeachment	NOUN	NOUN	_	7	nmod	_	TokenRange=42:53
11	votacao	votacao	NOUN	NOUN	_	5	obj	_	TokenRange=54:61
12	sera	_	AUX	AUX	_	14	cop	_	TokenRange=62:66
13	as	o	DET	DET	_	14	det	_	TokenRange=67:69
14	11h	_	NUM	NUM	NumType=Card	5	nsubj	_	TokenRange=70:73
