# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = ao ver as fotos do presidente michel temer e do ministro da fazenda henrique meireles gargalhando a bandeiras despregadas ocorreume que eles estavam rindo de mim e de voces todos que me ouvem os mais de 14 milhoes de desempregados nao tem motivos para rir e os empresarios que nao dependem de bajular o governo qualquer governo para sobreviver sabem que a comemoracao de ontem nao e apenas injustificavel como tambem e irresponsavel um presidente e um ministro nao tem o direito de tratar assunto de tal relevancia como se fosse uma piada de ocasiao ainda na vigencia da maior crise moral politica e economica pela passa esta nossa republica da desgraca para ouvir clique aqui e em seguida no play para ouvir canto chorado com originais do samba clique aqui abaixo a degravacao do comentario na integra eldorado 2 de junho de 2017 sextafeira deu pra perceber que
1-2	ao	_	_	_	_	_	_	_	TokenRange=0:2
1	a	a	ADP	ADP	_	3	case	_	_
2	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	3	det	_	_
3	ver	ver	VERB	VERB	_	24	advcl	_	TokenRange=3:6
4	as	o	DET	DET	_	5	det	_	TokenRange=7:9
5	fotos	foto	NOUN	NOUN	_	3	obj	_	TokenRange=10:15
6-7	do	_	_	_	_	_	_	_	TokenRange=16:18
6	de	de	ADP	ADP	_	8	case	_	_
7	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	8	det	_	_
8	presidente	presidente	NOUN	NOUN	_	5	nmod	_	TokenRange=19:29
9	michel	michel	ADJ	ADJ	_	8	amod	_	TokenRange=30:36
10	temer	temer	NOUN	NOUN	_	8	appos	_	TokenRange=37:42
11	e	e	CCONJ	CONJ	_	14	cc	_	TokenRange=43:44
12-13	do	_	_	_	_	_	_	_	TokenRange=45:47
12	de	de	ADP	ADP	_	14	case	_	_
13	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	14	det	_	_
14	ministro	ministro	NOUN	NOUN	_	8	conj	_	TokenRange=48:56
15-16	da	_	_	_	_	_	_	_	TokenRange=57:59
15	de	de	ADP	ADP	_	17	case	_	_
16	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	17	det	_	_
17	fazenda	fazenda	NOUN	NOUN	_	14	nmod	_	TokenRange=60:67
18	henrique	henrique	VERB	VERB	_	14	appos	_	TokenRange=68:76
19	meireles	meirele	NOUN	NOUN	_	18	flat	_	TokenRange=77:85
20	gargalhando	gargalhar	VERB	VERB	_	14	acl	_	TokenRange=86:97
21	a	o	DET	DET	_	22	det	_	TokenRange=98:99
22	bandeiras	bandeira	NOUN	NOUN	_	20	obj	_	TokenRange=100:109
23	despregadas	despregado	VERB	VERB	_	22	acl	_	TokenRange=110:121
24	ocorreume	ocorreumer	VERB	VERB	_	0	root	_	TokenRange=122:131
25	que	que	CCONJ	CONJ	_	28	mark	_	TokenRange=132:135
26	eles	_	PRON	PRON	_	28	nsubj	_	TokenRange=136:140
27	estavam	estar	AUX	AUX	_	28	aux	_	TokenRange=141:148
28	rindo	rir	VERB	VERB	_	24	ccomp	_	TokenRange=149:154
29	de	de	ADP	ADP	_	30	case	_	TokenRange=155:157
30	mim	_	PRON	PRON	_	28	nmod	_	TokenRange=158:161
31	e	e	CCONJ	CONJ	_	33	cc	_	TokenRange=162:163
32	de	de	ADP	ADP	_	33	case	_	TokenRange=164:166
33	voces	_	PRON	PRON	_	28	conj	_	TokenRange=167:172
34	todos	_	PRON	PRON	_	33	appos	_	TokenRange=173:178
35	que	_	PRON	PRON	_	37	nsubj	_	TokenRange=179:182
36	me	_	PRON	PRON	_	37	obj	_	TokenRange=183:185
37	ouvem	ouvar	VERB	VERB	_	34	acl:relcl	_	TokenRange=186:191
38	os	o	DET	DET	_	44	det	_	TokenRange=192:194
39	mais	mais	ADV	ADV	_	42	advmod	_	TokenRange=195:199
40	de	de	ADP	ADP	_	39	case	_	TokenRange=200:202
41	14	_	NUM	NUM	NumType=Card	42	nummod	_	TokenRange=203:205
42	milhoes	_	NUM	NUM	NumType=Card	44	nummod	_	TokenRange=206:213
43	de	de	ADP	ADP	_	44	case	_	TokenRange=214:216
44	desempregados	desempregado	NOUN	NOUN	_	46	nsubj	_	TokenRange=217:230
45	nao	nao	ADV	ADV	Polarity=Neg	46	advmod	_	TokenRange=231:234
46	tem	ter	VERB	VERB	_	24	ccomp	_	TokenRange=235:238
47	motivos	motivo	NOUN	NOUN	_	46	obj	_	TokenRange=239:246
48	para	_	ADP	ADP	_	49	mark	_	TokenRange=247:251
49	rir	rir	VERB	VERB	_	47	nmod	_	TokenRange=252:255
50	e	e	CCONJ	CONJ	_	64	cc	_	TokenRange=256:257
51	os	o	DET	DET	_	52	det	_	TokenRange=258:260
52	empresarios	empresario	NOUN	NOUN	_	64	nsubj	_	TokenRange=261:272
