# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = ouca o de olho no mundo online aqui ou ao vivo na radio estadao sabado as 19h domingo as 20h 929 fm com participacao de haisem abaki andrei netto jamil chade e lucia guimaraes roxane re esta de ferias ira o acordo historico que encerra tres decadas de isolamento do ira dominou a semana o presidente barack obama comecou uma campanha intensa de defesa do acordo que enfrenta grande resistencia no congresso controlado pelo partido republicano a reta final das negociacoes revelou um presidente mais ousado depois de se fortalecer em casa com vitorias em politica domestica jamil chade destaca o papel protagonista da russia nas negociacoes especialmente na questao do embargo a compra de armas convencionais pelo ira andrei neto conta que a franca teve um comportamento relativamente apatico nas negociacoes o governo frances tem uma desconfianca historica do governo xiita em teera e tende a se alinhar com paises arabes sunitas mas pela primeira vez em mais de quatro anos de guerra na siria o acordo com o ira ao reaproximar as potencias envolvidas nas negociacoes em viena pode abrir uma porta para uma solucao do conflito argumenta andrei netto destacando o apoio de teera ao governo de bashar alassad um ira integrado a comunidade internacional pode se dedicar melhor ao conflito que alimenta regularmente com financiamento e com armas a duvida e a siria esta em processo
1	ouca	oucar	VERB	VERB	_	0	root	_	TokenRange=0:4
2	o	_	PRON	PRON	_	1	obj	_	TokenRange=5:6
3	de	de	ADP	ADP	_	4	case	_	TokenRange=7:9
4	olho	olho	NOUN	NOUN	_	2	nmod	_	TokenRange=10:14
5-6	no	_	_	_	_	_	_	_	TokenRange=15:17
5	em	em	ADP	ADP	_	7	case	_	_
6	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	7	det	_	_
7	mundo	mundo	NOUN	NOUN	_	1	nmod	_	TokenRange=18:23
8	online	online	ADJ	ADJ	_	7	amod	_	TokenRange=24:30
9	aqui	aqui	ADV	ADV	_	1	advmod	_	TokenRange=31:35
10	ou	ou	CCONJ	CONJ	_	13	cc	_	TokenRange=36:38
11-12	ao	_	_	_	_	_	_	_	TokenRange=39:41
11	a	a	ADP	ADP	_	13	case	_	_
12	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	13	det	_	_
13	vivo	vivo	NOUN	ADJ	_	9	conj	_	TokenRange=42:46
14-15	na	_	_	_	_	_	_	_	TokenRange=47:49
14	em	em	ADP	ADP	_	16	case	_	_
15	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	16	det	_	_
16	radio	radio	NOUN	NOUN	_	1	nmod	_	TokenRange=50:55
