# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = assolados por uma grave crise de legitimidade e confianca diversos partidos brasileiros tem procurado alterar seus nomes como uma tentativa de recuperar sua credibilidade assim o pfl tornouse dem o ptn de janio quadros foi rebatizado como podemos o pt do b passou a ser avante e mais recentemente assistimos o pmdb de temer juca geddel e companhia voltar a se chamar mdb nao nos esquecamos de incluir tambem o pp de maluf anteriormente ppb pds e arena agora progressistas vetar essas praticas e necessario para fortalecer a democracia no pais o objetivo de qualquer principio constitucional ou lei que regulamente a competicao politica e evitar a arbitrariedade e favorecer a representatividade dos cidadaos na gestao da coisa publica para tanto as regras que delimitam o jogo politico devem favorecer que os cidadaos tenham acesso a informacoes de qualidade com base na qual tomem a decisao de votar o nome do partido carrega
1	assolados	assolar	VERB	VERB	_	11	acl	_	TokenRange=0:9
2	por	por	ADP	ADP	_	5	case	_	TokenRange=10:13
3	uma	um	DET	DET	_	5	det	_	TokenRange=14:17
4	grave	grave	ADJ	ADJ	_	5	amod	_	TokenRange=18:23
5	crise	crise	NOUN	NOUN	_	1	nmod	_	TokenRange=24:29
6	de	de	ADP	ADP	_	7	case	_	TokenRange=30:32
7	legitimidade	legitimidade	NOUN	NOUN	_	5	nmod	_	TokenRange=33:45
8	e	e	CCONJ	CONJ	_	9	cc	_	TokenRange=46:47
9	confianca	confianca	NOUN	NOUN	_	7	conj	_	TokenRange=48:57
10	diversos	_	DET	DET	_	11	det	_	TokenRange=58:66
11	partidos	partido	NOUN	NOUN	_	14	nsubj	_	TokenRange=67:75
12	brasileiros	brasileiro	ADJ	ADJ	_	11	amod	_	TokenRange=76:87
13	tem	ter	AUX	AUX	_	14	aux	_	TokenRange=88:91
14	procurado	procurar	VERB	VERB	_	0	root	_	TokenRange=92:101
15	alterar	alterar	VERB	VERB	_	14	xcomp	_	TokenRange=102:109
16	seus	_	DET	DET	_	17	det:poss	_	TokenRange=110:114
17	nomes	nome	NOUN	NOUN	_	15	obj	_	TokenRange=115:120
18	como	como	ADP	ADP	_	20	case	_	TokenRange=121:125
19	uma	um	DET	DET	_	20	det	_	TokenRange=126:129
20	tentativa	_	NOUN	NOUN	_	15	nmod	_	TokenRange=130:139
21	de	_	ADP	ADP	_	22	mark	_	TokenRange=140:142
22	recuperar	recuperar	VERB	VERB	_	20	nmod	_	TokenRange=143:152
23	sua	_	DET	DET	_	24	det:poss	_	TokenRange=153:156
24	credibilidade	credibilidade	NOUN	NOUN	_	22	obj	_	TokenRange=157:170
25	assim	assim	ADV	ADV	_	28	advmod	_	TokenRange=171:176
26	o	o	DET	DET	_	27	det	_	TokenRange=177:178
27	pfl	_	NOUN	NOUN	_	28	nsubj	_	TokenRange=179:182
28	tornouse	tornousir	VERB	VERB	_	14	parataxis	_	TokenRange=183:191
29	dem	_	X	ADP	_	28	nmod	_	TokenRange=192:195
30	o	o	DET	DET	_	31	det	_	TokenRange=196:197
31	ptn	_	NOUN	NOUN	_	28	nsubj	_	TokenRange=198:201
32	de	de	ADP	ADP	_	33	case	_	TokenRange=202:204
33	janio	_	NOUN	NOUN	_	31	nmod	_	TokenRange=205:210
34	quadros	quadro	NOUN	NOUN	_	33	flat	_	TokenRange=211:218
35	foi	_	AUX	AUX	_	36	aux:pass	_	TokenRange=219:222
36	rebatizado	rebatizar	VERB	VERB	_	28	conj	_	TokenRange=223:233
37	como	como	ADP	ADP	_	38	case	_	TokenRange=234:238
38	podemos	_	NOUN	NOUN	_	36	nmod	_	TokenRange=239:246
39	o	o	DET	DET	_	40	det	_	TokenRange=247:248
40	pt	_	NOUN	NOUN	_	36	nsubj:pass	_	TokenRange=249:251
41-42	do	_	_	_	_	_	_	_	TokenRange=252:254
41	de	de	ADP	ADP	_	43	case	_	_
42	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	43	det	_	_
43	b	_	NOUN	NOUN	_	40	nmod	_	TokenRange=255:256
44	passou	passar	AUX	AUX	_	46	aux	_	TokenRange=257:263
45	a	_	ADP	ADP	_	46	mark	_	TokenRange=264:265
46	ser	ser	VERB	VERB	_	14	advcl	_	TokenRange=266:269
47	avante	avante	ADJ	ADJ	_	46	xcomp	_	TokenRange=270:276
48	e	e	CCONJ	CONJ	_	113	cc	_	TokenRange=277:278
49	mais	mais	ADV	ADV	_	50	advmod	_	TokenRange=279:283
