# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = na quartafeira da semana que vem 24 de janeiro todo mundo ja esta careca de saber a 8 turma do tribunal regional federal da 4 regiao trf4 de porto alegre julgara os recursos apresentados pela defesa de luiz inacio lula da silva contra sua condenacao em primeira instancia pelo juiz sergio moro da 13 vara criminal de curitiba a nove anos e meio de prisao e claro que nao se trata de um julgamento comum pois o condenado nao e um ze mane qualquer mas um expresidente da republica com grandes possibilidades de vir a ser candidato a este posto mais poderoso pela terceira vez caso seja absolvido acontece que caso a votacao dos tres desembargadores encarregados confirme a sentenca do juiz muitos interessados alem do proprio lula de seu partido dos trabalhadores pt que nao tem outro pretendente com condicoes iguais ou ate similares as dele e seus eventuais aliados podem ser prejudicados por essa sentenca nao se trata de benemerencia simpatia ou espirito democratico de garantir a disputa igualitaria com um concorrente popular sentimentos tao nobres
1-2	na	_	_	_	_	_	_	_	TokenRange=0:2
1	em	em	ADP	ADP	_	3	case	_	_
2	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	3	det	_	_
3	quartafeira	_	NOUN	NOUN	_	16	nmod	_	TokenRange=3:14
4-5	da	_	_	_	_	_	_	_	TokenRange=15:17
4	de	de	ADP	ADP	_	6	case	_	_
5	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	6	det	_	_
6	semana	semana	NOUN	NOUN	_	3	nmod	_	TokenRange=18:24
7	que	_	PRON	PRON	_	8	nsubj	_	TokenRange=25:28
8	vem	vir	VERB	VERB	_	3	acl:relcl	_	TokenRange=29:32
9	24	_	NUM	NUM	NumType=Card	8	nmod	_	TokenRange=33:35
10	de	de	ADP	ADP	_	11	case	_	TokenRange=36:38
11	janeiro	_	PROPN	PNOUN	_	9	nmod	_	TokenRange=39:46
12	todo	_	DET	DET	_	13	det	_	TokenRange=47:51
13	mundo	mundo	NOUN	NOUN	_	16	nsubj	_	TokenRange=52:57
14	ja	ja	ADV	ADV	_	16	advmod	_	TokenRange=58:60
15	esta	_	PRON	PRON	_	16	nsubj	_	TokenRange=61:65
16	careca	carecar	VERB	VERB	_	0	root	_	TokenRange=66:72
17	de	_	ADP	ADP	_	18	mark	_	TokenRange=73:75
18	saber	saber	VERB	VERB	_	16	nmod	_	TokenRange=76:81
19	a	o	DET	DET	_	21	det	_	TokenRange=82:83
20	8	_	NUM	NUM	NumType=Card	21	nummod	_	TokenRange=84:85
21	turma	turma	NOUN	NOUN	_	35	nsubj	_	TokenRange=86:91
22-23	do	_	_	_	_	_	_	_	TokenRange=92:94
22	de	de	ADP	ADP	_	24	case	_	_
23	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	24	det	_	_
24	tribunal	tribunal	NOUN	NOUN	_	21	nmod	_	TokenRange=95:103
25	regional	regional	ADJ	ADJ	_	24	amod	_	TokenRange=104:112
26	federal	federal	ADJ	ADJ	_	24	amod	_	TokenRange=113:120
27-28	da	_	_	_	_	_	_	_	TokenRange=121:123
27	de	de	ADP	ADP	_	30	case	_	_
28	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	30	det	_	_
