# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = existe uma especie de corrida entre a justica e o congresso para ver quem engana o distinto publico primeiro o senado ja aprovou uma versao da reducao do foro privilegiado que passou pela ccj da camara nela ha penduricalhos suspeitos como o que tira o foro de muita gente sao mais de 54 mil privilegiados mas o estende a expresidentes como e lula e em 2019 sera temer outra excrescencia e a que libera presidente da republica para matar e roubar isso e uma peculiaridade brasileira que tira todo o sentido da providencia afinal as grandes democracias do mundo nao conhecem essa jabuticaba e ela precisa ser extinta de uma vez e de um golpe so o resto e a disputa de deputados e ministros supremos para ver quem serve mais e melhor os senhores do poder comentario do jornal eldorado da radio eldorado fm 1073 na sexta 24 de novembro de 2017 as 7h30m para ouvir clique aqui e em seguida no play para ouvir daqui nao saio com vocalistas tropicais clique aqui abaixo a integra da degravacao do comentario eldorado 24 de novembro de 2017 sextafeira a maioria dos ministros do supremo tribunal federal stf decidiu ontem limitar o alcance do foro privilegiado de deputados federais e senadores ate que enfim o judiciario atendeu ao clamor popular pela garantia da igualdade de todos perante a lei o julgamento foi suspenso por um pedido de vista de dias toffoli mas pelo entendimento de 7 dos 11 ministros somente deverao tramitar na corte processos de crimes cometidos no exercicio do mandato e relacionados ao cargo em reacao a camara vai acelerar a tramitacao de uma proposta de emenda a constituicao pec para restringir tambem o foro de integrantes do judiciario e do ministerio publico o unico ate agora a votar a favor do foro privilegiado foi o ministro alexandre de moraes depois de ter pedido vista para ganhar tempo sonora 2411 moraes
1	existe	existir	VERB	VERB	_	0	root	_	TokenRange=0:6
2	uma	um	DET	DET	_	3	det	_	TokenRange=7:10
3	especie	especie	NOUN	NOUN	_	1	nsubj	_	TokenRange=11:18
4	de	de	ADP	ADP	_	5	case	_	TokenRange=19:21
5	corrida	corrida	NOUN	NOUN	_	3	nmod	_	TokenRange=22:29
6	entre	_	ADP	ADP	_	8	case	_	TokenRange=30:35
7	a	o	DET	DET	_	8	det	_	TokenRange=36:37
8	justica	_	NOUN	NOUN	_	5	nmod	_	TokenRange=38:45
9	e	e	CCONJ	CONJ	_	11	cc	_	TokenRange=46:47
10	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	11	det	_	TokenRange=48:49
11	congresso	congresso	NOUN	NOUN	_	8	conj	_	TokenRange=50:59
12	para	_	ADP	ADP	_	13	mark	_	TokenRange=60:64
13	ver	ver	VERB	VERB	_	5	nmod	_	TokenRange=65:68
14	quem	_	PRON	PRON	_	15	nsubj	_	TokenRange=69:73
15	engana	enganar	VERB	VERB	_	13	ccomp	_	TokenRange=74:80
16	o	o	DET	DET	_	17	det	_	TokenRange=81:82
17	distinto	distinto	NOUN	NOUN	_	15	obj	_	TokenRange=83:91
18	publico	_	NOUN	NOUN	_	15	obj	_	TokenRange=92:99
19	primeiro	primeiro	ADV	ADV	_	23	advmod	_	TokenRange=100:108
20	o	o	DET	DET	_	21	det	_	TokenRange=109:110
21	senado	senado	NOUN	NOUN	_	23	nsubj	_	TokenRange=111:117
22	ja	ja	ADV	ADV	_	23	advmod	_	TokenRange=118:120
23	aprovou	aprovar	VERB	VERB	_	1	parataxis	_	TokenRange=121:128
24	uma	um	DET	DET	_	25	det	_	TokenRange=129:132
25	versao	versao	NOUN	NOUN	_	23	obj	_	TokenRange=133:139
26-27	da	_	_	_	_	_	_	_	TokenRange=140:142
26	de	de	ADP	ADP	_	28	case	_	_
27	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	28	det	_	_
28	reducao	reducao	NOUN	NOUN	_	25	nmod	_	TokenRange=143:150
29-30	do	_	_	_	_	_	_	_	TokenRange=151:153
29	de	de	ADP	ADP	_	31	case	_	_
30	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	31	det	_	_
31	foro	foro	NOUN	NOUN	_	28	nmod	_	TokenRange=154:158
32	privilegiado	privilegiado	ADJ	ADJ	_	31	amod	_	TokenRange=159:171
33	que	_	PRON	PRON	_	34	nsubj	_	TokenRange=172:175
34	passou	passar	VERB	VERB	_	31	acl:relcl	_	TokenRange=176:182
35-36	pela	_	_	_	_	_	_	_	TokenRange=183:187
35	por	por	ADP	ADP	_	37	case	_	_
36	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	37	det	_	_
37	ccj	_	NOUN	NOUN	_	34	nmod	_	TokenRange=188:191
38-39	da	_	_	_	_	_	_	_	TokenRange=192:194
38	de	de	ADP	ADP	_	40	case	_	_
39	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	40	det	_	_
40	camara	camara	NOUN	NOUN	_	37	nmod	_	TokenRange=195:201
41	nela	_	X	ADPPRON	_	42	nmod	_	TokenRange=202:206
42	ha	_	VERB	VERB	_	23	parataxis	_	TokenRange=207:209
43	penduricalhos	penduricalho	NOUN	NOUN	_	42	obj	_	TokenRange=210:223
44	suspeitos	suspeito	ADJ	ADJ	_	43	amod	_	TokenRange=224:233
45	como	_	ADP	ADP	_	46	case	_	TokenRange=234:238
46	o	_	PRON	PRON	_	42	nmod	_	TokenRange=239:240
47	que	_	PRON	PRON	_	48	nsubj	_	TokenRange=241:244
48	tira	tirar	VERB	VERB	_	46	acl:relcl	_	TokenRange=245:249
49	o	o	DET	DET	_	50	det	_	TokenRange=250:251
50	foro	foro	NOUN	NOUN	_	48	obj	_	TokenRange=252:256
51	de	de	ADP	ADP	_	53	case	_	TokenRange=257:259
52	muita	_	DET	DET	_	53	det	_	TokenRange=260:265
53	gente	gente	NOUN	NOUN	_	50	nmod	_	TokenRange=266:271
54	sao	_	VERB	VERB	_	42	parataxis	_	TokenRange=272:275
55	mais	mais	ADV	ADV	_	58	advmod	_	TokenRange=276:280
56	de	de	ADP	ADP	_	55	case	_	TokenRange=281:283
57	54	_	NUM	NUM	NumType=Card	58	nummod	_	TokenRange=284:286
58	mil	_	NUM	NUM	NumType=Card	59	nummod	_	TokenRange=287:290
59	privilegiados	privilegiado	NOUN	NOUN	_	54	obj	_	TokenRange=291:304
60	mas	mas	CCONJ	CONJ	_	62	cc	_	TokenRange=305:308
61	o	_	PRON	PRON	_	62	obj	_	TokenRange=309:310
62	estende	estender	VERB	VERB	_	214	conj	_	TokenRange=311:318
63	a	_	ADP	ADP	_	64	case	_	TokenRange=319:320
64	expresidentes	expresidente	NOUN	NOUN	_	62	nmod	_	TokenRange=321:334
65	como	como	ADP	ADP	_	64	case	_	TokenRange=335:339
66	e	e	CCONJ	CONJ	_	67	cc	_	TokenRange=340:341
67	lula	_	NOUN	NOUN	_	65	conj	_	TokenRange=342:346
68	e	e	CCONJ	CONJ	_	72	cc	_	TokenRange=347:348
69	em	em	ADP	ADP	_	70	case	_	TokenRange=349:351
70	2019	_	NUM	NUM	NumType=Card	252	nmod	_	TokenRange=352:356
71	sera	_	AUX	AUX	_	72	aux	_	TokenRange=357:361
72	temer	temer	VERB	VERB	_	252	conj	_	TokenRange=362:367
73	outra	_	DET	DET	_	74	det	_	TokenRange=368:373
74	excrescencia	excrescencia	NOUN	NOUN	_	72	nsubj	_	TokenRange=374:386
75	e	e	CCONJ	CONJ	_	128	cc	_	TokenRange=387:388
76	a	_	PRON	PRON	_	74	conj	_	TokenRange=389:390
77	que	_	PRON	PRON	_	78	nsubj	_	TokenRange=391:394
78	libera	liberar	VERB	VERB	_	76	acl:relcl	_	TokenRange=395:401
79	presidente	presidente	NOUN	NOUN	_	78	obj	_	TokenRange=402:412
80-81	da	_	_	_	_	_	_	_	TokenRange=413:415
80	de	de	ADP	ADP	_	82	case	_	_
81	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	82	det	_	_
82	republica	_	NOUN	NOUN	_	79	nmod	_	TokenRange=416:425
83	para	_	ADP	ADP	_	84	mark	_	TokenRange=426:430
84	matar	matar	VERB	VERB	_	78	advcl	_	TokenRange=431:436
85	e	e	CCONJ	CONJ	_	86	cc	_	TokenRange=437:438
86	roubar	roubar	VERB	VERB	_	84	conj	_	TokenRange=439:445
87	isso	_	PRON	PRON	_	86	obj	_	TokenRange=446:450
88	e	e	CCONJ	CONJ	_	90	cc	_	TokenRange=451:452
89	uma	um	DET	DET	_	90	det	_	TokenRange=453:456
90	peculiaridade	peculiaridade	NOUN	NOUN	_	74	conj	_	TokenRange=457:470
91	brasileira	brasileiro	ADJ	ADJ	_	90	amod	_	TokenRange=471:481
92	que	_	PRON	PRON	_	93	nsubj	_	TokenRange=482:485
93	tira	tirar	VERB	VERB	_	90	acl:relcl	_	TokenRange=486:490
94	todo	_	DET	DET	_	96	det	_	TokenRange=491:495
95	o	o	DET	DET	_	96	det	_	TokenRange=496:497
96	sentido	sentido	NOUN	NOUN	_	93	obj	_	TokenRange=498:505
97-98	da	_	_	_	_	_	_	_	TokenRange=506:508
97	de	de	ADP	ADP	_	99	case	_	_
98	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	99	det	_	_
99	providencia	providencia	NOUN	NOUN	_	96	nmod	_	TokenRange=509:520
100	afinal	afinal	ADV	ADV	_	297	advmod	_	TokenRange=521:527
101	as	o	DET	DET	_	103	det	_	TokenRange=528:530
102	grandes	grande	ADJ	ADJ	_	103	amod	_	TokenRange=531:538
103	democracias	democracia	NOUN	NOUN	_	252	nsubj:pass	_	TokenRange=539:550
104-105	do	_	_	_	_	_	_	_	TokenRange=551:553
104	de	de	ADP	ADP	_	106	case	_	_
105	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	106	det	_	_
106	mundo	mundo	NOUN	NOUN	_	103	nmod	_	TokenRange=554:559
107	nao	nao	ADV	ADV	Polarity=Neg	108	advmod	_	TokenRange=560:563
108	conhecem	conhecer	VERB	VERB	_	255	acl:relcl	_	TokenRange=564:572
109	essa	_	DET	DET	_	110	det	_	TokenRange=573:577
110	jabuticaba	jabuticaba	NOUN	NOUN	_	108	obj	_	TokenRange=578:588
111	e	e	CCONJ	CONJ	_	185	cc	_	TokenRange=589:590
112	ela	_	PRON	PRON	_	113	nsubj	_	TokenRange=591:594
113	precisa	precisar	VERB	VERB	_	252	conj	_	TokenRange=595:602
114	ser	ser	AUX	AUX	_	115	aux:pass	_	TokenRange=603:606
115	extinta	extinguir	VERB	VERB	_	113	xcomp	_	TokenRange=607:614
116	de	de	ADP	ADP	_	118	case	_	TokenRange=615:617
117	uma	_	DET	DET	_	118	det	_	TokenRange=618:621
118	vez	vez	NOUN	NOUN	_	115	nmod	_	TokenRange=622:625
119	e	e	CCONJ	CONJ	_	122	cc	_	TokenRange=626:627
120	de	de	ADP	ADP	_	122	case	_	TokenRange=628:630
121	um	um	DET	DET	_	122	det	_	TokenRange=631:633
122	golpe	golpe	NOUN	NOUN	_	118	conj	_	TokenRange=634:639
123	so	_	ADV	CONJ	_	185	advmod	_	TokenRange=640:642
124	o	o	DET	DET	_	125	det	_	TokenRange=643:644
125	resto	resto	NOUN	NOUN	_	185	nsubj	_	TokenRange=645:650
126	e	e	CCONJ	CONJ	_	128	cc	_	TokenRange=651:652
127	a	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	128	det	_	TokenRange=653:654
128	disputa	disputa	NOUN	NOUN	_	125	conj	_	TokenRange=655:662
129	de	de	ADP	ADP	_	130	case	_	TokenRange=663:665
130	deputados	deputado	NOUN	NOUN	_	128	nmod	_	TokenRange=666:675
131	e	e	CCONJ	CONJ	_	132	cc	_	TokenRange=676:677
132	ministros	ministro	NOUN	NOUN	_	130	conj	_	TokenRange=678:687
133	supremos	supremo	ADJ	ADJ	_	132	amod	_	TokenRange=688:696
134	para	_	ADP	ADP	_	135	mark	_	TokenRange=697:701
135	ver	ver	VERB	VERB	_	128	nmod	_	TokenRange=702:705
136	quem	_	PRON	PRON	_	137	nsubj	_	TokenRange=706:710
137	serve	servir	VERB	VERB	_	135	ccomp	_	TokenRange=711:716
138	mais	mais	ADV	ADV	_	137	advmod	_	TokenRange=717:721
139	e	e	CCONJ	CONJ	_	140	cc	_	TokenRange=722:723
140	melhor	melhor	ADJ	ADJ	_	138	conj	_	TokenRange=724:730
141	os	o	DET	DET	_	142	det	_	TokenRange=731:733
142	senhores	senhor	NOUN	NOUN	_	252	nsubj:pass	_	TokenRange=734:742
143-144	do	_	_	_	_	_	_	_	TokenRange=743:745
143	de	de	ADP	ADP	_	145	case	_	_
144	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	145	det	_	_
145	poder	poder	NOUN	NOUN	_	142	nmod	_	TokenRange=746:751
