# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = debate sobre denuncia contra temer deve dominar pauta da semana na camara desde a denuncia trabalhos tiveram ritmo reduzido no senado roberto rocha relator da indicacao de raquel dodge ao cargo de procuradorageral da republica podera apresentar parecer o foco na camara dos deputados nesta semana sera para discutir a tramitacao e definir a relatoria da denuncia contra o presidente da republica michel temer por corrupcao tambem ha a possibilidade de que os advogados do presidente enviem a comissao de constituicao e justica ccj a manifestacao da defesa a procuradoria geral da republica pgr apresentou acusacao formal contra temer na semana passada com base na delacao da jbs o presidente se diz inocente e afirma que a denuncia e baseada em ilacoes no senado o senador roberto rocha psbma relator da indicacao de raquel dodge ao cargo de procuradorageral da republica para substituir rodrigo janot em setembro podera apresentar o seu parecer para ter o nome confirmado ela precisara do aval dos senadores no plenario os senadores devem analisar um requerimento para acelerar a
1	debate	debate	NOUN	NOUN	_	7	nsubj	_	TokenRange=0:6
2	sobre	_	ADP	ADP	_	3	case	_	TokenRange=7:12
3	denuncia	denuncia	NOUN	NOUN	_	1	nmod	_	TokenRange=13:21
4	contra	_	ADP	ADP	_	5	case	_	TokenRange=22:28
5	temer	temer	NOUN	NOUN	_	3	nmod	_	TokenRange=29:34
6	deve	dever	AUX	AUX	_	7	aux	_	TokenRange=35:39
7	dominar	dominar	VERB	VERB	_	0	root	_	TokenRange=40:47
8	pauta	pauta	NOUN	NOUN	_	7	obj	_	TokenRange=48:53
9-10	da	_	_	_	_	_	_	_	TokenRange=54:56
9	de	de	ADP	ADP	_	11	case	_	_
10	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	11	det	_	_
11	semana	semana	NOUN	NOUN	_	8	nmod	_	TokenRange=57:63
12-13	na	_	_	_	_	_	_	_	TokenRange=64:66
12	em	em	ADP	ADP	_	14	case	_	_
13	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	14	det	_	_
14	camara	camara	NOUN	NOUN	_	7	nmod	_	TokenRange=67:73
