# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = quis testar se deus e deus diz pastor sobre homem que o atacou com faca em culto transmitido ao vivo caso aconteceu em uma igreja evangelica em tatui sp video mostra o momento em que o homem sobe no pulpito com uma faca na cintura o pastor getero augusto de campos que quase foi esfaqueado por um homem durante um culto transmitido ao vivo pelo facebook contou ao
1	quis	querer	VERB	VERB	_	0	root	_	TokenRange=0:4
2	testar	testar	VERB	VERB	_	1	xcomp	_	TokenRange=5:11
3	se	_	CCONJ	CONJ	_	7	mark	_	TokenRange=12:14
4	deus	deu	NOUN	NOUN	_	7	nsubj	_	TokenRange=15:19
5	e	e	CCONJ	CONJ	_	6	cc	_	TokenRange=20:21
6	deus	deu	NOUN	NOUN	_	4	conj	_	TokenRange=22:26
7	diz	dizer	VERB	VERB	_	2	ccomp	_	TokenRange=27:30
8	pastor	pastor	NOUN	NOUN	_	7	obj	_	TokenRange=31:37
9	sobre	_	ADP	ADP	_	10	case	_	TokenRange=38:43
10	homem	homem	NOUN	NOUN	_	7	nmod	_	TokenRange=44:49
11	que	_	PRON	PRON	_	13	nsubj	_	TokenRange=50:53
12	o	_	PRON	PRON	_	13	obj	_	TokenRange=54:55
13	atacou	atacar	VERB	VERB	_	10	acl:relcl	_	TokenRange=56:62
14	com	com	ADP	ADP	_	15	case	_	TokenRange=63:66
15	faca	faca	NOUN	NOUN	_	13	nmod	_	TokenRange=67:71
16	em	em	ADP	ADP	_	17	case	_	TokenRange=72:74
17	culto	culto	NOUN	NOUN	_	15	nmod	_	TokenRange=75:80
18	transmitido	transmitir	VERB	VERB	_	17	acl	_	TokenRange=81:92
19-20	ao	_	_	_	_	_	_	_	TokenRange=93:95
19	a	a	ADP	ADP	_	21	case	_	_
20	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	21	det	_	_
21	vivo	vivo	ADJ	ADJ	_	18	nmod	_	TokenRange=96:100
22	caso	caso	CCONJ	CONJ	_	23	mark	_	TokenRange=101:105
23	aconteceu	acontecer	VERB	VERB	_	13	advcl	_	TokenRange=106:115
24	em	em	ADP	ADP	_	26	case	_	TokenRange=116:118
25	uma	um	DET	DET	_	26	det	_	TokenRange=119:122
26	igreja	igreja	NOUN	NOUN	_	23	nmod	_	TokenRange=123:129
27	evangelica	evangelico	ADJ	ADJ	_	26	amod	_	TokenRange=130:140
28	em	em	ADP	ADP	_	29	case	_	TokenRange=141:143
29	tatui	tatui	NOUN	NOUN	_	23	nmod	_	TokenRange=144:149
30	sp	_	ADJ	ADJ	_	29	amod	_	TokenRange=150:152
31	video	video	NOUN	NOUN	_	32	nsubj	_	TokenRange=153:158
32	mostra	mostrar	VERB	VERB	_	1	parataxis	_	TokenRange=159:165
33	o	o	DET	DET	_	34	det	_	TokenRange=166:167
34	momento	momento	NOUN	NOUN	_	32	obj	_	TokenRange=168:175
35	em	em	ADP	ADP	_	36	case	_	TokenRange=176:178
36	que	_	PRON	PRON	_	39	nmod	_	TokenRange=179:182
37	o	o	DET	DET	_	38	det	_	TokenRange=183:184
38	homem	homem	NOUN	NOUN	_	39	nsubj	_	TokenRange=185:190
39	sobe	subir	VERB	VERB	_	34	acl:relcl	_	TokenRange=191:195
40-41	no	_	_	_	_	_	_	_	TokenRange=196:198
40	em	em	ADP	ADP	_	42	case	_	_
41	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	42	det	_	_
42	pulpito	pulpito	NOUN	NOUN	_	39	nmod	_	TokenRange=199:206
43	com	com	ADP	ADP	_	45	case	_	TokenRange=207:210
44	uma	um	DET	DET	_	45	det	_	TokenRange=211:214
45	faca	faca	NOUN	NOUN	_	39	nmod	_	TokenRange=215:219
46-47	na	_	_	_	_	_	_	_	TokenRange=220:222
46	em	em	ADP	ADP	_	48	case	_	_
47	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	48	det	_	_
48	cintura	cintura	NOUN	NOUN	_	45	nmod	_	TokenRange=223:230
49	o	o	DET	DET	_	50	det	_	TokenRange=231:232
50	pastor	pastor	NOUN	NOUN	_	72	nsubj	_	TokenRange=233:239
51	getero	getero	NOUN	NOUN	_	50	appos	_	TokenRange=240:246
52	augusto	augusto	NOUN	NOUN	_	51	flat	_	TokenRange=247:254
