# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = entenda a pec do fim do foro privilegiado em 7 perguntas e respostas senado pode concluir analise da proposta nesta quarta 10 com votacao em segundo turno existe porem a possibilidade de que a votacao ocorra somente na proxima semana o senado pode votar nesta quartafeira 10 o segundo turno da proposta de emenda a constituicao pec que extingue o foro especial por prerrogativa de funcao o chamado foro privilegiado nos casos de crimes comuns como roubo lavagem de
1	entenda	entender	VERB	VERB	_	0	root	_	TokenRange=0:7
2	a	o	DET	DET	_	3	det	_	TokenRange=8:9
3	pec	pec	NOUN	NOUN	_	1	nsubj	_	TokenRange=10:13
4-5	do	_	_	_	_	_	_	_	TokenRange=14:16
4	de	de	ADP	ADP	_	6	case	_	_
5	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	6	det	_	_
6	fim	fim	NOUN	NOUN	_	3	nmod	_	TokenRange=17:20
7-8	do	_	_	_	_	_	_	_	TokenRange=21:23
7	de	de	ADP	ADP	_	9	case	_	_
8	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	9	det	_	_
9	foro	foro	NOUN	NOUN	_	6	nmod	_	TokenRange=24:28
10	privilegiado	privilegiado	ADJ	ADJ	_	9	amod	_	TokenRange=29:41
11	em	em	ADP	ADP	_	13	case	_	TokenRange=42:44
12	7	_	NUM	NUM	NumType=Card	13	nummod	_	TokenRange=45:46
13	perguntas	pergunta	NOUN	NOUN	_	18	nmod	_	TokenRange=47:56
14	e	e	CCONJ	CONJ	_	15	cc	_	TokenRange=57:58
15	respostas	resposta	NOUN	NOUN	_	13	conj	_	TokenRange=59:68
16	senado	senado	NOUN	NOUN	_	18	nsubj	_	TokenRange=69:75
17	pode	_	AUX	AUX	_	18	aux	_	TokenRange=76:80
18	concluir	concluir	VERB	VERB	_	1	conj	_	TokenRange=81:89
19	analise	analise	NOUN	NOUN	_	18	obj	_	TokenRange=90:97
20-21	da	_	_	_	_	_	_	_	TokenRange=98:100
20	de	de	ADP	ADP	_	22	case	_	_
21	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	22	det	_	_
22	proposta	_	NOUN	NOUN	_	19	nmod	_	TokenRange=101:109
23	nesta	_	ADP	ADP	_	24	case	_	TokenRange=110:115
24	quarta	_	PROPN	PNOUN	_	18	nmod	_	TokenRange=116:122
25	10	_	NUM	NUM	NumType=Card	24	nmod	_	TokenRange=123:125
26	com	com	ADP	ADP	_	27	case	_	TokenRange=126:129
27	votacao	votacao	NOUN	NOUN	_	18	nmod	_	TokenRange=130:137
28	em	em	ADP	ADP	_	30	case	_	TokenRange=138:140
29	segundo	segundo	ADJ	ADJ	_	30	amod	_	TokenRange=141:148
30	turno	turno	NOUN	NOUN	_	27	nmod	_	TokenRange=149:154
31	existe	existir	VERB	VERB	_	1	parataxis	_	TokenRange=155:161
32	porem	_	ADV	ADV	_	31	advmod	_	TokenRange=162:167
33	a	o	DET	DET	_	34	det	_	TokenRange=168:169
34	possibilidade	possibilidade	NOUN	NOUN	_	31	nsubj	_	TokenRange=170:183
35	de	_	ADP	ADP	_	39	mark	_	TokenRange=184:186
36	que	que	CCONJ	CONJ	_	39	mark	_	TokenRange=187:190
37	a	o	DET	DET	_	38	det	_	TokenRange=191:192
38	votacao	votacao	NOUN	NOUN	_	39	nsubj	_	TokenRange=193:200
39	ocorra	ocorrer	VERB	VERB	_	34	nmod	_	TokenRange=201:207
40	somente	somente	ADV	ADV	_	39	advmod	_	TokenRange=208:215
41-42	na	_	_	_	_	_	_	_	TokenRange=216:218
41	em	em	ADP	ADP	_	44	case	_	_
42	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	44	det	_	_
43	proxima	proximo	ADJ	ADJ	_	44	amod	_	TokenRange=219:226
44	semana	semana	NOUN	NOUN	_	39	nmod	_	TokenRange=227:233
45	o	o	DET	DET	_	46	det	_	TokenRange=234:235
46	senado	senado	NOUN	NOUN	_	48	nsubj	_	TokenRange=236:242
47	pode	_	AUX	AUX	_	48	aux	_	TokenRange=243:247
48	votar	votar	VERB	VERB	_	31	parataxis	_	TokenRange=248:253
49	nesta	_	ADP	ADP	_	50	case	_	TokenRange=254:259
50	quartafeira	_	NOUN	NOUN	_	48	nmod	_	TokenRange=260:271
51	10	_	NUM	NUM	NumType=Card	50	appos	_	TokenRange=272:274
52	o	o	DET	DET	_	54	det	_	TokenRange=275:276
53	segundo	segundo	ADJ	ADJ	_	54	amod	_	TokenRange=277:284
54	turno	turno	NOUN	NOUN	_	48	obj	_	TokenRange=285:290
55-56	da	_	_	_	_	_	_	_	TokenRange=291:293
55	de	de	ADP	ADP	_	57	case	_	_
56	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	57	det	_	_
57	proposta	_	NOUN	NOUN	_	54	nmod	_	TokenRange=294:302
58	de	de	ADP	ADP	_	59	case	_	TokenRange=303:305
59	emenda	emenda	NOUN	NOUN	_	57	nmod	_	TokenRange=306:312
60	a	o	DET	DET	_	61	det	_	TokenRange=313:314
61	constituicao	constituicao	NOUN	NOUN	_	57	appos	_	TokenRange=315:327
62	pec	_	NOUN	NOUN	_	61	appos	_	TokenRange=328:331
63	que	_	PRON	PRON	_	64	nsubj	_	TokenRange=332:335
64	extingue	extinguir	VERB	VERB	_	61	acl:relcl	_	TokenRange=336:344
65	o	o	DET	DET	_	66	det	_	TokenRange=345:346
66	foro	foro	NOUN	NOUN	_	64	obj	_	TokenRange=347:351
67	especial	especial	ADJ	ADJ	_	66	amod	_	TokenRange=352:360
68	por	por	ADP	ADP	_	69	case	_	TokenRange=361:364
69	prerrogativa	prerrogativa	NOUN	NOUN	_	64	nmod	_	TokenRange=365:377
70	de	de	ADP	ADP	_	71	case	_	TokenRange=378:380
71	funcao	funcao	NOUN	NOUN	_	69	nmod	_	TokenRange=381:387
72	o	o	DET	DET	_	74	det	_	TokenRange=388:389
73	chamado	chamado	ADJ	ADJ	_	74	amod	_	TokenRange=390:397
74	foro	foro	NOUN	NOUN	_	64	obj	_	TokenRange=398:402
75	privilegiado	privilegiado	ADJ	ADJ	_	74	amod	_	TokenRange=403:415
76-77	nos	_	_	_	_	_	_	_	TokenRange=416:419
76	em	em	ADP	ADP	_	78	case	_	_
77	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	78	det	_	_
78	casos	caso	NOUN	NOUN	_	64	nmod	_	TokenRange=420:425
79	de	de	ADP	ADP	_	80	case	_	TokenRange=426:428
80	crimes	crime	NOUN	NOUN	_	78	nmod	_	TokenRange=429:435
81	comuns	comum	ADJ	ADJ	_	80	amod	_	TokenRange=436:442
82	como	como	ADP	ADP	_	83	case	_	TokenRange=443:447
83	roubo	roubo	NOUN	NOUN	_	78	nmod	_	TokenRange=448:453
84	lavagem	lavagem	NOUN	NOUN	_	83	appos	_	TokenRange=454:461
85	de	de	ADP	ADP	_	83	case	_	SpacesAfter=\s\s|TokenRange=462:464

