# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = na cerimonia do oscar 2018 no ultimo domingo as mulheres roubaram a cena e dessa vez para muito alem do tapete vermelho o debate sobre igualdade de genero um assunto ate entao tabu em hollywood deu o tom da noite e inspirou discursos e reacoes emocionadas lembrome
1-2	na	_	_	_	_	_	_	_	TokenRange=0:2
1	em	em	ADP	ADP	_	3	case	_	_
2	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	3	det	_	_
3	cerimonia	cerimonia	NOUN	NOUN	_	14	nmod	_	TokenRange=3:12
4-5	do	_	_	_	_	_	_	_	TokenRange=13:15
4	de	de	ADP	ADP	_	6	case	_	_
5	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	6	det	_	_
6	oscar	oscar	NOUN	NOUN	_	3	nmod	_	TokenRange=16:21
7	2018	_	NUM	NUM	NumType=Card	6	nmod	_	TokenRange=22:26
8-9	no	_	_	_	_	_	_	_	TokenRange=27:29
8	em	em	ADP	ADP	_	11	case	_	_
9	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	11	det	_	_
10	ultimo	_	ADJ	ADJ	_	11	amod	_	TokenRange=30:36
11	domingo	_	PROPN	PNOUN	_	3	nmod	_	TokenRange=37:44
12	as	o	DET	DET	_	13	det	_	TokenRange=45:47
13	mulheres	mulher	NOUN	NOUN	_	14	nsubj	_	TokenRange=48:56
14	roubaram	roubar	VERB	VERB	_	0	root	_	TokenRange=57:65
15	a	o	DET	DET	_	16	det	_	TokenRange=66:67
16	cena	cena	NOUN	NOUN	_	14	obj	_	TokenRange=68:72
17	e	e	CCONJ	CONJ	_	40	cc	_	TokenRange=73:74
18	dessa	_	ADP	ADP	_	19	case	_	TokenRange=75:80
19	vez	vez	NOUN	NOUN	_	22	nmod	_	TokenRange=81:84
20	para	_	ADP	ADP	_	22	mark	_	TokenRange=85:89
21	muito	muito	ADV	ADV	_	22	nmod	_	TokenRange=90:95
22	alem	alem	ADV	ADV	_	14	conj	_	TokenRange=96:100
23-24	do	_	_	_	_	_	_	_	TokenRange=101:103
23	de	de	ADP	ADP	_	25	case	_	_
24	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	25	det	_	_
25	tapete	tapete	NOUN	NOUN	_	22	nmod	_	TokenRange=104:110
26	vermelho	vermelho	ADJ	ADJ	_	25	amod	_	TokenRange=111:119
27	o	o	DET	DET	_	28	det	_	TokenRange=120:121
28	debate	debate	NOUN	NOUN	_	40	nsubj	_	TokenRange=122:128
29	sobre	_	ADP	ADP	_	30	case	_	TokenRange=129:134
30	igualdade	igualdade	NOUN	NOUN	_	28	nmod	_	TokenRange=135:144
31	de	de	ADP	ADP	_	32	case	_	TokenRange=145:147
32	genero	genero	NOUN	NOUN	_	30	nmod	_	TokenRange=148:154
33	um	um	DET	DET	_	34	det	_	TokenRange=155:157
34	assunto	assunto	NOUN	NOUN	_	28	appos	_	TokenRange=158:165
35	ate	_	ADP	ADP	_	36	mark	_	TokenRange=166:169
36	entao	entao	ADV	ADV	_	37	nmod	_	TokenRange=170:175
37	tabu	tabu	ADJ	ADJ	_	34	amod	_	TokenRange=176:180
38	em	em	ADP	ADP	_	39	case	_	TokenRange=181:183
39	hollywood	_	NOUN	NOUN	_	37	nmod	_	TokenRange=184:193
40	deu	dar	VERB	VERB	_	14	conj	_	TokenRange=194:197
41	o	o	DET	DET	_	42	det	_	TokenRange=198:199
42	tom	tom	NOUN	NOUN	_	40	obj	_	TokenRange=200:203
43-44	da	_	_	_	_	_	_	_	TokenRange=204:206
43	de	de	ADP	ADP	_	45	case	_	_
44	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	45	det	_	_
45	noite	noite	NOUN	NOUN	_	42	nmod	_	TokenRange=207:212
46	e	e	CCONJ	CONJ	_	47	cc	_	TokenRange=213:214
47	inspirou	inspirar	VERB	VERB	_	40	conj	_	TokenRange=215:223
48	discursos	discurso	NOUN	NOUN	_	47	obj	_	TokenRange=224:233
49	e	e	CCONJ	CONJ	_	50	cc	_	TokenRange=234:235
50	reacoes	reacoe	NOUN	NOUN	_	48	conj	_	TokenRange=236:243
51	emocionadas	emocionado	ADJ	ADJ	_	50	amod	_	TokenRange=244:255
52	lembrome	lembrome	VERB	VERB	_	47	parataxis	_	SpacesAfter=\s\s|TokenRange=256:264

