# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = leia redacoes nota mil do enem 2016 inep liberou consulta a correcao dos textos nesta semanaconfira exemplos que tiraram nota maxima o instituto nacional de estudos e pesquisas educacionais anisio teixeira inep liberou nesta tercafeira 11 o acesso aos espelhos das redacoes do exame nacional do ensino medio enem 2016 do total de candidatos que prestaram o exame 77 conseguiram alcancar a nota maxima o g1 disponibiliza abaixo a integra de alguns desses textos que tiraram 1000 jogo de perguntas e respostas baixe o app g1 enem o numero e menor do que o registrado no ano anterior quando 104 candidatos conseguiram tirar nota maxima na redacao em 2014 foram 250 com desempenho maximo o tema da redacao do enem 2016 foi caminhos para combater a intolerancia religiosa no brasil ja os candidatos que prestaram a segunda aplicacao do exame em dezembro tiveram de dissertar sobre caminhos para combater o racismo no brasil a reaplicacao do enem em 2016 ocorreu devido as ocupacoes
1	leia	ler	VERB	VERB	_	0	root	_	TokenRange=0:4
2	redacoes	redacoe	NOUN	NOUN	_	1	obj	_	TokenRange=5:13
3	nota	nota	NOUN	NOUN	_	2	appos	_	TokenRange=14:18
4	mil	_	NUM	NUM	NumType=Card	3	appos	_	TokenRange=19:22
5-6	do	_	_	_	_	_	_	_	TokenRange=23:25
5	de	de	ADP	ADP	_	7	case	_	_
6	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	7	det	_	_
7	enem	enem	NOUN	NOUN	_	3	nmod	_	TokenRange=26:30
8	2016	_	NUM	NUM	NumType=Card	7	appos	_	TokenRange=31:35
9	inep	_	NOUN	NOUN	_	10	nsubj	_	TokenRange=36:40
10	liberou	liberar	VERB	VERB	_	1	parataxis	_	TokenRange=41:48
11	consulta	consulta	NOUN	NOUN	_	10	obj	_	TokenRange=49:57
12	a	o	DET	DET	_	13	det	_	TokenRange=58:59
13	correcao	correcao	NOUN	NOUN	_	10	obj	_	TokenRange=60:68
14-15	dos	_	_	_	_	_	_	_	TokenRange=69:72
14	de	de	ADP	ADP	_	16	case	_	_
15	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	16	det	_	_
16	textos	texto	NOUN	NOUN	_	13	nmod	_	TokenRange=73:79
17	nesta	_	ADP	ADP	_	18	case	_	TokenRange=80:85
18	semanaconfira	_	NOUN	NOUN	_	10	nmod	_	TokenRange=86:99
19	exemplos	exemplo	NOUN	NOUN	_	18	appos	_	TokenRange=100:108
20	que	_	PRON	PRON	_	21	nsubj	_	TokenRange=109:112
21	tiraram	tirar	VERB	VERB	_	19	acl:relcl	_	TokenRange=113:120
22	nota	nota	NOUN	NOUN	_	21	obj	_	TokenRange=121:125
23	maxima	maxima	ADJ	ADJ	_	22	amod	_	TokenRange=126:132
24	o	o	DET	DET	_	25	det	_	TokenRange=133:134
25	instituto	instituto	NOUN	NOUN	_	21	nsubj	_	TokenRange=135:144
26	nacional	nacional	ADJ	ADJ	_	25	amod	_	TokenRange=145:153
27	de	de	ADP	ADP	_	28	case	_	TokenRange=154:156
28	estudos	estudo	NOUN	NOUN	_	25	nmod	_	TokenRange=157:164
29	e	e	CCONJ	CONJ	_	30	cc	_	TokenRange=165:166
30	pesquisas	pesquisa	NOUN	NOUN	_	28	conj	_	TokenRange=167:176
31	educacionais	educacional	ADJ	ADJ	_	30	amod	_	TokenRange=177:189
32	anisio	anisio	NOUN	NOUN	_	25	appos	_	TokenRange=190:196
33	teixeira	teixeiro	NOUN	NOUN	_	32	flat	_	TokenRange=197:205
34	inep	_	NOUN	NOUN	_	32	appos	_	TokenRange=206:210
35	liberou	liberar	VERB	VERB	_	1	parataxis	_	TokenRange=211:218
36	nesta	_	ADP	ADP	_	37	case	_	TokenRange=219:224
37	tercafeira	_	NOUN	NOUN	_	35	nmod	_	TokenRange=225:235
38	11	_	NUM	NUM	NumType=Card	37	appos	_	TokenRange=236:238
39	o	o	DET	DET	_	40	det	_	TokenRange=239:240
40	acesso	acesso	NOUN	NOUN	_	35	obj	_	TokenRange=241:247
41-42	aos	_	_	_	_	_	_	_	TokenRange=248:251
41	a	a	ADP	ADP	_	43	case	_	_
42	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	43	det	_	_
43	espelhos	espelho	NOUN	NOUN	_	40	nmod	_	TokenRange=252:260
44-45	das	_	_	_	_	_	_	_	TokenRange=261:264
44	de	de	ADP	ADP	_	46	case	_	_
45	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	46	det	_	_
46	redacoes	redacoe	NOUN	NOUN	_	43	nmod	_	TokenRange=265:273
47-48	do	_	_	_	_	_	_	_	TokenRange=274:276
47	de	de	ADP	ADP	_	49	case	_	_
48	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	49	det	_	_
49	exame	exame	NOUN	NOUN	_	46	nmod	_	TokenRange=277:282
50	nacional	nacional	ADJ	ADJ	_	49	amod	_	TokenRange=283:291
51-52	do	_	_	_	_	_	_	_	TokenRange=292:294
51	de	de	ADP	ADP	_	53	case	_	_
