# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = brasilia a policia federal concluiu que nao houve crime de obstrucao de justica na indicacao do ministro marcelo ribeiro navarro dantas ao superior tribunal de justica stj por parte da expresidente dilma rousseff em 2015 a constatacao faz parte do relatorio final da pf sobre um inquerito que tramita em segredo de justica no supremo tribunal federal stf e investiga se houve na indicacao de navarro por dilma algum tipo de articulacao para barrar a lava jato por meio da atuacao do ministro no stj a suspeita partiu da delacao de delcidio do amaral do exlider do governo dilma no senado segundo delcidio navarro foi escolhido para o stj com o compromisso de conceder habeas corpus e recursos favoraveis a empreiteiros como marcelo odebrecht do grupo odebrecht e otavio azevedo da andrade gutiererrez o relatorio da pf encaminhado nesta segundafeira 21 ao stf apontou que feitas todas as diligencias nao se confirmou o depoimento de delcidio do amaral e do seu exchefe de gabinete diogo ferreira segundo o broadcast apurou o relatorio tambem nao verificou nenhum tipo de conduta criminosa por parte do ministro francisco falcao do stj que ja foi presidente da corte o relatorio ja foi encaminhado a procuradoriageral da republica pgr para que decida se pede o arquivamento do
1	brasilia	brasilia	NOUN	NOUN	_	5	parataxis	_	TokenRange=0:8
2	a	o	DET	DET	_	3	det	_	TokenRange=9:10
3	policia	policia	NOUN	NOUN	_	5	nsubj	_	TokenRange=11:18
4	federal	federal	ADJ	ADJ	_	3	amod	_	TokenRange=19:26
5	concluiu	concluir	VERB	VERB	_	0	root	_	TokenRange=27:35
6	que	que	CCONJ	CONJ	_	8	mark	_	TokenRange=36:39
7	nao	nao	ADV	ADV	Polarity=Neg	8	advmod	_	TokenRange=40:43
8	houve	haver	VERB	VERB	_	5	ccomp	_	TokenRange=44:49
9	crime	crime	NOUN	NOUN	_	8	obj	_	TokenRange=50:55
10	de	de	ADP	ADP	_	11	case	_	TokenRange=56:58
11	obstrucao	obstrucao	NOUN	NOUN	_	9	nmod	_	TokenRange=59:68
12	de	de	ADP	ADP	_	13	case	_	TokenRange=69:71
13	justica	_	NOUN	NOUN	_	11	nmod	_	TokenRange=72:79
14-15	na	_	_	_	_	_	_	_	TokenRange=80:82
14	em	em	ADP	ADP	_	16	case	_	_
15	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	16	det	_	_
16	indicacao	indicacao	NOUN	NOUN	_	8	nmod	_	TokenRange=83:92
17-18	do	_	_	_	_	_	_	_	TokenRange=93:95
17	de	de	ADP	ADP	_	19	case	_	_
18	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	19	det	_	_
19	ministro	ministro	NOUN	NOUN	_	16	nmod	_	TokenRange=96:104
20	marcelo	marcelo	NOUN	NOUN	_	19	appos	_	TokenRange=105:112
21	ribeiro	ribeiro	NOUN	NOUN	_	20	flat	_	TokenRange=113:120
