# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = na denuncia contra o expresidente lula apresentada ao supremo tribunal federal no inicio de maio o procuradorgeral da republica rodrigo janot afirma que o petista teve papel central na trama para tentar barrar a lava jato e a delacao premiada do exdiretor da petrobras nestor cervero o procurador esmiuca os contatos de lula com o exsenador e delator delcidio amaral expt/ms e o pecuarista jose carlos bumlai amigo pessoal do expresidente que teriam levado as tentativas de obstruir a investigacao as revelacoes sobre a denuncia de janot foram divulgadas pelo jornal nacional da tv globo nesta quartafeira 18 na acusacao o procurador conclui que lula impediu e/ou embaracou investigacao criminal que envolve organizacao criminosa ocupando papel central determinando e dirigindo a atividade criminosa praticada por delcidio do amaral andre santos esteves edson de siqueira ribeiro diogo ferreira rodrigues jose carlos bumlai o jornal nacional teve acesso a integra da denuncia da procuradoriageral da republica pgr contra o expresidente acusado de
1-2	na	_	_	_	_	_	_	_	TokenRange=0:2
1	em	em	ADP	ADP	_	3	case	_	_
2	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	3	det	_	_
3	denuncia	denuncia	NOUN	NOUN	_	26	nmod	_	TokenRange=3:11
4	contra	_	ADP	ADP	_	6	case	_	TokenRange=12:18
5	o	o	DET	DET	_	6	det	_	TokenRange=19:20
6	expresidente	expresidente	NOUN	NOUN	_	3	nmod	_	TokenRange=21:33
7	lula	lula	NOUN	NOUN	_	6	flat	_	TokenRange=34:38
8	apresentada	apresentar	VERB	VERB	_	3	acl	_	TokenRange=39:50
9-10	ao	_	_	_	_	_	_	_	TokenRange=51:53
9	a	a	ADP	ADP	_	12	case	_	_
10	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	12	det	_	_
11	supremo	supremo	ADJ	ADJ	_	12	amod	_	TokenRange=54:61
12	tribunal	tribunal	NOUN	NOUN	_	8	nmod	_	TokenRange=62:70
13	federal	federal	ADJ	ADJ	_	12	amod	_	TokenRange=71:78
14-15	no	_	_	_	_	_	_	_	TokenRange=79:81
14	em	em	ADP	ADP	_	16	case	_	_
15	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	16	det	_	_
16	inicio	_	NOUN	NOUN	_	8	nmod	_	TokenRange=82:88
17	de	de	ADP	ADP	_	18	case	_	TokenRange=89:91
18	maio	_	PROPN	PNOUN	_	16	nmod	_	TokenRange=92:96
19	o	o	DET	DET	_	20	det	_	TokenRange=97:98
20	procuradorgeral	procuradorgeral	NOUN	NOUN	_	26	nsubj	_	TokenRange=99:114
21-22	da	_	_	_	_	_	_	_	TokenRange=115:117
21	de	de	ADP	ADP	_	23	case	_	_
22	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	23	det	_	_
23	republica	_	NOUN	NOUN	_	20	nmod	_	TokenRange=118:127
24	rodrigo	_	NOUN	NOUN	_	20	appos	_	TokenRange=128:135
25	janot	_	PROPN	PNOUN	_	24	flat	_	TokenRange=136:141
26	afirma	afirmar	VERB	VERB	_	0	root	_	TokenRange=142:148
27	que	que	CCONJ	CONJ	_	30	mark	_	TokenRange=149:152
28	o	o	DET	DET	_	29	det	_	TokenRange=153:154
