# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = nos cometemos erros diz mark zuckerberg sobre escandalo do facebook com cambridge analytica fundador do facebook anunciou tambem mudancas para reforcar a seguranca de dados no aplicativo como a auditoria de apps o fundador do facebook mark zuckerberg reconheceu que a empresa errou sobre o caso envolvendo vazamento de dados com a consultoria cambridge analytica leia nota na integra em ingles e sua traducao ao fim desta reportagem as declaracoes foram dados em um post no perfil de zuckerberg na rede social na primeira vez que falou sobre a crise institucional que fez o facebook perder quase us 50 bilhoes em valor de mercado em dois dias neste domingo 18 o facebook informou que esta investigando o vazamento de dados envolvendo por uma empresa britanica que trabalhou para a campanha de 2016 do presidente americano donald
1-2	nos	_	_	_	_	_	_	_	TokenRange=0:3
1	em	em	ADP	ADP	_	3	case	_	_
2	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	3	det	_	_
3	cometemos	cometer	VERB	VERB	_	5	advcl	_	TokenRange=4:13
4	erros	erro	NOUN	NOUN	_	3	obj	_	TokenRange=14:19
5	diz	dizer	VERB	VERB	_	0	root	_	TokenRange=20:23
6	mark	_	NOUN	NOUN	_	5	nsubj	_	TokenRange=24:28
7	zuckerberg	_	NOUN	NOUN	_	6	flat	_	TokenRange=29:39
8	sobre	_	ADP	ADP	_	9	case	_	TokenRange=40:45
9	escandalo	escandalo	NOUN	NOUN	_	6	nmod	_	TokenRange=46:55
10-11	do	_	_	_	_	_	_	_	TokenRange=56:58
10	de	de	ADP	ADP	_	12	case	_	_
11	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	12	det	_	_
12	facebook	_	PROPN	PNOUN	_	9	nmod	_	TokenRange=59:67
13	com	com	ADP	ADP	_	14	case	_	TokenRange=68:71
14	cambridge	cambridge	NOUN	NOUN	_	9	nmod	_	TokenRange=72:81
15	analytica	analytico	ADJ	ADJ	_	14	amod	_	TokenRange=82:91
16	fundador	fundador	NOUN	NOUN	_	14	appos	_	TokenRange=92:100
17-18	do	_	_	_	_	_	_	_	TokenRange=101:103
17	de	de	ADP	ADP	_	19	case	_	_
18	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	19	det	_	_
19	facebook	_	PROPN	PNOUN	_	16	nmod	_	TokenRange=104:112
20	anunciou	anunciar	VERB	VERB	_	5	parataxis	_	TokenRange=113:121
21	tambem	tambem	ADV	ADV	_	20	advmod	_	TokenRange=122:128
22	mudancas	mudanca	NOUN	NOUN	_	20	obj	_	TokenRange=129:137
23	para	_	ADP	ADP	_	24	mark	_	TokenRange=138:142
24	reforcar	reforcar	VERB	VERB	_	22	nmod	_	TokenRange=143:151
25	a	o	DET	DET	_	26	det	_	TokenRange=152:153
26	seguranca	_	NOUN	NOUN	_	24	obj	_	TokenRange=154:163
27	de	de	ADP	ADP	_	28	case	_	TokenRange=164:166
28	dados	dado	NOUN	NOUN	_	26	nmod	_	TokenRange=167:172
29-30	no	_	_	_	_	_	_	_	TokenRange=173:175
29	em	em	ADP	ADP	_	31	case	_	_
30	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	31	det	_	_
31	aplicativo	aplicativo	NOUN	NOUN	_	24	nmod	_	TokenRange=176:186
32	como	como	ADP	ADP	_	34	case	_	TokenRange=187:191
33	a	o	DET	DET	_	34	det	_	TokenRange=192:193
34	auditoria	auditoria	NOUN	NOUN	_	24	nmod	_	TokenRange=194:203
35	de	de	ADP	ADP	_	36	case	_	TokenRange=204:206
36	apps	_	NOUN	NOUN	_	34	nmod	_	TokenRange=207:211
37	o	o	DET	DET	_	38	det	_	TokenRange=212:213
38	fundador	fundador	NOUN	NOUN	_	44	nsubj	_	TokenRange=214:222
39-40	do	_	_	_	_	_	_	_	TokenRange=223:225
39	de	de	ADP	ADP	_	41	case	_	_
40	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	41	det	_	_
41	facebook	_	PROPN	PNOUN	_	38	nmod	_	TokenRange=226:234
42	mark	_	PROPN	PNOUN	_	38	appos	_	TokenRange=235:239
43	zuckerberg	_	PROPN	PNOUN	_	42	flat	_	TokenRange=240:250
44	reconheceu	reconhecer	VERB	VERB	_	20	parataxis	_	TokenRange=251:261
45	que	que	CCONJ	CONJ	_	48	mark	_	TokenRange=262:265
46	a	o	DET	DET	_	47	det	_	TokenRange=266:267
47	empresa	empresa	NOUN	NOUN	_	48	nsubj	_	TokenRange=268:275
48	errou	errar	VERB	VERB	_	44	ccomp	_	TokenRange=276:281
49	sobre	_	ADP	ADP	_	51	case	_	TokenRange=282:287
50	o	o	DET	DET	_	51	det	_	TokenRange=288:289
51	caso	caso	NOUN	NOUN	_	48	nmod	_	TokenRange=290:294
52	envolvendo	envolver	VERB	VERB	_	51	acl	_	TokenRange=295:305
53	vazamento	vazamento	NOUN	NOUN	_	52	obj	_	TokenRange=306:315
54	de	de	ADP	ADP	_	55	case	_	TokenRange=316:318
55	dados	dado	NOUN	NOUN	_	53	nmod	_	TokenRange=319:324
56	com	com	ADP	ADP	_	58	case	_	TokenRange=325:328
57	a	o	DET	DET	_	58	det	_	TokenRange=329:330
58	consultoria	consultoria	NOUN	NOUN	_	52	nmod	_	TokenRange=331:342
59	cambridge	cambridge	NOUN	NOUN	_	58	appos	_	TokenRange=343:352
60	analytica	_	ADJ	ADJ	_	59	amod	_	TokenRange=353:362
61	leia	ler	VERB	VERB	_	44	parataxis	_	TokenRange=363:367
62	nota	nota	NOUN	NOUN	_	61	obj	_	TokenRange=368:372
63-64	na	_	_	_	_	_	_	_	TokenRange=373:375
63	em	em	ADP	ADP	_	65	case	_	_
64	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	65	det	_	_
65	integra	integra	NOUN	NOUN	_	62	nmod	_	TokenRange=376:383
66	em	em	ADP	ADP	_	67	case	_	TokenRange=384:386
67	ingles	ingle	NOUN	NOUN	_	65	nmod	_	TokenRange=387:393
68	e	e	CCONJ	CONJ	_	70	cc	_	TokenRange=394:395
69	sua	_	DET	DET	_	70	det:poss	_	TokenRange=396:399
70	traducao	traducao	NOUN	NOUN	_	62	conj	_	TokenRange=400:408
71-72	ao	_	_	_	_	_	_	_	TokenRange=409:411
71	a	a	ADP	ADP	_	73	case	_	_
72	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	73	det	_	_
73	fim	fim	NOUN	NOUN	_	70	nmod	_	TokenRange=412:415
74	desta	_	ADP	ADP	_	75	case	_	TokenRange=416:421
75	reportagem	reportagem	NOUN	NOUN	_	73	nmod	_	TokenRange=422:432
76	as	o	DET	DET	_	77	det	_	TokenRange=433:435
77	declaracoes	declaracoe	NOUN	NOUN	_	79	nsubj:pass	_	TokenRange=436:447
78	foram	_	AUX	AUX	_	79	aux:pass	_	TokenRange=448:453
79	dados	dar	VERB	VERB	_	44	conj	_	TokenRange=454:459
80	em	em	ADP	ADP	_	82	case	_	TokenRange=460:462
81	um	um	DET	DET	_	82	det	_	TokenRange=463:465
82	post	post	NOUN	NOUN	_	79	nmod	_	TokenRange=466:470
83-84	no	_	_	_	_	_	_	_	TokenRange=471:473
83	em	em	ADP	ADP	_	85	case	_	_
84	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	85	det	_	_
85	perfil	perfil	NOUN	NOUN	_	82	nmod	_	TokenRange=474:480
86	de	de	ADP	ADP	_	87	case	_	TokenRange=481:483
87	zuckerberg	_	NOUN	NOUN	_	85	nmod	_	TokenRange=484:494
88-89	na	_	_	_	_	_	_	_	TokenRange=495:497
88	em	em	ADP	ADP	_	90	case	_	_
89	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	90	det	_	_
90	rede	rede	NOUN	NOUN	_	85	nmod	_	TokenRange=498:502
91	social	social	ADJ	ADJ	_	90	amod	_	TokenRange=503:509
92-93	na	_	_	_	_	_	_	_	TokenRange=510:512
92	em	em	ADP	ADP	_	95	case	_	_
93	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	95	det	_	_
94	primeira	primeiro	ADJ	ADJ	_	95	amod	_	TokenRange=513:521
95	vez	vez	NOUN	NOUN	_	79	nmod	_	TokenRange=522:525
96	que	_	PRON	PRON	_	97	nsubj	_	TokenRange=526:529
97	falou	falar	VERB	VERB	_	95	acl:relcl	_	TokenRange=530:535
98	sobre	_	ADP	ADP	_	100	case	_	TokenRange=536:541
99	a	o	DET	DET	_	100	det	_	TokenRange=542:543
100	crise	crise	NOUN	NOUN	_	97	nmod	_	TokenRange=544:549
101	institucional	institucional	ADJ	ADJ	_	100	amod	_	TokenRange=550:563
102	que	_	PRON	PRON	_	103	nsubj	_	TokenRange=564:567
103	fez	fazer	VERB	VERB	_	100	acl:relcl	_	TokenRange=568:571
104	o	o	DET	DET	_	105	det	_	TokenRange=572:573
105	facebook	_	PROPN	PNOUN	_	103	obj	_	TokenRange=574:582
106	perder	perder	VERB	VERB	_	103	xcomp	_	TokenRange=583:589
107	quase	quase	ADV	ADV	_	110	advmod	_	TokenRange=590:595
108	us	_	NUM	NUM	_	110	nummod	_	TokenRange=596:598
109	50	_	NUM	NUM	NumType=Card	110	nummod	_	TokenRange=599:601
110	bilhoes	_	NOUN	NOUN	_	106	obj	_	TokenRange=602:609
111	em	em	ADP	ADP	_	112	case	_	TokenRange=610:612
112	valor	valor	NOUN	NOUN	_	106	nmod	_	TokenRange=613:618
113	de	de	ADP	ADP	_	114	case	_	TokenRange=619:621
114	mercado	mercado	NOUN	NOUN	_	112	nmod	_	TokenRange=622:629
115	em	em	ADP	ADP	_	117	case	_	TokenRange=630:632
116	dois	_	NUM	NUM	NumType=Card	117	nummod	_	TokenRange=633:637
117	dias	dia	NOUN	NOUN	_	106	nmod	_	TokenRange=638:642
118	neste	_	ADP	ADP	_	119	case	_	TokenRange=643:648
119	domingo	_	PROPN	PNOUN	_	97	nmod	_	TokenRange=649:656
120	18	_	NUM	NUM	NumType=Card	119	nmod	_	TokenRange=657:659
121	o	o	DET	DET	_	122	det	_	TokenRange=660:661
122	facebook	_	PROPN	PNOUN	_	123	nsubj	_	TokenRange=662:670
123	informou	informar	VERB	VERB	_	44	parataxis	_	TokenRange=671:679
124	que	que	CCONJ	CONJ	_	126	mark	_	TokenRange=680:683
125	esta	_	AUX	AUX	_	126	aux	_	TokenRange=684:688
126	investigando	investigar	VERB	VERB	_	123	ccomp	_	TokenRange=689:701
127	o	o	DET	DET	_	128	det	_	TokenRange=702:703
128	vazamento	vazamento	NOUN	NOUN	_	126	obj	_	TokenRange=704:713
129	de	de	ADP	ADP	_	130	case	_	TokenRange=714:716
130	dados	dado	NOUN	NOUN	_	128	nmod	_	TokenRange=717:722
131	envolvendo	envolver	VERB	VERB	_	128	acl	_	TokenRange=723:733
132	por	por	ADP	ADP	_	134	case	_	TokenRange=734:737
