# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = cenario a coreia do norte e definitivamente uma potencia nuclear a bomba de hidrogenio da coreia do norte funciona e o missil de longo alcance feito para transportar a carga de ataque voa com precisao e capaz de chegar ao territorio continental dos eua as noticias sao as piores a bomba de hidrogenio da coreia do norte funciona e o missil de longo alcance feito para transportar a carga de ataque voa com precisao e capaz de chegar ao territorio continental dos eua ate julho de 2018 os especialistas do instituto de armas nucleares de pyongyang terao pronto o veiculo de reentrada a sofisticada capsula que conduz as ogivas explosivas para seus alvos no retorno a atmosfera depois do trajeto orbital com esse recurso os hwasongs poderao atingir pontos estrategicos do hemisferio norte depois do teste subterraneo deste domingo responsavel por uma onda sismica que deu a volta ao mundo e foi detectado na sede da agencia internacional de energia atomica aiea em viena o quadro mudou o ensaio deixou claro o dominio dos processos tecnologicos e dos procedimentos de engenharia a coreia do norte e sim uma nova e definitiva potencia nuclear com ou sem kim jongun no poder o experimento nas montanhas de quartzito de punggyeri pode ter liberado energia total de 100 a 120 quilotons muito mais que os 8 a 10 quilotons registrados na detonacao de 2013 e acima de 6 talvez ate 8 vezes alem das bombas que atingiram as cidades japonesas de hiroshima e nagasaki bombardeadas pelos eua ha 72 anos morreram 246 mil pessoas embora haja uma certa desconfianca formal quanto ao tipo de dispositivo empregado ontem todos os indicios apontam para um artefato compacto de hidrogenio termonuclear ou seja gerador de uma onda de calor que supera no nucleo os 2 milhoes de graus na extremidade do circulo chega aos 20 mil graus e a mesma fonte que faz as estrelas brilharem e mantem a
1	cenario	cenario	NOUN	NOUN	_	0	root	_	TokenRange=0:7
2	a	o	DET	DET	_	3	det	_	TokenRange=8:9
3	coreia	coreia	NOUN	NOUN	_	1	nsubj	_	TokenRange=10:16
4-5	do	_	_	_	_	_	_	_	TokenRange=17:19
4	de	de	ADP	ADP	_	6	case	_	_
5	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	6	det	_	_
6	norte	norte	NOUN	NOUN	_	3	nmod	_	TokenRange=20:25
7	e	e	CCONJ	CONJ	_	10	cc	_	TokenRange=26:27
8	definitivamente	definitivamente	ADV	ADV	_	10	advmod	_	TokenRange=28:43
9	uma	um	DET	DET	_	10	det	_	TokenRange=44:47
10	potencia	potencia	NOUN	NOUN	_	3	conj	_	TokenRange=48:56
11	nuclear	nuclear	ADJ	ADJ	_	10	amod	_	TokenRange=57:64
12	a	o	DET	DET	_	13	det	_	TokenRange=65:66
13	bomba	bomba	NOUN	NOUN	_	22	nsubj	_	TokenRange=67:72
14	de	de	ADP	ADP	_	15	case	_	TokenRange=73:75
15	hidrogenio	hidrogenio	NOUN	NOUN	_	13	nmod	_	TokenRange=76:86
16-17	da	_	_	_	_	_	_	_	TokenRange=87:89
16	de	de	ADP	ADP	_	18	case	_	_
17	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	18	det	_	_
18	coreia	coreia	NOUN	NOUN	_	13	nmod	_	TokenRange=90:96
19-20	do	_	_	_	_	_	_	_	TokenRange=97:99
19	de	de	ADP	ADP	_	21	case	_	_
20	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	21	det	_	_
21	norte	norte	NOUN	NOUN	_	18	nmod	_	TokenRange=100:105
22	funciona	funcionar	VERB	VERB	_	1	parataxis	_	TokenRange=106:114
