# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = relembre a semana em que pela 1 vez um presidente foi denunciado pela pgr com base nas delacoes da jbs ministerio publico acusa michel temer de ter cometido o crime de corrupcao passiva presidente se defende e afirma ser vitima de infamia de natureza politica a semana foi marcada pela primeira vez em que um presidente da republica no exercicio do mandato foi denunciado pela procuradoria geral da republica ao supremo tribunal federal especial g1 temer na mira da justica o presidente michel temer foi denunciado pelo chefe do ministerio publico o procuradorgeral da republica rodrigo janot pelo crime de corrupcao passiva cabera a camara autorizar o stf a analisar a denuncia entenda a tramitacao da denuncia se a denuncia passar
1	relembre	relembrar	VERB	VERB	_	0	root	_	TokenRange=0:8
2	a	o	DET	DET	_	3	det	_	TokenRange=9:10
3	semana	semana	NOUN	NOUN	_	1	obj	_	TokenRange=11:17
4	em	em	ADP	ADP	_	5	case	_	TokenRange=18:20
5	que	_	PRON	PRON	_	13	nmod	_	TokenRange=21:24
6-7	pela	_	_	_	_	_	_	_	TokenRange=25:29
6	por	por	ADP	ADP	_	9	case	_	_
7	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	9	det	_	_
8	1	_	NUM	NUM	NumType=Card	9	nummod	_	TokenRange=30:31
9	vez	vez	NOUN	NOUN	_	13	nmod	_	TokenRange=32:35
10	um	um	DET	DET	_	11	det	_	TokenRange=36:38
11	presidente	presidente	NOUN	NOUN	_	13	nsubj:pass	_	TokenRange=39:49
12	foi	_	AUX	AUX	_	13	aux:pass	_	TokenRange=50:53
13	denunciado	denunciar	VERB	VERB	_	3	acl:relcl	_	TokenRange=54:64
14-15	pela	_	_	_	_	_	_	_	TokenRange=65:69
14	por	por	ADP	ADP	_	16	case	_	_
15	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	16	det	_	_
16	pgr	pgr	NOUN	NOUN	_	13	nmod	_	TokenRange=70:73
17	com	com	ADP	ADP	_	18	case	_	TokenRange=74:77
18	base	base	NOUN	NOUN	_	13	nmod	_	TokenRange=78:82
19-20	nas	_	_	_	_	_	_	_	TokenRange=83:86
19	em	em	ADP	ADP	_	21	case	_	_
20	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	21	det	_	_
21	delacoes	delacoe	NOUN	NOUN	_	18	nmod	_	TokenRange=87:95
22-23	da	_	_	_	_	_	_	_	TokenRange=96:98
22	de	de	ADP	ADP	_	24	case	_	_
23	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	24	det	_	_
24	jbs	_	NOUN	NOUN	_	21	nmod	_	TokenRange=99:102
25	ministerio	ministerio	NOUN	NOUN	_	13	nsubj:pass	_	TokenRange=103:113
26	publico	_	ADJ	ADJ	_	25	amod	_	TokenRange=114:121
27	acusa	acusar	VERB	VERB	_	1	parataxis	_	TokenRange=122:127
28	michel	michel	DET	ADJ	_	29	amod	_	TokenRange=128:134
29	temer	temer	NOUN	NOUN	_	27	obj	_	TokenRange=135:140
30	de	_	ADP	ADP	_	32	mark	_	TokenRange=141:143
31	ter	ter	AUX	AUX	_	32	aux	_	TokenRange=144:147
32	cometido	cometer	VERB	VERB	_	27	nmod	_	TokenRange=148:156
33	o	o	DET	DET	_	34	det	_	TokenRange=157:158
34	crime	crime	NOUN	NOUN	_	32	obj	_	TokenRange=159:164
35	de	de	ADP	ADP	_	36	case	_	TokenRange=165:167
36	corrupcao	corrupcao	NOUN	NOUN	_	34	nmod	_	TokenRange=168:177
37	passiva	passivo	ADJ	ADJ	_	36	amod	_	TokenRange=178:185
38	presidente	presidente	NOUN	NOUN	_	40	nsubj	_	TokenRange=186:196
39	se	_	PRON	PRON	_	40	obj	_	TokenRange=197:199
40	defende	defender	VERB	VERB	_	34	acl:relcl	_	TokenRange=200:207
41	e	e	CCONJ	CONJ	_	42	cc	_	TokenRange=208:209
42	afirma	afirmar	VERB	VERB	_	40	conj	_	TokenRange=210:216
43	ser	ser	AUX	AUX	_	44	cop	_	TokenRange=217:220
44	vitima	_	NOUN	NOUN	_	42	xcomp	_	TokenRange=221:227
45	de	de	ADP	ADP	_	46	case	_	TokenRange=228:230
46	infamia	infamia	NOUN	NOUN	_	44	nmod	_	TokenRange=231:238
47	de	de	ADP	ADP	_	48	case	_	TokenRange=239:241
48	natureza	natureza	NOUN	NOUN	_	44	nmod	_	TokenRange=242:250
49	politica	politico	ADJ	ADJ	_	48	amod	_	TokenRange=251:259
50	a	o	DET	DET	_	51	det	_	TokenRange=260:261
51	semana	semana	NOUN	NOUN	_	53	nsubj:pass	_	TokenRange=262:268
52	foi	_	AUX	AUX	_	53	aux:pass	_	TokenRange=269:272
53	marcada	marcar	VERB	VERB	_	1	parataxis	_	TokenRange=273:280
54-55	pela	_	_	_	_	_	_	_	TokenRange=281:285
54	por	por	ADP	ADP	_	57	case	_	_
55	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	57	det	_	_
56	primeira	primeiro	ADJ	ADJ	_	57	amod	_	TokenRange=286:294
57	vez	vez	NOUN	NOUN	_	53	nmod	_	TokenRange=295:298
58	em	em	ADP	ADP	_	59	case	_	TokenRange=299:301
59	que	_	PRON	PRON	_	72	nmod	_	TokenRange=302:305
60	um	um	DET	DET	_	61	det	_	TokenRange=306:308
61	presidente	presidente	NOUN	NOUN	_	72	nsubj:pass	_	TokenRange=309:319
62-63	da	_	_	_	_	_	_	_	TokenRange=320:322
62	de	de	ADP	ADP	_	64	case	_	_
63	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	64	det	_	_
64	republica	_	NOUN	NOUN	_	61	nmod	_	TokenRange=323:332
65-66	no	_	_	_	_	_	_	_	TokenRange=333:335
65	em	em	ADP	ADP	_	67	case	_	_
66	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	67	det	_	_
67	exercicio	exercicio	NOUN	NOUN	_	61	nmod	_	TokenRange=336:345
68-69	do	_	_	_	_	_	_	_	TokenRange=346:348
68	de	de	ADP	ADP	_	70	case	_	_
69	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	70	det	_	_
70	mandato	mandato	NOUN	NOUN	_	67	nmod	_	TokenRange=349:356
71	foi	_	AUX	AUX	_	72	aux:pass	_	TokenRange=357:360
72	denunciado	denunciar	VERB	VERB	_	57	acl:relcl	_	TokenRange=361:371
73-74	pela	_	_	_	_	_	_	_	TokenRange=372:376
73	por	por	ADP	ADP	_	75	case	_	_
74	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	75	det	_	_
75	procuradoria	procuradoria	NOUN	NOUN	_	72	nmod	_	TokenRange=377:389
76	geral	geral	ADJ	ADJ	_	75	amod	_	TokenRange=390:395
77-78	da	_	_	_	_	_	_	_	TokenRange=396:398
77	de	de	ADP	ADP	_	79	case	_	_
78	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	79	det	_	_
79	republica	_	NOUN	NOUN	_	75	nmod	_	TokenRange=399:408
80-81	ao	_	_	_	_	_	_	_	TokenRange=409:411
80	a	a	ADP	ADP	_	83	case	_	_
81	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	83	det	_	_
82	supremo	supremo	ADJ	ADJ	_	83	amod	_	TokenRange=412:419
83	tribunal	tribunal	NOUN	NOUN	_	72	nmod	_	TokenRange=420:428
84	federal	federal	ADJ	ADJ	_	83	amod	_	TokenRange=429:436
85	especial	especial	ADJ	ADJ	_	83	amod	_	TokenRange=437:445
86	g1	_	NUM	NUM	_	83	appos	_	TokenRange=446:448
87	temer	temer	NOUN	NOUN	_	86	flat	_	TokenRange=449:454
88-89	na	_	_	_	_	_	_	_	TokenRange=455:457
88	em	em	ADP	ADP	_	90	case	_	_
89	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	90	det	_	_
90	mira	mira	NOUN	NOUN	_	72	nmod	_	TokenRange=458:462
91-92	da	_	_	_	_	_	_	_	TokenRange=463:465
91	de	de	ADP	ADP	_	93	case	_	_
92	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	93	det	_	_
93	justica	_	NOUN	NOUN	_	90	nmod	_	TokenRange=466:473
94	o	o	DET	DET	_	95	det	_	TokenRange=474:475
95	presidente	presidente	NOUN	NOUN	_	99	nsubj:pass	_	TokenRange=476:486
96	michel	michel	ADJ	ADJ	_	97	amod	_	TokenRange=487:493
97	temer	temer	NOUN	NOUN	_	95	appos	_	TokenRange=494:499
98	foi	_	AUX	AUX	_	99	aux:pass	_	TokenRange=500:503
99	denunciado	denunciar	VERB	VERB	_	57	acl:relcl	_	TokenRange=504:514
100-101	pelo	_	_	_	_	_	_	_	TokenRange=515:519
100	por	por	ADP	ADP	_	102	case	_	_
101	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	102	det	_	_
102	chefe	chefe	NOUN	NOUN	_	99	nmod	_	TokenRange=520:525
103-104	do	_	_	_	_	_	_	_	TokenRange=526:528
103	de	de	ADP	ADP	_	105	case	_	_
104	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	105	det	_	_
105	ministerio	ministerio	NOUN	NOUN	_	102	nmod	_	TokenRange=529:539
106	publico	publico	ADJ	ADJ	_	105	amod	_	TokenRange=540:547
107	o	o	DET	DET	_	108	det	_	TokenRange=548:549
108	procuradorgeral	procuradorgeral	NOUN	NOUN	_	99	nsubj:pass	_	TokenRange=550:565
109-110	da	_	_	_	_	_	_	_	TokenRange=566:568
109	de	de	ADP	ADP	_	111	case	_	_
110	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	111	det	_	_
111	republica	_	NOUN	NOUN	_	108	nmod	_	TokenRange=569:578
112	rodrigo	_	NOUN	NOUN	_	108	appos	_	TokenRange=579:586
113	janot	_	NOUN	NOUN	_	112	flat	_	TokenRange=587:592
114-115	pelo	_	_	_	_	_	_	_	TokenRange=593:597
114	por	por	ADP	ADP	_	116	case	_	_
115	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	116	det	_	_
116	crime	crime	NOUN	NOUN	_	112	nmod	_	TokenRange=598:603
117	de	de	ADP	ADP	_	118	case	_	TokenRange=604:606
118	corrupcao	corrupcao	NOUN	NOUN	_	116	nmod	_	TokenRange=607:616
119	passiva	passivo	ADJ	ADJ	_	118	amod	_	TokenRange=617:624
120	cabera	caberar	VERB	VERB	_	99	parataxis	_	TokenRange=625:631
121	a	o	DET	DET	_	122	det	_	TokenRange=632:633
122	camara	camara	NOUN	NOUN	_	120	nsubj	_	TokenRange=634:640
123	autorizar	autorizar	VERB	VERB	_	120	csubj	_	TokenRange=641:650
124	o	o	DET	DET	_	125	det	_	TokenRange=651:652
125	stf	_	NOUN	NOUN	_	123	obj	_	TokenRange=653:656
126	a	_	ADP	ADP	_	127	mark	_	TokenRange=657:658
127	analisar	analisar	VERB	VERB	_	123	nmod	_	TokenRange=659:667
128	a	o	DET	DET	_	129	det	_	TokenRange=668:669
129	denuncia	denuncia	NOUN	NOUN	_	127	obj	_	TokenRange=670:678
130	entenda	entender	VERB	VERB	_	120	ccomp	_	TokenRange=679:686
131	a	o	DET	DET	_	132	det	_	TokenRange=687:688
132	tramitacao	tramitacao	NOUN	NOUN	_	139	obj	_	TokenRange=689:699
133-134	da	_	_	_	_	_	_	_	TokenRange=700:702
133	de	de	ADP	ADP	_	135	case	_	_
134	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	135	det	_	_
135	denuncia	denuncia	NOUN	NOUN	_	132	nmod	_	TokenRange=703:711
136	se	_	CCONJ	CONJ	_	139	mark	_	TokenRange=712:714
137	a	o	DET	DET	_	138	det	_	TokenRange=715:716
138	denuncia	denuncia	NOUN	NOUN	_	139	nsubj	_	TokenRange=717:725
139	passar	passar	VERB	VERB	_	120	advcl	_	SpacesAfter=\s\s|TokenRange=726:732

