# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = cresce apoio a descriminalizacao do aborto aponta pesquisa datafolha a maioria dos brasileiros 57 acredita que a mulher deve ser punida e ir para a cadeia por fazer um aborto segundo pesquisa datafolha mas a taxa de brasileiros favoraveis a descriminalizacao da pratica aumentou no ultimo ano passando de 23 para 36 7 dos entrevistados nao souberam se posicionar as opinioes nao variam de acordo com o sexo do entrevistado 58 dos homens e 56 das mulheres sao favoraveis a punicao o que e considerado um empate ja que a margem de erro da pesquisa e de dois pontos percentuais para mais ou para menos em caso de estupro ou de risco de morte da mae quando o aborto ja e permitido por lei os brasileiros se mostram mais abertos a interrupcao da gravidez para 61 a mulher que corre esse risco deve ter o direito de abortar e para 53 a interrupcao deve ser permitida para vitimas de estupro o levantamento foi realizado com 2765 pessoas em 192 municipios do pais nos dias 29 e 30 de novembro quanto mais jovem escolarizado e com maior renda familiar mais favoravel a descriminalizacao do aborto os brasileiros de 16 a 24 anos sao os mais contrarios a punicao 44 acham que a mulher nao deve ir para a cadeia por abortar a taxa cai para 30 entre pessoas de 45 a 59 anos 61 deles defendem que o aborto deve continuar sendo um crime a apoio a descriminalizacao aumenta de acordo com o nivel de escolaridade para apenas 34 das pessoas com
1	cresce	crescer	VERB	VERB	_	0	root	_	TokenRange=0:6
2	apoio	apoio	NOUN	NOUN	_	1	nsubj	_	TokenRange=7:12
3	a	_	ADP	ADP	_	4	case	_	TokenRange=13:14
4	descriminalizacao	_	NOUN	NOUN	_	2	nmod	_	TokenRange=15:32
5-6	do	_	_	_	_	_	_	_	TokenRange=33:35
5	de	de	ADP	ADP	_	7	case	_	_
6	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	7	det	_	_
7	aborto	aborto	NOUN	NOUN	_	4	nmod	_	TokenRange=36:42
8	aponta	apontar	VERB	VERB	_	1	parataxis	_	TokenRange=43:49
9	pesquisa	pesquisa	NOUN	NOUN	_	8	obj	_	TokenRange=50:58
10	datafolha	datafolha	ADJ	ADJ	_	9	amod	_	TokenRange=59:68
11	a	o	DET	DET	_	12	det	_	TokenRange=69:70
12	maioria	maioria	NOUN	NOUN	_	17	nsubj	_	TokenRange=71:78
13-14	dos	_	_	_	_	_	_	_	TokenRange=79:82
13	de	de	ADP	ADP	_	15	case	_	_
14	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	15	det	_	_
15	brasileiros	brasileiro	NOUN	NOUN	_	12	nmod	_	TokenRange=83:94
16	57	_	NUM	NUM	NumType=Card	15	appos	_	TokenRange=95:97
17	acredita	acreditar	VERB	VERB	_	1	parataxis	_	TokenRange=98:106
18	que	que	CCONJ	CONJ	_	23	mark	_	TokenRange=107:110
19	a	o	DET	DET	_	20	det	_	TokenRange=111:112
20	mulher	mulher	NOUN	NOUN	_	23	nsubj:pass	_	TokenRange=113:119
21	deve	dever	AUX	AUX	_	23	aux	_	TokenRange=120:124
22	ser	ser	AUX	AUX	_	23	aux:pass	_	TokenRange=125:128
23	punida	punir	VERB	VERB	_	17	ccomp	_	TokenRange=129:135
24	e	e	CCONJ	CONJ	_	25	cc	_	TokenRange=136:137
25	ir	ir	VERB	VERB	_	23	conj	_	TokenRange=138:140
26	para	para	ADP	ADP	_	28	case	_	TokenRange=141:145
27	a	o	DET	DET	_	28	det	_	TokenRange=146:147
28	cadeia	cadeia	NOUN	NOUN	_	25	nmod	_	TokenRange=148:154
29	por	_	ADP	ADP	_	30	mark	_	TokenRange=155:158
30	fazer	fazer	VERB	VERB	_	23	advcl	_	TokenRange=159:164
31	um	um	DET	DET	_	32	det	_	TokenRange=165:167
32	aborto	aborto	NOUN	NOUN	_	30	obj	_	TokenRange=168:174
33	segundo	_	ADP	ADP	_	34	case	_	TokenRange=175:182
34	pesquisa	pesquisa	NOUN	NOUN	_	23	nmod	_	TokenRange=183:191
35	datafolha	_	PROPN	PNOUN	_	34	appos	_	TokenRange=192:201
36	mas	mas	CCONJ	CONJ	_	47	cc	_	TokenRange=202:205
37	a	o	DET	DET	_	210	det	_	TokenRange=206:207
38	taxa	taxa	NOUN	NOUN	_	216	nsubj	_	TokenRange=208:212
39	de	de	ADP	ADP	_	40	case	_	TokenRange=213:215
40	brasileiros	brasileiro	NOUN	NOUN	_	38	nmod	_	TokenRange=216:227
41	favoraveis	favoravel	ADJ	ADJ	_	40	amod	_	TokenRange=228:238
42	a	_	ADP	ADP	_	43	case	_	TokenRange=239:240
43	descriminalizacao	_	NOUN	NOUN	_	41	nmod	_	TokenRange=241:258
44-45	da	_	_	_	_	_	_	_	TokenRange=259:261
44	de	de	ADP	ADP	_	46	case	_	_
45	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	46	det	_	_
46	pratica	_	NOUN	NOUN	_	43	nmod	_	TokenRange=262:269
47	aumentou	aumentar	VERB	VERB	_	23	conj	_	TokenRange=270:278
48-49	no	_	_	_	_	_	_	_	TokenRange=279:281
48	em	em	ADP	ADP	_	51	case	_	_
49	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	51	det	_	_
50	ultimo	_	ADJ	ADJ	_	51	amod	_	TokenRange=282:288
51	ano	ano	NOUN	NOUN	_	47	nmod	_	TokenRange=289:292
52	passando	passar	VERB	VERB	_	175	acl	_	TokenRange=293:301
53	de	de	ADP	ADP	_	54	case	_	TokenRange=302:304
54	23	_	NUM	NUM	NumType=Card	52	nmod	_	TokenRange=305:307
55	para	para	ADP	ADP	_	56	case	_	TokenRange=308:312
56	36	_	NUM	NUM	NumType=Card	142	nmod	_	TokenRange=313:315
57	7	_	NUM	NUM	NumType=Card	262	nsubj	_	TokenRange=316:317
58-59	dos	_	_	_	_	_	_	_	TokenRange=318:321
58	de	de	ADP	ADP	_	60	case	_	_
59	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	60	det	_	_
60	entrevistados	entrevistado	NOUN	NOUN	_	57	nmod	_	TokenRange=322:335
61	nao	nao	ADV	ADV	Polarity=Neg	62	advmod	_	TokenRange=336:339
62	souberam	saber	VERB	VERB	_	223	ccomp	_	TokenRange=340:348
63	se	_	PRON	PRON	_	64	obj	_	TokenRange=349:351
64	posicionar	posicionar	VERB	VERB	_	62	ccomp	_	TokenRange=352:362
65	as	o	DET	DET	_	66	det	_	TokenRange=363:365
66	opinioes	opinioe	NOUN	NOUN	_	175	nsubj:pass	_	TokenRange=366:374
67	nao	nao	ADV	ADV	Polarity=Neg	68	advmod	_	TokenRange=375:378
68	variam	variar	VERB	VERB	_	223	ccomp	_	TokenRange=379:385
69	de	de	ADP	ADP	_	70	case	_	TokenRange=386:388
70	acordo	acordo	NOUN	NOUN	_	175	nmod	_	TokenRange=389:395
71	com	com	ADP	ADP	_	73	case	_	TokenRange=396:399
72	o	o	DET	DET	_	73	det	_	TokenRange=400:401
73	sexo	sexo	NOUN	NOUN	_	70	nmod	_	TokenRange=402:406
