# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = conheca os candidatos declarados a presidencia do senado eunicio oliveira pmdbce e jose medeiros psdmt afirmaram que entrarao na disputa inscricoes de candidatos sao aceitas ate antes da votacao marcada para as 16h desta quarta 1 apos ficar quatro anos sob o comando de renan calheiros pmdbal o senado ira escolher nesta quartafeira 1 quem ira presidir a casa ate fevereiro de 2019 o regimento interno permite que os senadores se lancem na disputa interna ate o inicio da votacao marcada para as 16h ate esta tercafeira 31 somente os senadores eunicio oliveira pmdbce e jose medeiros psdmt manifestaram interesse em concorrer ao cargo mas eles ainda nao tinham oficializado as candidaturas ate a ultima atualizacao desta reportagem o novo presidente acumulara a funcao com o comando do congresso nacional instituicao formada pela uniao da camara e do senado alem do poder politico e das regalias em jogo na eleicao o sucessor de renan sera o segundo na linha de sucessao da presidencia da republica favorito na corrida pela presidencia do senado eunicio oliveira 64 anos circula pelos corredores do congresso nacional desde 1998
1	conheca	conhecar	VERB	VERB	_	0	root	_	TokenRange=0:7
2	os	o	DET	DET	_	3	det	_	TokenRange=8:10
3	candidatos	candidato	NOUN	NOUN	_	1	obj	_	TokenRange=11:21
4	declarados	declarar	VERB	VERB	_	3	acl	_	TokenRange=22:32
5	a	_	ADP	ADP	_	6	case	_	TokenRange=33:34
6	presidencia	presidencia	NOUN	NOUN	_	4	nmod	_	TokenRange=35:46
7-8	do	_	_	_	_	_	_	_	TokenRange=47:49
7	de	de	ADP	ADP	_	9	case	_	_
8	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	9	det	_	_
9	senado	senado	NOUN	NOUN	_	6	nmod	_	TokenRange=50:56
10	eunicio	_	NOUN	NOUN	_	17	nsubj	_	TokenRange=57:64
11	oliveira	oliveira	NOUN	NOUN	_	10	flat	_	TokenRange=65:73
12	pmdbce	_	NOUN	NOUN	_	10	flat	_	TokenRange=74:80
13	e	e	CCONJ	CONJ	_	14	cc	_	TokenRange=81:82
14	jose	jose	NOUN	NOUN	_	10	conj	_	TokenRange=83:87
15	medeiros	medeiro	NOUN	NOUN	_	14	flat	_	TokenRange=88:96
16	psdmt	_	NOUN	NOUN	_	14	flat	_	TokenRange=97:102
17	afirmaram	afirmar	VERB	VERB	_	1	conj	_	TokenRange=103:112
18	que	que	CCONJ	CONJ	_	19	mark	_	TokenRange=113:116
19	entrarao	entrar	VERB	VERB	_	17	ccomp	_	TokenRange=117:125
20-21	na	_	_	_	_	_	_	_	TokenRange=126:128
20	em	em	ADP	ADP	_	22	case	_	_
21	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	22	det	_	_
22	disputa	disputa	NOUN	NOUN	_	19	nmod	_	TokenRange=129:136
23	inscricoes	inscricoe	NOUN	NOUN	_	27	nsubj:pass	_	TokenRange=137:147
24	de	de	ADP	ADP	_	25	case	_	TokenRange=148:150
25	candidatos	candidato	NOUN	NOUN	_	23	nmod	_	TokenRange=151:161
26	sao	_	AUX	AUX	_	27	aux:pass	_	TokenRange=162:165
27	aceitas	aceitar	VERB	VERB	_	17	ccomp	_	TokenRange=166:173
28	ate	_	ADP	ADP	_	29	mark	_	TokenRange=174:177
29	antes	antes	ADV	ADV	_	27	nmod	_	TokenRange=178:183
30-31	da	_	_	_	_	_	_	_	TokenRange=184:186
30	de	de	ADP	ADP	_	32	case	_	_
31	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	32	det	_	_
32	votacao	votacao	NOUN	NOUN	_	29	nmod	_	TokenRange=187:194
33	marcada	marcar	VERB	VERB	_	32	acl	_	TokenRange=195:202
34	para	para	ADP	ADP	_	36	case	_	TokenRange=203:207
35	as	o	DET	DET	_	36	det	_	TokenRange=208:210
36	16h	_	NUM	NUM	NumType=Card	33	nmod	_	TokenRange=211:214
37	desta	_	ADP	ADP	_	38	case	_	TokenRange=215:220
38	quarta	_	PROPN	PNOUN	_	36	nmod	_	TokenRange=221:227
39	1	_	NUM	NUM	NumType=Card	38	appos	_	TokenRange=228:229
