# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = oito oportunidades para empreender no segmento de eficiencia energetica foram identificadas em estudo feito em conjunto pela aes tiete eletropaulo e a aceleradora de negocios de impacto social artemisia acesso a energia geracao e distribuicao descentralizada de energia inteligencia de dados para eficiencia energetica eficiencia energetica por meio da adequacao de imoveis e equipamentos eficiencia energetica na gestao e em equipamentos publicos energia para producao no campo meios de financiamento para acesso a servicos de energia nao convencional e capacitacao e oportunidades para profissionais sao as oportunidades detectadas gerente de projetos da artemisia paula sato afirma que os parceiros do estudo esperam que o resultado obtido sirva de base para que quem quer investir no segmento o faca
1	oito	_	NUM	NUM	NumType=Card	2	nummod	_	TokenRange=0:4
2	oportunidades	oportunidade	NOUN	NOUN	_	12	nsubj:pass	_	TokenRange=5:18
3	para	_	ADP	ADP	_	4	mark	_	TokenRange=19:23
4	empreender	empreender	VERB	VERB	_	2	nmod	_	TokenRange=24:34
5-6	no	_	_	_	_	_	_	_	TokenRange=35:37
5	em	em	ADP	ADP	_	7	case	_	_
6	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	7	det	_	_
7	segmento	segmento	NOUN	NOUN	_	4	nmod	_	TokenRange=38:46
8	de	de	ADP	ADP	_	9	case	_	TokenRange=47:49
9	eficiencia	eficiencia	NOUN	NOUN	_	7	nmod	_	TokenRange=50:60
10	energetica	energetico	ADJ	ADJ	_	9	amod	_	TokenRange=61:71
11	foram	_	AUX	AUX	_	12	aux:pass	_	TokenRange=72:77
12	identificadas	identificar	VERB	VERB	_	0	root	_	TokenRange=78:91
13	em	em	ADP	ADP	_	14	case	_	TokenRange=92:94
14	estudo	estudo	NOUN	NOUN	_	12	nmod	_	TokenRange=95:101
15	feito	_	VERB	VERB	_	14	acl	_	TokenRange=102:107
16	em	em	ADP	ADP	_	17	case	_	TokenRange=108:110
17	conjunto	conjunto	NOUN	NOUN	_	15	nmod	_	TokenRange=111:119
18-19	pela	_	_	_	_	_	_	_	TokenRange=120:124
18	por	por	ADP	ADP	_	20	case	_	_
19	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	20	det	_	_
20	aes	_	NOUN	NOUN	_	15	nmod	_	TokenRange=125:128
21	tiete	tiete	NOUN	NOUN	_	20	flat	_	TokenRange=129:134
22	eletropaulo	_	NOUN	NOUN	_	20	flat	_	TokenRange=135:146
23	e	e	CCONJ	CONJ	_	25	cc	_	TokenRange=147:148
24	a	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	25	det	_	TokenRange=149:150
25	aceleradora	acelerador	NOUN	NOUN	_	20	conj	_	TokenRange=151:162
26	de	de	ADP	ADP	_	27	case	_	TokenRange=163:165
27	negocios	negocio	NOUN	NOUN	_	25	nmod	_	TokenRange=166:174
28	de	de	ADP	ADP	_	29	case	_	TokenRange=175:177
29	impacto	impacto	NOUN	NOUN	_	25	nmod	_	TokenRange=178:185
30	social	social	ADJ	ADJ	_	29	amod	_	TokenRange=186:192
31	artemisia	artemisiar	VERB	VERB	_	12	parataxis	_	TokenRange=193:202
32	acesso	acesso	NOUN	NOUN	_	31	obj	_	TokenRange=203:209
33	a	_	ADP	ADP	_	34	case	_	TokenRange=210:211
34	energia	energia	NOUN	NOUN	_	32	nmod	_	TokenRange=212:219
35	geracao	geracao	NOUN	NOUN	_	34	amod	_	TokenRange=220:227
36	e	e	CCONJ	CONJ	_	37	cc	_	TokenRange=228:229
37	distribuicao	distribuicao	NOUN	NOUN	_	35	conj	_	TokenRange=230:242
38	descentralizada	descentralizado	ADJ	ADJ	_	37	amod	_	TokenRange=243:258
39	de	de	ADP	ADP	_	40	case	_	TokenRange=259:261
40	energia	energia	NOUN	NOUN	_	37	nmod	_	TokenRange=262:269
41	inteligencia	inteligencia	NOUN	NOUN	_	31	nsubj	_	TokenRange=270:282
42	de	de	ADP	ADP	_	43	case	_	TokenRange=283:285
43	dados	dado	NOUN	NOUN	_	41	nmod	_	TokenRange=286:291
44	para	para	ADP	ADP	_	45	case	_	TokenRange=292:296
45	eficiencia	eficiencia	NOUN	NOUN	_	41	nmod	_	TokenRange=297:307
46	energetica	energetico	ADJ	ADJ	_	45	amod	_	TokenRange=308:318
47	eficiencia	eficiencia	NOUN	NOUN	_	41	appos	_	TokenRange=319:329
48	energetica	energetico	ADJ	ADJ	_	47	amod	_	TokenRange=330:340
49	por	por	ADP	ADP	_	50	case	_	TokenRange=341:344
50	meio	meio	NOUN	NOUN	_	41	nmod	_	TokenRange=345:349
51-52	da	_	_	_	_	_	_	_	TokenRange=350:352
51	de	de	ADP	ADP	_	53	case	_	_
52	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	53	det	_	_
53	adequacao	adequacao	NOUN	NOUN	_	50	nmod	_	TokenRange=353:362
54	de	de	ADP	ADP	_	55	case	_	TokenRange=363:365
55	imoveis	imovel	NOUN	NOUN	_	53	nmod	_	TokenRange=366:373
56	e	e	CCONJ	CONJ	_	57	cc	_	TokenRange=374:375
57	equipamentos	equipamento	NOUN	NOUN	_	55	conj	_	TokenRange=376:388
58	eficiencia	eficiencia	NOUN	NOUN	_	41	appos	_	TokenRange=389:399
59	energetica	energetico	ADJ	ADJ	_	58	amod	_	TokenRange=400:410
60-61	na	_	_	_	_	_	_	_	TokenRange=411:413
60	em	em	ADP	ADP	_	62	case	_	_
61	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	62	det	_	_
62	gestao	gestao	NOUN	NOUN	_	58	nmod	_	TokenRange=414:420
63	e	e	CCONJ	CONJ	_	65	cc	_	TokenRange=421:422
64	em	em	ADP	ADP	_	65	case	_	TokenRange=423:425
65	equipamentos	equipamento	NOUN	NOUN	_	62	conj	_	TokenRange=426:438
66	publicos	publico	ADJ	ADJ	_	65	amod	_	TokenRange=439:447
67	energia	energia	NOUN	NOUN	_	92	nsubj	_	TokenRange=448:455
68	para	para	ADP	ADP	_	69	case	_	TokenRange=456:460
69	producao	producao	NOUN	NOUN	_	67	nmod	_	TokenRange=461:469
70-71	no	_	_	_	_	_	_	_	TokenRange=470:472
70	em	em	ADP	ADP	_	72	case	_	_
71	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	72	det	_	_
72	campo	campo	NOUN	NOUN	_	69	nmod	_	TokenRange=473:478
73	meios	_	NOUN	NOUN	_	92	nsubj	_	TokenRange=479:484
74	de	de	ADP	ADP	_	75	case	_	TokenRange=485:487
75	financiamento	financiamento	NOUN	NOUN	_	73	nmod	_	TokenRange=488:501
76	para	para	ADP	ADP	_	77	case	_	TokenRange=502:506
77	acesso	acesso	NOUN	NOUN	_	73	nmod	_	TokenRange=507:513
78	a	_	ADP	ADP	_	79	case	_	TokenRange=514:515
79	servicos	servico	NOUN	NOUN	_	77	nmod	_	TokenRange=516:524
80	de	de	ADP	ADP	_	81	case	_	TokenRange=525:527
81	energia	energia	NOUN	NOUN	_	79	nmod	_	TokenRange=528:535
82	nao	nao	ADV	ADV	Polarity=Neg	83	advmod	_	TokenRange=536:539
83	convencional	convencional	ADJ	ADJ	_	79	amod	_	TokenRange=540:552
84	e	e	CCONJ	CONJ	_	85	cc	_	TokenRange=553:554
85	capacitacao	capacitacao	NOUN	NOUN	_	79	conj	_	TokenRange=555:566
86	e	e	CCONJ	CONJ	_	87	cc	_	TokenRange=567:568
87	oportunidades	oportunidade	NOUN	NOUN	_	85	conj	_	TokenRange=569:582
88	para	para	ADP	ADP	_	89	case	_	TokenRange=583:587
89	profissionais	profissional	NOUN	NOUN	_	87	nmod	_	TokenRange=588:601
90	sao	_	AUX	AUX	_	92	cop	_	TokenRange=602:605
91	as	o	DET	DET	_	92	det	_	TokenRange=606:608
92	oportunidades	oportunidade	NOUN	NOUN	_	102	ccomp	_	TokenRange=609:622
93	detectadas	detectar	VERB	VERB	_	92	acl	_	TokenRange=623:633
94	gerente	gerente	NOUN	NOUN	_	93	nsubj	_	TokenRange=634:641
95	de	de	ADP	ADP	_	96	case	_	TokenRange=642:644
96	projetos	projeto	NOUN	NOUN	_	94	nmod	_	TokenRange=645:653
97-98	da	_	_	_	_	_	_	_	TokenRange=654:656
97	de	de	ADP	ADP	_	99	case	_	_
98	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	99	det	_	_
