# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = morreu ontem aos 92 anos o grande mestre do cinema latinoamericano fernando birri argentino oriundo da escuela de santa fe autor do seminal tiredie e de outros filmes importantes como los inundados org etc autor de livros poemas desenhos malabarista de ideias e ideais birri foi fundador da escuela de cine de cine y tv de san antonio de los banos em cuba sua influencia sobre o cinema latinoamericano mal pode ser avaliada neste momento mais que um artista era um utopista e como tal sabia que nao existe nada mais triste e morto que um homem sem sonhos birri se foi seu legado fica inesquecivel para cineastas e amigos que tivemos a sorte de com ele conviver va em paz maestro abaixo um texto que escrevi sobre ele aqui mesmo no estadao todo mundo o considera um dos pais do moderno cinema latinoamericano mas o argentino fernando birri prefere que o chamem de mascate de imagens foi assim mesmo que ele se definiu em sua recente passagem pelo brasil no cine ceara onde foi apresentar seu filme mi hijo el che feito a partir de entrevistas com o pai de che guevara ernesto guevara lynch sou um errante sigo pelos paises do mundo com essas pequenas imagens no bau como os antigos caixeirosviajavam pelas estradas com seus tecidos e seus botoes disse na apresentacao do filme em fortaleza vou vendo o que as pessoas precisam e se estiver ao meu alcance fornecolhes essas minhas modestas imagens o mascate de imagens nao poderia ter aparencia mais apropriada alias ele mesmo se parece com o titulo de outro dos seus filmes um senhor muito velho com as asas enormes titulo adaptado de
1	morreu	morrer	VERB	VERB	_	0	root	_	TokenRange=0:6
2	ontem	ontem	ADV	ADV	_	1	advmod	_	TokenRange=7:12
3-4	aos	_	_	_	_	_	_	_	TokenRange=13:16
3	a	a	ADP	ADP	_	6	case	_	_
4	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	6	det	_	_
5	92	_	NUM	NUM	NumType=Card	6	nummod	_	TokenRange=17:19
6	anos	ano	NOUN	NOUN	_	1	nmod	_	TokenRange=20:24
7	o	o	DET	DET	_	9	det	_	TokenRange=25:26
8	grande	grande	ADJ	ADJ	_	9	amod	_	TokenRange=27:33
9	mestre	mestre	NOUN	NOUN	_	1	nsubj	_	TokenRange=34:40
10-11	do	_	_	_	_	_	_	_	TokenRange=41:43
10	de	de	ADP	ADP	_	12	case	_	_
11	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	12	det	_	_
12	cinema	cinema	NOUN	NOUN	_	9	nmod	_	TokenRange=44:50
13	latinoamericano	latinoamericano	ADJ	ADJ	_	12	amod	_	TokenRange=51:66
14	fernando	fernando	NOUN	NOUN	_	9	appos	_	TokenRange=67:75
15	birri	birri	NOUN	NOUN	_	14	flat	_	TokenRange=76:81
16	argentino	argentino	ADJ	ADJ	_	9	amod	_	TokenRange=82:91
17	oriundo	oriundo	ADJ	ADJ	_	9	amod	_	TokenRange=92:99
18-19	da	_	_	_	_	_	_	_	TokenRange=100:102
18	de	de	ADP	ADP	_	20	case	_	_
19	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	20	det	_	_
20	escuela	escuela	NOUN	NOUN	_	17	nmod	_	TokenRange=103:110
21	de	de	ADP	ADP	_	23	case	_	TokenRange=111:113
