# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = prefeito de porto alegre pede ao governo federal reforco na seguranca para julgamento de lula oficios foram enviados ao presidente michel temer pmdb ao ministro da defesa raul jungmann e tambem ao governador jose ivo sartori pmdb e ao secretario da seguranca publica do rio grande do sul cezar schirmer a prefeitura de porto alegre pediu ao governo federal que a seguranca seja reforcada para o julgamento do expresidente luiz inacio lula da silva marcado para 24 de janeiro no tribunal regional federal da 4 regiao trf4 que fica no bairro praia de belas regiao central da cidade lula foi condenado em primeira instancia na lava jato por corrupcao passiva e lavagem de dinheiro a 9 anos e 6 meses de prisao e recorre em liberdade o trf4 julga os processos a lava jato em segunda instancia conforme nota divulgada pela prefeitura nelson marchezan junior psdb pediu o reforco para preservar a integridade dos cidadaos e do patrimonio coletivo leia o comunicado abaixo na integra ao g1 o ministro da defesa raul jungmann explicou que conforme a constituicao caberia ao governador solicitar ao presidente da republica a acao de glo garantia da lei e da ordem para o emprego das forcas armadas questionada pelo g1 a
1	prefeito	prefeito	NOUN	NOUN	_	5	nsubj	_	TokenRange=0:8
2	de	de	ADP	ADP	_	3	case	_	TokenRange=9:11
3	porto	porto	NOUN	NOUN	_	1	nmod	_	TokenRange=12:17
4	alegre	alegre	ADJ	ADJ	_	3	amod	_	TokenRange=18:24
5	pede	pedir	VERB	VERB	_	0	root	_	TokenRange=25:29
6-7	ao	_	_	_	_	_	_	_	TokenRange=30:32
6	a	a	ADP	ADP	_	8	case	_	_
7	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	8	det	_	_
8	governo	governo	NOUN	NOUN	_	5	iobj	_	TokenRange=33:40
9	federal	federal	ADJ	ADJ	_	8	amod	_	TokenRange=41:48
10	reforco	reforco	NOUN	NOUN	_	5	obj	_	TokenRange=49:56
11-12	na	_	_	_	_	_	_	_	TokenRange=57:59
11	em	em	ADP	ADP	_	13	case	_	_
12	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	13	det	_	_
13	seguranca	_	NOUN	NOUN	_	10	nmod	_	TokenRange=60:69
14	para	para	ADP	ADP	_	15	case	_	TokenRange=70:74
15	julgamento	julgamento	NOUN	NOUN	_	5	nmod	_	TokenRange=75:85
16	de	de	ADP	ADP	_	17	case	_	TokenRange=86:88
17	lula	lula	NOUN	NOUN	_	15	nmod	_	TokenRange=89:93
18	oficios	oficio	NOUN	NOUN	_	20	nsubj:pass	_	TokenRange=94:101
19	foram	_	AUX	AUX	_	20	aux:pass	_	TokenRange=102:107
