# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = quartafeira 14 de fevereiro de 2018 boa noite aqui estao as principais noticias para voce terminar o dia beminformado a beijaflor se sagrou a grande campea do carnaval do rio 2018 a escola de nilopolis levou seu 14 titulo com enredo que falava de corrupcao e intolerancia o vicecampeonato ficou para a surpreendente paraiso do tuiuti que tambem fez um desfile com muitos protestos ja em clima de fim de carnaval a presidente do stf carmen lucia decidiu que o caso cristiane brasil e de competencia do stf e assim a posse da deputada como ministra do trabalho segue em suspenso em apuracao bastante acirrada a beijaflor levou o 14 titulo de sua historia o 9 nos ultimos 20 anos corrupcao desigualdade violencia e intolerancias de genero racial religiosa e ate esportiva formaram o cenario de brasil monstruoso do enredo comandado por neguinho da beijaflor o sambaenredo foi cantado em coro pelo publico da sapucai que ao final do desfile ocupou
1	quartafeira	quartafeira	NOUN	NOUN	_	26	parataxis	_	TokenRange=0:11
2	14	_	NUM	NUM	NumType=Card	1	nmod	_	TokenRange=12:14
3	de	de	ADP	ADP	_	4	case	_	TokenRange=15:17
4	fevereiro	_	PROPN	PNOUN	_	2	nmod	_	TokenRange=18:27
5	de	de	ADP	ADP	_	6	case	_	TokenRange=28:30
6	2018	_	NUM	NUM	NumType=Card	4	nmod	_	TokenRange=31:35
7	boa	bom	ADJ	ADJ	_	8	amod	_	TokenRange=36:39
8	noite	noite	NOUN	NOUN	_	10	nsubj	_	TokenRange=40:45
9	aqui	aqui	ADV	ADV	_	10	advmod	_	TokenRange=46:50
10	estao	_	VERB	VERB	_	1	acl:relcl	_	TokenRange=51:56
11	as	o	DET	DET	_	13	det	_	TokenRange=57:59
12	principais	principal	ADJ	ADJ	_	13	amod	_	TokenRange=60:70
13	noticias	noticia	NOUN	NOUN	_	10	nsubj	_	TokenRange=71:79
14	para	_	ADP	ADP	_	16	mark	_	TokenRange=80:84
15	voce	_	PRON	PRON	_	16	nsubj	_	TokenRange=85:89
16	terminar	terminar	VERB	VERB	_	13	nmod	_	TokenRange=90:98
17	o	o	DET	DET	_	18	det	_	TokenRange=99:100
18	dia	dia	NOUN	NOUN	_	16	obj	_	TokenRange=101:104
19	beminformado	beminformado	ADJ	ADJ	_	18	amod	_	TokenRange=105:117
20	a	o	DET	DET	_	21	det	_	TokenRange=118:119
21	beijaflor	beijaflor	NOUN	NOUN	_	26	nsubj	_	TokenRange=120:129
22	se	_	PRON	PRON	_	26	expl:pv	_	TokenRange=130:132
23	sagrou	sagrar	AUX	AUX	_	26	cop	_	TokenRange=133:139
24	a	o	DET	DET	_	26	det	_	TokenRange=140:141
25	grande	grande	ADJ	ADJ	_	26	amod	_	TokenRange=142:148
26	campea	campea	NOUN	NOUN	_	0	root	_	TokenRange=149:155
27-28	do	_	_	_	_	_	_	_	TokenRange=156:158
27	de	de	ADP	ADP	_	29	case	_	_
28	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	29	det	_	_
29	carnaval	carnaval	NOUN	NOUN	_	26	nmod	_	TokenRange=159:167
30-31	do	_	_	_	_	_	_	_	TokenRange=168:170
30	de	de	ADP	ADP	_	32	case	_	_
31	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	32	det	_	_
32	rio	_	NOUN	NOUN	_	29	nmod	_	TokenRange=171:174
33	2018	_	NUM	NUM	NumType=Card	32	nmod	_	TokenRange=175:179
34	a	o	DET	DET	_	35	det	_	TokenRange=180:181
