# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = sabe como chamo o celular e a internet praia dos covardes diz rosamaria murtinho a atriz participou da primeira fase de deus salve o rei como a rainha de montemor ela tem 82 anos e gosta do contato humano comunicarse com alguem atraves de mensagens instantaneas raramente o negocio dela e ouvir a voz do outro tive que me tornar uma pessoa mais tecnologica e aceitar essa coisa horrorosa celular que nao e da minha geracao mas tem certas coisas das quais nao abro mao como uma ligacao telefonica nao posso ficar procurando por mensagens de quem quer falar comigo quem quiser e so me telefonar ficar com celular na mao esta virando vicio diz rosamaria murtinho casada ha quase 60 anos com o ator mauro mendonca a atriz participou da primeira fase de deus salve o rei como a rainha de montemor criselia novela das sete da globo apesar da morte da personagem a monarca ainda aparece em flashbacks na trama numa reflexao
1	sabe	saber	VERB	VERB	_	0	root	_	TokenRange=0:4
2	como	como	ADV	ADV	_	3	advmod	_	TokenRange=5:9
3	chamo	chamar	VERB	VERB	_	1	ccomp	_	TokenRange=10:15
4	o	o	DET	DET	_	5	det	_	TokenRange=16:17
5	celular	_	NOUN	NOUN	_	3	obj	_	TokenRange=18:25
6	e	e	CCONJ	CONJ	_	8	cc	_	TokenRange=26:27
7	a	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	8	det	_	TokenRange=28:29
8	internet	_	PROPN	PNOUN	_	5	conj	_	TokenRange=30:38
9	praia	praia	NOUN	NOUN	_	3	obj	_	TokenRange=39:44
10-11	dos	_	_	_	_	_	_	_	TokenRange=45:48
10	de	de	ADP	ADP	_	12	case	_	_
11	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	12	det	_	_
12	covardes	covarde	NOUN	NOUN	_	9	nmod	_	TokenRange=49:57
13	diz	dizer	VERB	VERB	_	1	parataxis	_	TokenRange=58:61
