# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = estou com a tranquilidade dos inocentes diz lula no dia da analise do habeas corpus pelo stf expresidente disse esperar julgamento digno de esferas superiores da justica porto alegre no dia em que o supremo tribunal federal julga seu pedido de habeas corpus o expresidente luiz inacio lula da silva afirmou nesta quintafeira 22 estar com a tranquilidade dos inocentes em entrevista concedida a jornalistas da radio guaiba o petista disse que espera um julgamento digno das esferas superiores da justica juristas avaliam julgamento que pode mandar lula para a prisao da
1	estou	estar	VERB	VERB	_	0	root	_	TokenRange=0:5
2	com	com	ADP	ADP	_	4	case	_	TokenRange=6:9
3	a	o	DET	DET	_	4	det	_	TokenRange=10:11
4	tranquilidade	tranquilidade	NOUN	NOUN	_	1	nmod	_	TokenRange=12:25
5-6	dos	_	_	_	_	_	_	_	TokenRange=26:29
5	de	de	ADP	ADP	_	7	case	_	_
6	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	7	det	_	_
7	inocentes	inocente	NOUN	NOUN	_	4	nmod	_	TokenRange=30:39
8	diz	dizer	VERB	VERB	_	1	parataxis	_	TokenRange=40:43
9	lula	lula	NOUN	NOUN	_	8	nsubj	_	TokenRange=44:48
10-11	no	_	_	_	_	_	_	_	TokenRange=49:51
10	em	em	ADP	ADP	_	12	case	_	_
11	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	12	det	_	_
12	dia	dia	NOUN	NOUN	_	1	nmod	_	TokenRange=52:55
13-14	da	_	_	_	_	_	_	_	TokenRange=56:58
13	de	de	ADP	ADP	_	15	case	_	_
14	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	15	det	_	_
15	analise	analise	NOUN	NOUN	_	12	nmod	_	TokenRange=59:66
16-17	do	_	_	_	_	_	_	_	TokenRange=67:69
16	de	de	ADP	ADP	_	18	case	_	_
17	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	18	det	_	_
18	habeas	habeas	NOUN	NOUN	_	15	nmod	_	TokenRange=70:76
19	corpus	corpus	NOUN	NOUN	_	18	flat	_	TokenRange=77:83
20-21	pelo	_	_	_	_	_	_	_	TokenRange=84:88
20	por	por	ADP	ADP	_	22	case	_	_
21	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	22	det	_	_
22	stf	_	NOUN	NOUN	_	15	nmod	_	TokenRange=89:92
23	expresidente	expresidente	NOUN	NOUN	_	24	nsubj	_	TokenRange=93:105
24	disse	dizer	VERB	VERB	_	1	conj	_	TokenRange=106:111
25	esperar	esperar	VERB	VERB	_	24	xcomp	_	TokenRange=112:119
26	julgamento	julgamento	NOUN	NOUN	_	25	obj	_	TokenRange=120:130
27	digno	digno	ADJ	ADJ	_	26	amod	_	TokenRange=131:136
28	de	de	ADP	ADP	_	29	case	_	TokenRange=137:139
29	esferas	esfera	NOUN	NOUN	_	26	nmod	_	TokenRange=140:147
30	superiores	superior	ADJ	ADJ	_	29	amod	_	TokenRange=148:158
31-32	da	_	_	_	_	_	_	_	TokenRange=159:161
31	de	de	ADP	ADP	_	33	case	_	_
32	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	33	det	_	_
33	justica	_	NOUN	NOUN	_	29	nmod	_	TokenRange=162:169
34	porto	porto	NOUN	NOUN	_	26	appos	_	TokenRange=170:175
35	alegre	alegre	ADJ	ADJ	_	34	amod	_	TokenRange=176:182
36-37	no	_	_	_	_	_	_	_	TokenRange=183:185
36	em	em	ADP	ADP	_	38	case	_	_
37	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	38	det	_	_
38	dia	dia	NOUN	NOUN	_	25	nmod	_	TokenRange=186:189
39	em	em	ADP	ADP	_	40	case	_	TokenRange=190:192
40	que	_	PRON	PRON	_	45	nmod	_	TokenRange=193:196
41	o	o	DET	DET	_	43	det	_	TokenRange=197:198
42	supremo	supremo	ADJ	ADJ	_	43	amod	_	TokenRange=199:206
43	tribunal	tribunal	NOUN	NOUN	_	45	nsubj	_	TokenRange=207:215
44	federal	federal	ADJ	ADJ	_	43	amod	_	TokenRange=216:223
45	julga	julgar	VERB	VERB	_	38	acl:relcl	_	TokenRange=224:229
46	seu	_	DET	DET	_	47	det:poss	_	TokenRange=230:233
47	pedido	pedido	NOUN	NOUN	_	45	obj	_	TokenRange=234:240
48	de	de	ADP	ADP	_	49	case	_	TokenRange=241:243
49	habeas	habeas	NOUN	NOUN	_	47	nmod	_	TokenRange=244:250
