# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = saiba como votou cada ministro do stf na decisao que liberou jose dirceu defesa de exministro conseguiu revogar ordem de prisao decretada pelo juiz federal sergio moro responsavel pela operacao lava jato na primeira instancia da justica federal a segunda turma do supremo tribunal federal stf decidiu nesta tercafeira 25 soltar o exministrochefe da casa civil jose dirceu condenado duas vezes pela lava jato o petista esta preso em curitiba desde agosto de 2015 a decisao foi por 3 votos a 2 votaram a favor da soltura os ministros dias toffoli ricardo lewandowski e gilmar mendes o relator edson fachin e celso de mello votaram pela manutencao da prisao em duas sentencas de sergio moro dirceu foi condenado a mais de 31 anos de prisao por corrupcao passiva lavagem de dinheiro e organizacao criminosa o entendimento do stf no entanto e que a prisao definitiva so e possivel apos a condenacao em segunda
1	saiba	saber	VERB	VERB	_	0	root	_	TokenRange=0:5
2	como	_	CCONJ	CONJ	_	3	mark	_	TokenRange=6:10
3	votou	votar	VERB	VERB	_	1	advcl	_	TokenRange=11:16
4	cada	_	DET	DET	_	5	det	_	TokenRange=17:21
5	ministro	ministro	NOUN	NOUN	_	3	nsubj	_	TokenRange=22:30
6-7	do	_	_	_	_	_	_	_	TokenRange=31:33
6	de	de	ADP	ADP	_	8	case	_	_
7	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	8	det	_	_
8	stf	_	NOUN	NOUN	_	5	nmod	_	TokenRange=34:37
9-10	na	_	_	_	_	_	_	_	TokenRange=38:40
9	em	em	ADP	ADP	_	11	case	_	_
10	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	11	det	_	_
11	decisao	decisao	NOUN	NOUN	_	5	nmod	_	TokenRange=41:48
12	que	_	PRON	PRON	_	13	nsubj	_	TokenRange=49:52
13	liberou	liberar	VERB	VERB	_	11	acl:relcl	_	TokenRange=53:60
14	jose	jose	NOUN	NOUN	_	13	obj	_	TokenRange=61:65
15	dirceu	dirceu	ADJ	ADJ	_	14	flat	_	TokenRange=66:72
16	defesa	_	NOUN	NOUN	_	13	nsubj	_	TokenRange=73:79
17	de	de	ADP	ADP	_	18	case	_	TokenRange=80:82
18	exministro	exministro	NOUN	NOUN	_	16	nmod	_	TokenRange=83:93
19	conseguiu	conseguir	VERB	VERB	_	1	ccomp	_	TokenRange=94:103
20	revogar	revogar	VERB	VERB	_	19	xcomp	_	TokenRange=104:111
21	ordem	ordem	NOUN	NOUN	_	20	obj	_	TokenRange=112:117
22	de	de	ADP	ADP	_	23	case	_	TokenRange=118:120
23	prisao	prisao	NOUN	NOUN	_	21	nmod	_	TokenRange=121:127
24	decretada	decretar	VERB	VERB	_	21	acl	_	TokenRange=128:137
25-26	pelo	_	_	_	_	_	_	_	TokenRange=138:142
25	por	por	ADP	ADP	_	27	case	_	_
26	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	27	det	_	_
27	juiz	juiz	NOUN	NOUN	_	24	nmod	_	TokenRange=143:147
28	federal	federal	ADJ	ADJ	_	27	amod	_	TokenRange=148:155
29	sergio	sergio	NOUN	NOUN	_	27	appos	_	TokenRange=156:162
30	moro	moro	NOUN	NOUN	_	29	flat	_	TokenRange=163:167
31	responsavel	responsavel	ADJ	ADJ	_	27	amod	_	TokenRange=168:179
32-33	pela	_	_	_	_	_	_	_	TokenRange=180:184
