# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = reveja todos os videos do quadro partiurs do jornal do almoco telejornal mostra aos sabados destinos e curiosidades do rio grande do sul confira tambem dicas de gastronomia e hospedagem nas cidades gauchas o rio grande do sul e conhecido por suas belezas naturais que vao da serra ao litoral alem de sua diversidade cultural trazida pelos imigrantes que vao da arquitetura a gastronomia desde o primeiro sabado de junho de 2016 o jornal do almoco exibido pela rbs tv apresenta o quadro partiurs que apresenta destinos curiosidades e sabores das diferentes regioes do estado voce pode participar do quadro com um registro em foto ou video apresentando belezas curiosidades e destinos da cidade escolhida em seguida encaminhe o material por meio da plataforma vc no g1 rs basta preencher um cadastro no portal da globocom para participar e so clicar aqui com pouco mais de 7 mil habitantes manoel viana e uma das mais novas cidades da regiao oeste do rio grande do sul tem apenas 25 anos mesmo pequena e jovem o municipio tem bastante potencial turistico por la da para se aventurar ou simplesmente descansar no balneario e camping rainha do sol entre o oceano atlantico e a lagoa dos patos a cidade de sao jose do norte tem uma forte relacao com a agua com lindas paisagens a fe dos moradores esta na natureza de onde tambem vem o sustento do interior do
1	reveja	rever	VERB	VERB	_	0	root	_	TokenRange=0:6
2	todos	_	DET	DET	_	4	det	_	TokenRange=7:12
3	os	o	DET	DET	_	4	det	_	TokenRange=13:15
4	videos	video	NOUN	NOUN	_	1	obj	_	TokenRange=16:22
5-6	do	_	_	_	_	_	_	_	TokenRange=23:25
5	de	de	ADP	ADP	_	7	case	_	_
6	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	7	det	_	_
7	quadro	quadro	NOUN	NOUN	_	4	nmod	_	TokenRange=26:32
8	partiurs	_	NOUN	NOUN	_	7	flat	_	TokenRange=33:41
9-10	do	_	_	_	_	_	_	_	TokenRange=42:44
9	de	de	ADP	ADP	_	11	case	_	_
10	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	11	det	_	_
11	jornal	jornal	NOUN	NOUN	_	7	nmod	_	TokenRange=45:51
12-13	do	_	_	_	_	_	_	_	TokenRange=52:54
12	de	de	ADP	ADP	_	14	case	_	_
13	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	14	det	_	_
14	almoco	almoco	NOUN	NOUN	_	11	nmod	_	TokenRange=55:61
15	telejornal	telejornal	ADJ	ADJ	_	14	amod	_	TokenRange=62:72
16	mostra	mostrar	VERB	VERB	_	1	parataxis	_	TokenRange=73:79
17-18	aos	_	_	_	_	_	_	_	TokenRange=80:83
17	a	a	ADP	ADP	_	20	case	_	_
18	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	20	det	_	_
19	sabados	sabado	ADJ	ADJ	_	20	amod	_	TokenRange=84:91
20	destinos	destino	NOUN	NOUN	_	16	nmod	_	TokenRange=92:100
21	e	e	CCONJ	CONJ	_	22	cc	_	TokenRange=101:102
22	curiosidades	curiosidade	NOUN	NOUN	_	20	conj	_	TokenRange=103:115
23-24	do	_	_	_	_	_	_	_	TokenRange=116:118
23	de	de	ADP	ADP	_	25	case	_	_
24	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	25	det	_	_
25	rio	rio	NOUN	NOUN	_	20	nmod	_	TokenRange=119:122
26	grande	grande	ADJ	ADJ	_	25	amod	_	TokenRange=123:129
27-28	do	_	_	_	_	_	_	_	TokenRange=130:132
27	de	de	ADP	ADP	_	29	case	_	_
28	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	29	det	_	_
29	sul	sul	NOUN	NOUN	_	25	nmod	_	TokenRange=133:136
30	confira	conferir	VERB	VERB	_	1	conj	_	TokenRange=137:144
31	tambem	tambem	ADV	ADV	_	30	advmod	_	TokenRange=145:151
32	dicas	dica	NOUN	NOUN	_	30	obj	_	TokenRange=152:157
33	de	de	ADP	ADP	_	34	case	_	TokenRange=158:160
34	gastronomia	gastronomia	NOUN	NOUN	_	32	nmod	_	TokenRange=161:172
