# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = na semana passada afirmei que a camara e o senado perderam a vergonha de vez nas votacoes relampago da falsa reforma politica e do refis que perdoaria dividas de suspeitos de corrupcao com a uniao e terminou dando descontos de ate 90 a parlamentares sonegadores de impostos entre eles o relator da medida provisoria na camara newton cardoso jr a mesma conclusao agora serve para temer que convocado para opinar sobre eventual manutencao das medidas cautelares que impedem o senador aecio neves de exercer o mandato e o confinam ao lar a noite se mete nesse angu defendendo seus proprios interesses os investigados da republica em brasilia se reunem agora num sindicato de rabos de palha preso uma vergonha generalizada comentario no jornal eldorado da radio eldorado fm 1073 na segundafeira 9 de outubro de 2017 as 7h30 para ouvir clique aqui e em seguida no play para ouvir marcha do remador com mc marcelly clique aqui abaixo a integra da degravacao do comentario eldorado 9 de outubro de 2017 sextafeira parecer da advocacia geral da uniao e contra afastamento de parlamentares o supremo deve definir nesta semana se congresso nacional tera a palavra final sobre a aplicacao de medidas cautelares a parlamentares por que temer mandou um parecer que vai alem do pedido original da acao encaminhada ao supremo contra cunha de acordo com reportagem de breno pires reporter do estadao em brasilia apos o senado
1-2	na	_	_	_	_	_	_	_	TokenRange=0:2
1	em	em	ADP	ADP	_	3	case	_	_
2	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	3	det	_	_
3	semana	semana	NOUN	NOUN	_	5	nmod	_	TokenRange=3:9
4	passada	passado	ADJ	ADJ	_	3	amod	_	TokenRange=10:17
5	afirmei	afirmar	VERB	VERB	_	0	root	_	TokenRange=18:25
6	que	que	CCONJ	CONJ	_	12	mark	_	TokenRange=26:29
7	a	o	DET	DET	_	8	det	_	TokenRange=30:31
8	camara	camara	NOUN	NOUN	_	12	nsubj	_	TokenRange=32:38
9	e	e	CCONJ	CONJ	_	11	cc	_	TokenRange=39:40
10	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	11	det	_	TokenRange=41:42
11	senado	senado	NOUN	NOUN	_	8	conj	_	TokenRange=43:49
12	perderam	perder	VERB	VERB	_	5	ccomp	_	TokenRange=50:58
13	a	o	DET	DET	_	14	det	_	TokenRange=59:60
14	vergonha	vergonha	NOUN	NOUN	_	12	obj	_	TokenRange=61:69
15	de	de	ADP	ADP	_	16	case	_	TokenRange=70:72
16	vez	vez	NOUN	NOUN	_	12	nmod	_	TokenRange=73:76
17-18	nas	_	_	_	_	_	_	_	TokenRange=77:80
17	em	em	ADP	ADP	_	19	case	_	_
18	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	19	det	_	_
19	votacoes	votacoe	NOUN	NOUN	_	12	nmod	_	TokenRange=81:89
20	relampago	relampago	NOUN	NOUN	_	19	appos	_	TokenRange=90:99
21-22	da	_	_	_	_	_	_	_	TokenRange=100:102
21	de	de	ADP	ADP	_	24	case	_	_
22	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	24	det	_	_
23	falsa	falso	ADJ	ADJ	_	24	amod	_	TokenRange=103:108
24	reforma	reforma	NOUN	NOUN	_	20	nmod	_	TokenRange=109:116
25	politica	politico	ADJ	ADJ	_	24	amod	_	TokenRange=117:125
