# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = delacao da jbs saiba ponto a ponto o que foi dito sobre membros do pt delatores citam pagamentos a campanhas compra de apoio pelo partido e atuacao de politicos para beneficiar empresa entenda acusacoes assessoria da expresidente dilma negou irregularidades o supremo tribunal federal liberou nesta sextafeira 19 o conteudo das delacoes premiadas dos empresarios joesley e wesley batista donos da jbs e do diretor da jf ricardo saud na operacao lava jato nelas os executivos citam pagamentos de propina para campanhas do pt compra de apoio politico pelo partido e atuacao de membros da legenda em beneficio da empresa saiba abaixo ponto a ponto o que foi dito nas delacoes sobre membros do pt e leia ao final desta reportagem o que os politicos citados disseram sobre as acusacoes apos as delacoes o
1	delacao	delacao	NOUN	NOUN	_	43	nsubj	_	TokenRange=0:7
2-3	da	_	_	_	_	_	_	_	TokenRange=8:10
2	de	de	ADP	ADP	_	4	case	_	_
3	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	4	det	_	_
4	jbs	_	NOUN	NOUN	_	1	nmod	_	TokenRange=11:14
5	saiba	saber	VERB	VERB	_	4	acl	_	TokenRange=15:20
6	ponto	ponto	NOUN	NOUN	_	5	nmod	_	TokenRange=21:26
7	a	_	ADP	ADP	_	8	case	_	TokenRange=27:28
8	ponto	ponto	NOUN	NOUN	_	6	nmod	_	TokenRange=29:34
9	o	_	PRON	PRON	_	1	appos	_	TokenRange=35:36
10	que	_	PRON	PRON	_	12	nsubj:pass	_	TokenRange=37:40
11	foi	_	AUX	AUX	_	12	aux:pass	_	TokenRange=41:44
12	dito	_	VERB	VERB	_	9	acl:relcl	_	TokenRange=45:49
13	sobre	_	ADP	ADP	_	14	case	_	TokenRange=50:55
14	membros	membro	NOUN	NOUN	_	12	nmod	_	TokenRange=56:63
15-16	do	_	_	_	_	_	_	_	TokenRange=64:66
15	de	de	ADP	ADP	_	17	case	_	_
16	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	17	det	_	_
17	pt	_	NOUN	NOUN	_	14	nmod	_	TokenRange=67:69
18	delatores	delator	NOUN	NOUN	_	19	nsubj	_	TokenRange=70:79
19	citam	citar	VERB	VERB	_	1	acl:relcl	_	TokenRange=80:85
20	pagamentos	pagamento	NOUN	NOUN	_	19	obj	_	TokenRange=86:96
21	a	_	ADP	ADP	_	22	case	_	TokenRange=97:98
22	campanhas	campanha	NOUN	NOUN	_	20	nmod	_	TokenRange=99:108
23	compra	compra	NOUN	NOUN	_	22	appos	_	TokenRange=109:115
24	de	de	ADP	ADP	_	25	case	_	TokenRange=116:118
25	apoio	apoio	NOUN	NOUN	_	23	nmod	_	TokenRange=119:124
26-27	pelo	_	_	_	_	_	_	_	TokenRange=125:129
26	por	por	ADP	ADP	_	28	case	_	_
27	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	28	det	_	_
28	partido	partido	NOUN	NOUN	_	23	nmod	_	TokenRange=130:137
29	e	e	CCONJ	CONJ	_	30	cc	_	TokenRange=138:139
30	atuacao	atuacao	NOUN	NOUN	_	22	conj	_	TokenRange=140:147
31	de	de	ADP	ADP	_	32	case	_	TokenRange=148:150
32	politicos	politico	NOUN	NOUN	_	30	nmod	_	TokenRange=151:160
33	para	_	ADP	ADP	_	34	mark	_	TokenRange=161:165
34	beneficiar	beneficiar	VERB	VERB	_	30	nmod	_	TokenRange=166:176
35	empresa	empresa	NOUN	NOUN	_	34	obj	_	TokenRange=177:184
36	entenda	entender	VERB	VERB	_	34	parataxis	_	TokenRange=185:192
37	acusacoes	acusacoe	NOUN	NOUN	_	36	obj	_	TokenRange=193:202
38	assessoria	assessoria	NOUN	NOUN	_	37	appos	_	TokenRange=203:213
39-40	da	_	_	_	_	_	_	_	TokenRange=214:216
39	de	de	ADP	ADP	_	41	case	_	_
40	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	41	det	_	_
41	expresidente	expresidente	NOUN	NOUN	_	38	nmod	_	TokenRange=217:229
42	dilma	dilma	ADJ	ADJ	_	41	amod	_	TokenRange=230:235
43	negou	negar	VERB	VERB	_	0	root	_	TokenRange=236:241
44	irregularidades	irregularidade	NOUN	NOUN	_	43	obj	_	TokenRange=242:257
45	o	o	DET	DET	_	47	det	_	TokenRange=258:259
46	supremo	supremo	ADJ	ADJ	_	47	amod	_	TokenRange=260:267
47	tribunal	tribunal	NOUN	NOUN	_	49	nsubj	_	TokenRange=268:276
48	federal	federal	ADJ	ADJ	_	47	amod	_	TokenRange=277:284
49	liberou	liberar	VERB	VERB	_	43	parataxis	_	TokenRange=285:292
50	nesta	_	ADP	ADP	_	51	case	_	TokenRange=293:298
51	sextafeira	sextafeira	NOUN	NOUN	_	49	nmod	_	TokenRange=299:309
