# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = atualizada as 17h57 o promotor de justica cassio conserino do ministerio publico de sao paulo intimou o expresidente luiz inacio lula da silva a mulher marisa leticia e o empreiteiro jose adelmario pinheiro o leo pinheiro ligado a oas para prestarem depoimento no dia 17 de fevereiro a partir das 11h sobre o triplex do condominio solaris no guaruja segundo o promotor o expresidente e marisa vao depor como investigados a promotoria suspeita que imovel pertenca a lula tambem foi intimado o engenheiro da oas igor pontes conserino diz ter indicios de que houve tentativa de esconder a identidade do verdadeiro dono do triplex 164 a no guaruja que seria do expresidente o que pode caracterizar crime de lavagem de dinheiro segundo o promotor cassio conserino os advogados da familia lula nao quiseram receber a notificacao porque nao tinham poderes o condominio solaris onde fica o triplex 164 a e alvo do ministerio publico de sao paulo os promotores de justica cassio conserino e jose carlos blat investigam quem e o real proprietario do apartamento de 297 metros quadrados de area na praia das asturias em guaruja no ambito da promotoria paulista foi aberto um inquerito em 2010 para investigar suspeitas de desvios de recursos da cooperativa habitacional dos bancarios do estado de sao paulo bancoop fundada nos anos 1990 por um nucleo do pt esse inquerito resultou em denuncia criminal a justica estadual a denuncia do promotor jose carlos blat foi acolhida pela 5 vara criminal da capital que abriu processo contra o expresidente da bancoop joao vaccari neto extesoureiro do pt preso na operacao lava jato depois da abertura da acao judicial a promotoria paulista abriu
1	atualizada	atualizar	VERB	VERB	_	0	root	_	TokenRange=0:10
2	as	o	DET	DET	_	3	det	_	TokenRange=11:13
3	17h57	_	NUM	NUM	NumType=Card	1	nmod	_	TokenRange=14:19
4	o	o	DET	DET	_	5	det	_	TokenRange=20:21
5	promotor	promotor	NOUN	NOUN	_	17	nsubj	_	TokenRange=22:30
6	de	de	ADP	ADP	_	7	case	_	TokenRange=31:33
7	justica	_	NOUN	NOUN	_	5	nmod	_	TokenRange=34:41
8	cassio	cassio	NOUN	NOUN	_	5	appos	_	TokenRange=42:48
9	conserino	conserino	ADJ	ADJ	_	8	amod	_	TokenRange=49:58
10-11	do	_	_	_	_	_	_	_	TokenRange=59:61
10	de	de	ADP	ADP	_	12	case	_	_
11	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	12	det	_	_
12	ministerio	ministerio	NOUN	NOUN	_	8	nmod	_	TokenRange=62:72
13	publico	_	ADJ	ADJ	_	12	amod	_	TokenRange=73:80
14	de	de	ADP	ADP	_	16	case	_	TokenRange=81:83
15	sao	sao	NOUN	NOUN	_	12	nmod	_	TokenRange=84:87
16	paulo	paulo	NOUN	NOUN	_	12	nmod	_	TokenRange=88:93
17	intimou	intimar	VERB	VERB	_	1	parataxis	_	TokenRange=94:101
18	o	o	DET	DET	_	19	det	_	TokenRange=102:103
19	expresidente	expresidente	NOUN	NOUN	_	17	obj	_	TokenRange=104:116
20	luiz	luiz	ADJ	ADJ	_	19	appos	_	TokenRange=117:121
21	inacio	_	NOUN	NOUN	_	20	flat	_	TokenRange=122:128
22	lula	_	NOUN	NOUN	_	20	flat	_	TokenRange=129:133
23-24	da	_	_	_	_	_	_	_	TokenRange=134:136
23	de	de	ADP	ADP	_	25	case	_	_
24	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	25	det	_	_
25	silva	silva	NOUN	NOUN	_	20	nmod	_	TokenRange=137:142
26	a	o	DET	DET	_	27	det	_	TokenRange=143:144
27	mulher	mulher	NOUN	NOUN	_	17	obj	_	TokenRange=145:151
28	marisa	marisa	NOUN	NOUN	_	27	appos	_	TokenRange=152:158
29	leticia	leticia	NOUN	NOUN	_	28	flat	_	TokenRange=159:166
30	e	e	CCONJ	CONJ	_	32	cc	_	TokenRange=167:168
31	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	32	det	_	TokenRange=169:170
32	empreiteiro	empreiteiro	NOUN	NOUN	_	27	conj	_	TokenRange=171:182
33	jose	jose	NOUN	NOUN	_	32	appos	_	TokenRange=183:187
34	adelmario	adelmario	NOUN	NOUN	_	33	flat	_	TokenRange=188:197
35	pinheiro	pinheiro	ADJ	ADJ	_	37	amod	_	TokenRange=198:206
36	o	o	DET	DET	_	37	det	_	TokenRange=207:208
37	leo	leo	NOUN	NOUN	_	32	appos	_	TokenRange=209:212
38	pinheiro	pinheiro	NOUN	NOUN	_	37	flat	_	TokenRange=213:221
39	ligado	ligar	VERB	VERB	_	37	acl	_	TokenRange=222:228
40	a	_	ADP	ADP	_	41	case	_	TokenRange=229:230
41	oas	_	NOUN	NOUN	_	39	nmod	_	TokenRange=231:234
42	para	_	ADP	ADP	_	43	mark	_	TokenRange=235:239
43	prestarem	prestar	VERB	VERB	_	17	advcl	_	TokenRange=240:249
44	depoimento	depoimento	NOUN	NOUN	_	43	obj	_	TokenRange=250:260
45-46	no	_	_	_	_	_	_	_	TokenRange=261:263
45	em	em	ADP	ADP	_	47	case	_	_
46	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	47	det	_	_
47	dia	dia	NOUN	NOUN	_	17	nmod	_	TokenRange=264:267
48	17	_	NUM	NUM	NumType=Card	47	nmod	_	TokenRange=268:270
49	de	de	ADP	ADP	_	50	case	_	TokenRange=271:273
50	fevereiro	_	PROPN	PNOUN	_	48	nmod	_	TokenRange=274:283
51	a	_	ADP	ADP	_	52	mark	_	TokenRange=284:285
52	partir	partir	VERB	VERB	_	17	nmod	_	TokenRange=286:292
53-54	das	_	_	_	_	_	_	_	TokenRange=293:296
53	de	de	ADP	ADP	_	55	case	_	_
54	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	55	det	_	_
55	11h	_	NUM	NUM	NumType=Card	52	nmod	_	TokenRange=297:300
56	sobre	_	ADP	ADP	_	58	case	_	TokenRange=301:306
57	o	o	DET	DET	_	58	det	_	TokenRange=307:308
58	triplex	_	NOUN	NOUN	_	186	nmod	_	TokenRange=309:316
59-60	do	_	_	_	_	_	_	_	TokenRange=317:319
59	de	de	ADP	ADP	_	61	case	_	_
60	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	61	det	_	_
61	condominio	condominio	NOUN	NOUN	_	58	nmod	_	TokenRange=320:330
62	solaris	solaris	NOUN	NOUN	_	61	flat	_	TokenRange=331:338
63-64	no	_	_	_	_	_	_	_	TokenRange=339:341
63	em	em	ADP	ADP	_	65	case	_	_
64	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	65	det	_	_
65	guaruja	guaruja	NOUN	NOUN	_	61	nmod	_	TokenRange=342:349
66	segundo	_	ADP	ADP	_	68	case	_	TokenRange=350:357
67	o	o	DET	DET	_	68	det	_	TokenRange=358:359
68	promotor	promotor	NOUN	NOUN	_	212	nmod	_	TokenRange=360:368
69	o	o	DET	DET	_	70	det	_	TokenRange=369:370
70	expresidente	expresidente	NOUN	NOUN	_	212	nsubj:pass	_	TokenRange=371:383
71	e	e	CCONJ	CONJ	_	72	cc	_	TokenRange=384:385
72	marisa	marisa	NOUN	NOUN	_	70	conj	_	TokenRange=386:392
73	vao	ir	AUX	AUX	_	74	aux	_	TokenRange=393:396
74	depor	depor	VERB	VERB	_	17	conj	_	TokenRange=397:402
75	como	como	ADP	ADP	_	76	case	_	TokenRange=403:407
76	investigados	investigado	NOUN	NOUN	_	74	nmod	_	TokenRange=408:420
77	a	o	DET	DET	_	78	det	_	TokenRange=421:422
78	promotoria	promotoria	NOUN	NOUN	_	74	nsubj	_	TokenRange=423:433
79	suspeita	_	VERB	VERB	_	74	ccomp	_	TokenRange=434:442
80	que	que	CCONJ	CONJ	_	82	mark	_	TokenRange=443:446
81	imovel	imovel	NOUN	NOUN	_	82	nsubj	_	TokenRange=447:453
82	pertenca	pertencar	VERB	VERB	_	79	ccomp	_	TokenRange=454:462
83	a	_	ADP	ADP	_	84	case	_	TokenRange=463:464
84	lula	lula	NOUN	NOUN	_	82	nmod	_	TokenRange=465:469
85	tambem	tambem	ADV	ADV	_	87	advmod	_	TokenRange=470:476
86	foi	_	AUX	AUX	_	87	aux:pass	_	TokenRange=477:480
87	intimado	intimar	VERB	VERB	_	79	ccomp	_	TokenRange=481:489
88	o	o	DET	DET	_	89	det	_	TokenRange=490:491
89	engenheiro	engenheiro	NOUN	NOUN	_	251	nsubj	_	TokenRange=492:502
90-91	da	_	_	_	_	_	_	_	TokenRange=503:505
90	de	de	ADP	ADP	_	92	case	_	_
91	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	92	det	_	_
92	oas	_	NOUN	NOUN	_	89	nmod	_	TokenRange=506:509
93	igor	igor	NOUN	NOUN	_	262	appos	_	TokenRange=510:514
94	pontes	ponte	NOUN	NOUN	_	263	flat	_	TokenRange=515:521
95	conserino	conserino	ADJ	ADJ	_	178	amod	_	TokenRange=522:531
96	diz	dizer	VERB	VERB	_	17	parataxis	_	TokenRange=532:535
97	ter	ter	VERB	VERB	_	96	xcomp	_	TokenRange=536:539
98	indicios	indicio	NOUN	NOUN	_	97	obj	_	TokenRange=540:548
99	de	_	ADP	ADP	_	101	mark	_	TokenRange=549:551
100	que	que	CCONJ	CONJ	_	101	mark	_	TokenRange=552:555
101	houve	haver	VERB	VERB	_	98	nmod	_	TokenRange=556:561
102	tentativa	_	NOUN	NOUN	_	101	obj	_	TokenRange=562:571
103	de	_	ADP	ADP	_	104	mark	_	TokenRange=572:574
104	esconder	esconder	VERB	VERB	_	102	nmod	_	TokenRange=575:583
105	a	o	DET	DET	_	106	det	_	TokenRange=584:585
106	identidade	identidade	NOUN	NOUN	_	104	obj	_	TokenRange=586:596
107-108	do	_	_	_	_	_	_	_	TokenRange=597:599
107	de	de	ADP	ADP	_	110	case	_	_
108	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	110	det	_	_
109	verdadeiro	verdadeiro	ADJ	ADJ	_	110	amod	_	TokenRange=600:610
110	dono	dono	NOUN	NOUN	_	106	nmod	_	TokenRange=611:615
111-112	do	_	_	_	_	_	_	_	TokenRange=616:618
111	de	de	ADP	ADP	_	113	case	_	_
112	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	113	det	_	_
113	triplex	_	NOUN	NOUN	_	110	nmod	_	TokenRange=619:626
114	164	_	NUM	NUM	NumType=Card	113	appos	_	TokenRange=627:630
115	a	_	ADP	ADP	_	114	nmod	_	TokenRange=631:632
116-117	no	_	_	_	_	_	_	_	TokenRange=633:635
116	em	em	ADP	ADP	_	118	case	_	_
117	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	118	det	_	_
118	guaruja	guaruja	NOUN	NOUN	_	114	nmod	_	TokenRange=636:643
119	que	_	PRON	PRON	_	120	nsubj	_	TokenRange=644:647
120	seria	_	VERB	VERB	_	124	acl:relcl	_	TokenRange=648:653
121-122	do	_	_	_	_	_	_	_	TokenRange=654:656
121	de	de	ADP	ADP	_	123	case	_	_
122	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	123	det	_	_
123	expresidente	expresidente	NOUN	NOUN	_	120	nmod	_	TokenRange=657:669
124	o	_	PRON	PRON	_	43	obj	_	TokenRange=670:671
125	que	_	PRON	PRON	_	127	nsubj	_	TokenRange=672:675
126	pode	_	AUX	AUX	_	127	aux	_	TokenRange=676:680
127	caracterizar	caracterizar	VERB	VERB	_	124	acl:relcl	_	TokenRange=681:693
128	crime	crime	NOUN	NOUN	_	127	obj	_	TokenRange=694:699
129	de	de	ADP	ADP	_	130	case	_	TokenRange=700:702
130	lavagem	lavagem	NOUN	NOUN	_	128	nmod	_	TokenRange=703:710
131	de	de	ADP	ADP	_	132	case	_	TokenRange=711:713
132	dinheiro	dinheiro	NOUN	NOUN	_	130	nmod	_	TokenRange=714:722
133	segundo	_	ADP	ADP	_	135	case	_	TokenRange=723:730
134	o	o	DET	DET	_	135	det	_	TokenRange=731:732
135	promotor	promotor	NOUN	NOUN	_	43	nmod	_	TokenRange=733:741
136	cassio	cassio	NOUN	NOUN	_	135	appos	_	TokenRange=742:748
137	conserino	conserino	ADJ	ADJ	_	61	amod	_	TokenRange=749:758
138	os	o	DET	DET	_	139	det	_	TokenRange=759:761
139	advogados	advogado	NOUN	NOUN	_	309	nsubj	_	TokenRange=762:771
140-141	da	_	_	_	_	_	_	_	TokenRange=772:774
140	de	de	ADP	ADP	_	142	case	_	_
141	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	142	det	_	_
142	familia	familia	NOUN	NOUN	_	139	nmod	_	TokenRange=775:782
143	lula	lulo	ADJ	ADJ	_	142	amod	_	TokenRange=783:787
144	nao	nao	ADV	ADV	Polarity=Neg	145	advmod	_	TokenRange=788:791
145	quiseram	querer	VERB	VERB	_	17	conj	_	TokenRange=792:800
146	receber	receber	VERB	VERB	_	145	xcomp	_	TokenRange=801:808
147	a	o	DET	DET	_	148	det	_	TokenRange=809:810
148	notificacao	notificacao	NOUN	NOUN	_	146	obj	_	TokenRange=811:822
149	porque	_	CCONJ	CONJ	_	151	mark	_	TokenRange=823:829
150	nao	nao	ADV	ADV	Polarity=Neg	151	advmod	_	TokenRange=830:833
151	tinham	ter	VERB	VERB	_	212	advcl	_	TokenRange=834:840
152	poderes	_	NOUN	NOUN	_	151	obj	_	TokenRange=841:848
153	o	o	DET	DET	_	154	det	_	TokenRange=849:850
154	condominio	condominio	NOUN	NOUN	_	309	obj	_	TokenRange=851:861
155	solaris	solaris	ADJ	ADJ	_	154	amod	_	TokenRange=862:869
156	onde	onde	ADV	ADV	_	157	advmod	_	TokenRange=870:874
157	fica	ficar	VERB	VERB	_	154	acl:relcl	_	TokenRange=875:879
158	o	o	DET	DET	_	159	det	_	TokenRange=880:881
159	triplex	_	NOUN	NOUN	_	157	nsubj	_	TokenRange=882:889
160	164	_	NUM	NUM	NumType=Card	159	appos	_	TokenRange=890:893
161	a	_	ADP	ADP	_	192	case	_	TokenRange=894:895
162	e	e	CCONJ	CONJ	_	163	cc	_	TokenRange=896:897
163	alvo	alvo	NOUN	NOUN	_	182	conj	_	TokenRange=898:902
164-165	do	_	_	_	_	_	_	_	TokenRange=903:905
164	de	de	ADP	ADP	_	166	case	_	_
165	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	166	det	_	_
166	ministerio	ministerio	NOUN	NOUN	_	163	nmod	_	TokenRange=906:916
167	publico	_	ADJ	ADJ	_	166	amod	_	TokenRange=917:924
168	de	de	ADP	ADP	_	169	case	_	TokenRange=925:927
169	sao	sao	NOUN	NOUN	_	166	nmod	_	TokenRange=928:931
170	paulo	paulo	NOUN	NOUN	_	169	flat	_	TokenRange=932:937
171	os	o	DET	DET	_	172	det	_	TokenRange=938:940
172	promotores	promotor	NOUN	NOUN	_	309	nsubj	_	TokenRange=941:951
173	de	de	ADP	ADP	_	174	case	_	TokenRange=952:954
174	justica	_	NOUN	NOUN	_	172	nmod	_	TokenRange=955:962
175	cassio	cassio	NOUN	NOUN	_	172	appos	_	TokenRange=963:969
176	conserino	_	NOUN	NOUN	_	175	flat	_	TokenRange=970:979
177	e	e	CCONJ	CONJ	_	178	cc	_	TokenRange=980:981
178	jose	jose	NOUN	NOUN	_	175	conj	_	TokenRange=982:986
179	carlos	carlo	NOUN	NOUN	_	178	flat	_	TokenRange=987:993
180	blat	_	NOUN	NOUN	_	178	flat	_	TokenRange=994:998
181	investigam	investigar	VERB	VERB	_	17	conj	_	TokenRange=999:1009
182	quem	_	PRON	PRON	_	309	obj	_	TokenRange=1010:1014
183	e	e	CCONJ	CONJ	_	186	cc	_	TokenRange=1015:1016
184	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	186	det	_	TokenRange=1017:1018
185	real	real	ADJ	ADJ	_	186	amod	_	TokenRange=1019:1023
186	proprietario	proprietario	NOUN	NOUN	_	182	conj	_	TokenRange=1024:1036
187-188	do	_	_	_	_	_	_	_	TokenRange=1037:1039
187	de	de	ADP	ADP	_	189	case	_	_
